GCCSA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
1GSYD,127,994,3664,16810,11752,10091,6302,1907,967,52605,7,48,59,603,410,369,297,248,88,2134,3,63,338,1066,557,401,151,71,22,2664,662,5134,6788,40345,17659,15826,13792,8720,3971,112901,6052,13077,13185,38350,12966,11032,9703,7874,5785,118020,151568,316384,309108,802442,340388,296496,230601,134013,64908,2645912,68,626,1581,7084,2101,1430,759,248,53,13950,288993,542179,456770,731525,330305,265542,195940,110939,48586,2970785,150,1277,2187,17170,3891,2187,862,125,11,27864,4,36,85,2143,1146,1649,1004,516,148,6730,70,444,1078,14218,1446,703,287,100,31,18373,31,215,685,3978,2815,2695,1861,706,262,13247,145,507,707,4482,2044,1424,775,349,74,10493,27,158,294,3453,2226,2237,2197,1359,248,12212,644,6626,18190,97820,33816,39847,25458,10398,5520,238316,3,42,64,1516,1280,2595,3241,3079,1083,12904,94,1080,996,5002,2058,3129,3751,2558,1011,19680,789,6499,8233,39136,26623,27844,22237,15990,5704,153052,38,500,1467,11662,7291,6992,4104,1749,397,34197,69,503,658,5842,1588,944,658,351,168,10791
1RNSW,14,144,227,1133,406,246,143,37,14,2360,0,25,52,171,190,321,322,228,104,1414,7,49,107,389,232,177,130,25,6,1118,169,942,1167,5813,2711,2978,3018,2207,981,19976,3852,10091,9150,20591,10454,11887,11521,8945,5159,91658,75571,170267,153320,332608,178733,195902,176704,106086,47884,1437081,6,100,98,319,79,44,13,6,0,667,145260,315708,276659,515937,280256,300996,264844,145440,55781,2300890,23,138,117,1203,144,61,35,6,0,1735,0,4,13,245,105,227,172,117,29,915,5,76,91,1454,223,93,46,23,8,2020,3,41,39,273,107,56,44,9,0,570,50,238,257,1658,883,733,592,235,52,4692,7,16,34,464,359,319,388,233,32,1844,45,358,724,4216,1458,1209,779,283,122,9195,0,9,9,212,234,537,622,695,248,2578,23,127,59,403,113,161,314,186,68,1447,193,1697,2261,8758,9560,17145,18860,14634,4902,78012,18,106,204,1263,561,486,330,148,36,3149,15,68,140,888,337,398,335,182,60,2426
19499,0,0,3,9,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,4,8,16,62,19,11,8,5,0,133,92,183,205,568,186,144,55,21,4,1460,203,412,703,1772,666,698,404,104,32,4997,0,0,0,7,0,0,0,0,0,7,266,402,764,1804,880,940,674,162,30,5912,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,0,0,0,21,0,0,0,0,0,3,0,0,0,5,0,0,7,13,3,6,0,0,0,26,0,0,0,9,0,0,0,0,0,17,0,4,4,49,12,12,5,0,0,86,0,0,0,0,0,0,3,0,0,8,0,0,7,5,5,0,0,0,0,13,3,3,20,94,28,86,53,19,0,318,0,0,3,12,7,0,3,0,0,23,0,0,9,31,9,4,0,0,0,56
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,130,1004,3644,17980,11249,9133,5473,1601,770,50983,4,33,72,401,281,340,290,206,96,1722,9,67,335,1330,466,265,128,43,8,2652,616,4366,7611,36199,15232,13239,11383,7558,3696,99896,5226,11341,11637,33903,12187,10301,9327,7365,4818,106094,141400,292330,293922,769304,322760,273358,214827,127601,61530,2497033,128,1674,3889,12063,3263,1613,651,191,49,23525,270059,497212,423253,764859,361365,286585,196611,103638,43566,2947151,41,629,852,5949,1260,573,326,50,6,9693,6,35,146,2887,1420,2026,1179,636,174,8502,33,204,352,3812,595,271,121,41,6,5427,59,399,1538,5805,3195,2633,1791,654,197,16277,126,545,553,3806,1599,1007,549,210,50,8449,23,125,183,2316,1635,1401,1311,751,118,7870,583,7264,20412,73849,22280,21266,13328,4740,2301,166023,8,30,64,1464,1311,2843,3177,3020,987,12902,53,667,1085,3020,1221,2042,2672,1844,706,13312,601,5300,7690,28134,21206,25574,21876,16260,6276,132912,19,205,633,4359,2421,2089,1145,455,125,11450,45,287,451,3423,1025,745,623,302,166,7063
2RVIC,17,86,137,825,244,195,76,14,9,1611,0,13,15,67,76,139,152,97,28,587,0,23,40,209,88,69,48,13,4,500,72,514,614,2752,1336,1475,1523,1169,507,9979,1968,5291,4717,11659,6259,7118,6853,5053,2825,51752,41636,92883,82018,187612,101314,111524,101472,57215,25907,801575,0,141,378,842,306,161,55,13,0,1898,79698,172625,146833,286916,159380,171899,151747,78089,30062,1277245,3,36,43,382,71,36,13,3,0,591,0,0,10,180,84,185,117,81,20,681,0,31,24,289,60,24,12,6,0,445,6,45,49,210,74,53,25,8,0,476,32,111,111,704,342,326,238,85,17,1967,0,7,6,131,82,72,60,44,6,415,27,308,548,2614,729,602,383,132,24,5373,0,8,11,161,196,462,614,650,247,2349,13,74,81,223,45,80,150,89,16,767,98,965,1185,4455,4889,9169,10751,7498,2462,41471,3,35,70,392,207,143,95,24,7,975,4,43,60,393,136,151,136,56,16,1001
29499,0,0,5,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,53,15,9,4,0,0,120,64,147,167,608,169,104,55,13,7,1339,189,361,556,1604,479,429,224,58,19,3915,0,0,4,6,0,0,0,0,0,8,251,367,607,1490,623,532,330,73,13,4283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,3,5,0,0,21,0,0,4,5,3,0,0,0,0,18,0,0,10,22,11,4,6,0,0,57,0,0,0,0,0,4,3,0,0,12,0,0,6,0,0,0,3,0,0,5,3,6,7,52,21,42,20,15,0,170,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,12
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,44,329,939,4098,2531,1853,1182,369,172,11525,3,56,129,298,271,227,237,181,54,1457,3,50,250,1020,571,483,246,65,19,2704,300,2322,3965,16148,5782,4621,3614,1978,815,39551,2766,6377,6936,16888,6137,5181,4593,3571,2480,54934,73074,162237,163542,374436,168506,141143,112118,62066,26771,1283890,31,332,657,2349,556,234,92,35,10,4293,140398,283585,247829,443031,206019,171029,135678,72266,26819,1726655,21,187,216,1328,320,163,71,15,4,2325,0,9,55,915,449,585,338,127,24,2510,28,184,429,4163,546,171,74,27,3,5626,18,71,129,605,431,346,232,73,25,1930,116,436,476,2486,1079,758,485,199,67,6093,23,79,107,723,339,288,220,118,16,1908,185,1895,5871,19848,5060,4446,3096,1099,476,41978,0,6,15,367,235,471,401,353,115,1972,23,190,226,501,151,148,214,145,41,1641,399,3985,7090,17549,16357,19225,15457,11570,3664,95284,16,192,612,3963,2208,1927,1272,497,117,10800,30,184,260,1536,511,472,303,195,65,3547
3RQLD,11,137,267,1217,423,231,128,21,8,2439,0,46,90,322,226,286,279,185,54,1494,6,45,243,787,520,459,272,84,17,2432,173,1174,1830,9108,3852,3553,3076,2015,723,25500,3681,9475,9957,23887,11234,10959,9219,6647,3546,88608,68446,163840,149512,334390,175891,173823,145075,81697,32328,1325000,0,31,81,213,70,29,13,7,0,437,131032,295096,245095,450228,241200,239061,201003,105771,35834,1944312,16,79,98,548,155,64,21,4,0,984,0,9,9,368,191,273,162,76,18,1100,22,197,547,5273,553,165,93,33,8,6896,6,69,61,213,97,62,33,11,6,565,87,413,425,2660,1034,931,780,344,74,6741,6,24,52,818,206,130,116,94,20,1464,81,816,1245,6377,2059,1734,922,349,135,13713,0,10,9,171,151,322,422,428,143,1654,19,113,92,289,106,146,266,203,86,1313,276,3064,5292,14914,14578,19884,19104,14265,4410,95781,10,111,279,1253,687,679,399,181,47,3644,21,112,203,1461,434,481,399,261,88,3451
