GCCSA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
4GADE,102315,67303,72808,65326,56221,43651,26083,10400,2846,446942,11077,12023,14658,15867,17788,21286,20920,11865,4077,129562,626,1398,2350,2937,4523,7433,9572,6899,2891,38641,37,113,320,652,1602,3655,6014,5450,2884,20732,11742,13538,17334,19453,23916,32377,36503,24214,9844,188934,7938,5933,6474,6138,6104,5216,3501,2106,1030,44447,122002,86767,96616,90922,86236,81246,66083,36722,13726,680323,99508,58948,67784,64082,54724,45440,29482,12101,3955,436027,8064,15437,18688,18309,19668,22709,23274,15116,6923,148193,592,2803,4594,4745,6373,8991,11227,8492,5027,52853,34,201,634,1298,2835,5165,6803,6406,4933,28306,8691,18444,23917,24354,28877,36868,41300,30011,16885,229347,7338,5188,5394,5288,5230,4857,3878,2717,1696,41589,115534,82583,97097,93732,88828,87163,74658,44835,22535,706967,201825,126245,140600,129414,110943,89090,55563,22499,6801,882974,19139,27463,33343,34174,37458,43990,44196,26981,11001,277752,1225,4204,6949,7688,10897,16429,20798,15394,7919,91489,75,318,950,1945,4437,8822,12813,11861,7812,49035,20435,31984,41247,43810,52792,69245,77803,54231,26736,418273,15278,11121,11872,11428,11336,10073,7378,4826,2729,86038
4RSAU,26610,14653,14110,13397,14713,14453,10503,4189,927,113567,3422,3066,3371,3686,4991,7645,8491,4656,1329,40660,197,378,557,760,1407,2729,4114,2789,911,13842,13,26,96,193,622,1615,2643,2253,861,8324,3631,3480,4020,4638,7021,11989,15246,9701,3104,62832,3130,2185,2598,2628,2752,2758,2202,1279,459,19993,33370,20315,20733,20666,24485,29204,27958,15169,4495,196384,26071,12123,12814,12896,14048,13932,10572,4381,1249,108087,2577,3717,4401,4502,5436,7569,8170,4919,1970,43255,171,724,1144,1334,2031,3188,3950,2920,1345,16815,11,69,189,419,1009,2069,2545,2280,1249,9832,2757,4514,5736,6246,8481,12824,14665,10113,4572,69900,2997,1631,1672,1667,2078,2273,2045,1364,737,16462,31826,18269,20218,20806,24599,29024,27281,15866,6558,194455,52684,26773,26927,26292,28756,28382,21079,8573,2181,221655,5999,6784,7772,8184,10430,15218,16656,9573,3296,83918,366,1112,1703,2087,3440,5914,8066,5710,2260,30657,26,101,283,613,1626,3687,5184,4533,2117,18163,6392,7991,9757,10890,15500,24819,29909,19808,7674,132734,6125,3819,4266,4294,4831,5033,4249,2646,1198,36453
49499,133,89,150,130,113,106,63,17,0,801,23,40,64,41,55,67,55,7,4,350,6,12,11,16,23,12,24,5,0,116,0,0,0,3,6,18,22,9,0,67,31,52,78,59,88,103,96,18,6,537,42,43,97,94,96,101,53,7,0,538,208,182,320,289,299,311,214,40,7,1873,127,92,137,78,67,83,45,11,5,647,26,50,62,55,40,40,31,7,0,308,4,27,24,19,14,17,24,0,0,129,0,3,9,11,11,21,17,3,0,76,27,85,99,83,60,73,70,11,3,518,42,37,73,79,46,37,22,3,0,345,197,214,305,245,178,197,141,26,10,1506,262,181,283,211,181,196,108,24,3,1444,50,87,126,96,92,107,84,11,3,664,7,38,37,36,39,29,50,6,4,248,0,7,16,12,25,42,36,10,0,143,56,136,174,140,154,177,166,31,12,1047,84,79,166,178,144,138,77,11,0,882
49799,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
5GPER,174209,100792,110683,110186,90709,66313,38163,14321,3393,708766,16852,16986,20599,22853,24964,28516,27978,15218,4753,178718,933,1779,2801,3801,5640,8654,11968,8709,3074,47369,42,134,322,739,1725,3907,6714,6486,2786,22858,17827,18901,23721,27401,32334,41076,46663,30415,10610,248939,14193,10732,14851,14267,12781,9651,5832,3368,1782,87459,206228,130425,149264,151848,135822,117039,90651,48100,15791,1045169,168472,89446,109050,109617,89524,67901,42413,15669,4721,696815,12346,22862,28011,27630,28819,31063,30104,18396,7873,207093,795,3711,5831,6379,8170,11043,13235,9857,5104,64130,46,301,711,1445,2953,5370,7554,6903,4441,29724,13187,26875,34557,35453,39941,47475,50890,35155,17421,300944,13356,9197,11032,9996,9285,7768,5997,4176,2906,73717,195010,125522,154640,155066,138742,123146,99302,55001,25048,1071480,342684,190238,219740,219808,180237,134216,80571,29987,8111,1405587,29199,39846,48611,50481,53782,59573,58078,33611,12630,385813,1723,5494,8633,10181,13815,19696,25206,18566,8178,111496,87,438,1040,2186,4675,9281,14266,13393,7226,52577,31010,45771,58282,62854,72271,88550,97551,65569,28032,549887,27547,19933,25888,24260,22058,17420,11828,7550,4694,161177
5RWAU,41813,20601,22635,23376,22345,18894,11620,4006,879,166171,4613,3592,4230,5226,6405,8592,8444,4178,1149,46417,236,399,625,842,1638,2818,3720,2396,727,13399,11,37,101,192,530,1397,2223,1756,628,6876,4851,4032,4960,6260,8577,12810,14384,8325,2503,66695,6712,4306,6195,6145,6068,5146,3157,1529,461,39720,53385,28933,33781,35786,36989,36850,29161,13867,3843,272586,40600,17575,21434,22425,20409,17651,10723,3955,994,155766,3208,4482,6012,6440,7420,8629,8086,4476,1638,50392,217,796,1226,1654,2421,3340,3726,2381,1098,16861,12,69,173,439,1002,1868,2254,1673,982,8482,3436,5348,7417,8533,10848,13836,14067,8526,3718,75734,6355,3414,4183,4124,4023,3718,2701,1522,685,30719,50387,26337,33035,35076,35283,35206,27493,14003,5399,262218,82412,38178,44072,45799,42754,36543,22344,7967,1875,321942,7821,8074,10245,11659,13826,17215,16529,8649,2790,96813,451,1198,1854,2494,4061,6157,7440,4771,1824,30262,19,106,280,631,1538,3264,4483,3430,1605,15361,8293,9374,12377,14795,19426,26643,28452,16853,6217,142428,13067,7713,10375,10275,10088,8866,5858,3053,1148,70437
59499,265,174,316,288,197,188,143,14,4,1594,28,59,92,78,84,89,86,27,0,534,0,10,17,22,23,30,39,12,4,152,0,3,0,8,15,22,26,11,0,79,27,64,105,107,126,139,148,44,4,768,101,176,396,530,514,334,158,50,10,2281,389,414,822,926,842,667,444,118,14,4639,267,153,322,211,144,182,97,11,0,1386,15,68,82,84,61,80,74,7,5,488,0,11,17,26,23,35,37,4,5,163,0,0,0,9,15,16,20,0,0,67,15,81,108,118,102,133,130,12,5,713,93,172,267,281,223,162,87,14,12,1315,380,410,692,613,468,477,316,38,16,3416,538,328,636,499,341,374,233,27,4,2976,45,125,176,162,148,166,159,30,4,1018,0,19,36,45,48,66,72,18,6,318,0,3,4,17,32,39,41,10,0,147,44,145,211,229,224,271,282,63,13,1482,190,352,661,811,748,503,245,69,15,3591
59799,0,15,54,74,46,23,0,0,0,216,0,0,5,11,8,7,4,0,0,32,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,12,7,13,4,0,0,43,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,5,4,5,5,3,0,0,33,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,21,60,80,54,24,5,0,0,247,0,3,3,14,8,7,3,0,0,41,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,3,17,7,13,4,0,0,43,0,22,46,76,51,27,3,0,0,226
6GHOB,17400,10482,15177,10561,8700,7350,4707,1815,421,76607,2100,2308,2729,2898,3145,3897,3893,2072,655,23699,159,349,457,587,854,1317,1810,1269,446,7245,4,27,65,133,316,663,1140,950,421,3718,2263,2685,3245,3618,4313,5876,6848,4292,1523,34659,1690,1180,1499,1230,1206,1048,784,461,167,9260,21347,14350,19920,15407,14213,14272,12337,6566,2116,120521,16901,8760,13722,10216,8711,7626,5061,2046,614,73661,1620,3271,3788,3698,3856,4314,4446,2711,1122,28828,150,643,974,1010,1284,1775,2132,1526,808,10296,4,49,129,277,594,1021,1351,1177,697,5306,1776,3964,4897,4980,5732,7108,7934,5418,2626,44436,1557,1062,1220,1050,989,927,816,565,279,8468,20235,13788,19834,16250,15439,15666,13805,8028,3516,126562,34295,19243,28898,20778,17415,14974,9768,3859,1040,150268,3718,5580,6517,6594,6997,8212,8341,4788,1777,52531,309,986,1427,1597,2140,3092,3940,2793,1250,17539,15,78,193,404,908,1682,2495,2123,1121,9022,4042,6651,8140,8598,10045,12986,14781,9705,4149,79092,3238,2245,2724,2282,2191,1972,1596,1027,445,17721
6RTAS,20431,12071,13182,10902,11344,11012,7505,2829,592,89865,3086,2727,2973,3109,4158,5760,6107,3297,867,32078,233,410,551,681,1255,2213,3003,2026,607,10994,7,29,73,202,541,1222,2020,1646,540,6281,3330,3166,3591,3994,5958,9193,11135,6970,2014,49350,2337,1629,1529,1495,1689,1793,1589,850,347,13252,26099,16869,18305,16385,18985,21995,20225,10656,2948,152471,20115,10309,11690,10535,11136,10953,7437,2921,822,85928,2321,3418,4005,4225,4850,6235,6192,3750,1387,36384,173,710,1140,1238,1890,2744,3171,2140,959,14163,13,61,191,375,974,1622,2193,1600,804,7830,2499,4191,5334,5840,7716,10600,11552,7490,3146,58381,2207,1362,1333,1338,1499,1697,1468,957,444,12307,24827,15866,18362,17708,20349,23258,20461,11369,4415,156617,40551,22383,24873,21434,22477,21964,14947,5751,1416,175792,5404,6151,6974,7331,9011,11998,12297,7050,2255,68463,405,1122,1689,1925,3146,4952,6172,4170,1569,25155,20,90,264,579,1517,2844,4216,3240,1342,14113,5830,7362,8929,9832,13674,19794,22687,14463,5162,107729,4545,2989,2864,2826,3189,3490,3056,1813,782,25565
69499,56,54,54,40,56,32,16,3,0,316,5,22,22,22,28,13,9,7,0,137,0,5,12,6,6,9,13,3,0,58,0,0,0,4,4,10,10,0,0,28,5,31,35,31,43,34,29,9,0,221,12,28,43,28,29,38,46,4,0,221,74,108,135,99,130,104,90,18,0,758,55,42,50,39,23,29,21,4,0,258,8,30,14,24,22,16,10,3,0,133,0,15,11,14,9,9,6,3,0,59,0,0,5,4,9,9,6,0,0,33,5,44,31,43,36,39,16,6,4,221,5,19,11,24,18,31,28,4,0,136,61,108,92,97,78,98,72,13,4,616,108,94,105,71,79,62,39,7,0,571,11,55,39,46,51,35,20,9,0,267,0,16,24,21,16,15,16,7,0,123,0,4,5,5,16,24,13,0,3,65,11,77,67,76,81,70,45,18,3,445,18,41,49,54,42,68,75,6,0,357
69799,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,7,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
7GDAR,11880,6730,9516,7713,5957,4005,1988,569,85,48427,999,839,1212,1338,1601,1818,1422,560,112,9894,47,69,158,206,369,505,581,312,69,2319,0,6,19,53,120,268,359,217,48,1096,1050,916,1392,1594,2086,2594,2359,1092,228,13308,1502,1174,1848,1511,1321,904,514,178,55,9008,14429,8819,12750,10821,9359,7494,4858,1830,370,70739,11703,5740,9689,7885,5763,3784,1913,524,80,47081,681,1112,1783,1831,1732,1731,1281,551,136,10838,28,148,368,341,475,651,520,296,80,2919,3,12,38,81,163,268,363,219,91,1246,716,1274,2186,2258,2374,2648,2168,1070,318,15004,1444,872,1324,1145,911,704,424,179,66,7075,13861,7879,13199,11286,9043,7139,4513,1776,465,69161,23581,12465,19203,15605,11713,7785,3904,1091,169,95514,1685,1948,2999,3166,3332,3549,2703,1114,250,20739,76,218,523,548,844,1159,1097,613,151,5234,8,21,56,131,283,535,732,434,142,2337,1770,2187,3578,3850,4456,5245,4529,2159,546,28311,2947,2046,3166,2653,2232,1607,942,359,125,16079
7RNTE,8689,5254,5838,4462,3226,2269,1008,238,29,31009,604,555,706,911,1038,1034,703,222,34,5802,31,28,71,118,236,327,273,107,19,1219,0,5,15,26,73,171,164,90,21,556,630,591,789,1056,1343,1532,1145,418,77,7580,1222,857,1241,999,801,684,350,120,13,6283,10541,6700,7872,6512,5358,4487,2507,780,123,44877,8088,4855,6164,4446,3200,2107,881,205,33,29984,408,702,1085,1158,1271,1241,688,221,59,6831,21,77,170,205,365,408,284,110,48,1683,0,5,18,64,128,214,164,94,42,740,426,786,1275,1439,1764,1857,1131,428,145,9251,1097,641,951,721,636,551,293,83,19,4988,9613,6279,8392,6607,5597,4514,2299,722,198,44220,16776,10109,11998,8910,6421,4378,1886,443,63,60993,1006,1257,1787,2069,2309,2272,1388,452,93,12638,47,107,242,328,601,734,557,218,63,2906,8,13,35,94,196,379,328,187,63,1297,1058,1379,2064,2492,3106,3386,2276,847,224,16832,2320,1497,2195,1716,1433,1237,643,202,35,11272
79499,207,59,184,154,120,104,67,13,4,899,10,15,18,39,60,67,58,3,0,277,0,0,4,8,18,25,21,6,0,76,0,0,0,5,4,16,15,0,0,44,10,15,24,47,86,104,89,14,0,390,42,41,88,101,109,93,46,13,0,531,260,113,292,305,311,300,205,33,6,1826,155,98,195,136,95,78,37,4,0,802,3,13,56,45,63,54,29,6,0,260,3,6,8,10,21,36,14,0,0,89,0,0,6,5,7,17,10,0,0,38,6,13,59,60,84,102,49,9,0,388,32,48,105,71,105,98,33,0,0,482,190,162,364,268,280,279,114,17,4,1675,359,152,374,295,213,182,102,18,3,1705,9,29,74,86,124,121,83,11,0,535,4,6,7,11,41,56,33,10,0,162,0,0,4,9,9,33,21,7,0,83,18,29,89,108,170,211,138,23,0,777,74,97,193,168,213,186,79,12,0,1017
79799,0,9,14,15,10,9,0,0,0,52,0,0,4,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,14,0,0,4,4,5,3,0,0,0,23,0,12,16,22,18,17,0,0,0,83,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,15,0,9,20,15,15,8,0,0,0,56,0,4,4,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,6,0,0,0,14,0,0,6,4,5,3,0,0,0,24
8ACTE,35893,22634,29099,24994,18436,12157,6907,2597,579,153299,4133,4719,5867,5960,5817,5738,5133,2873,896,41139,250,611,909,1112,1424,1886,2396,1601,627,10823,15,36,93,194,397,792,1300,1202,554,4582,4395,5365,6874,7268,7638,8414,8826,5686,2075,56547,2468,2430,2668,2010,1709,1295,889,498,212,14171,42755,30428,38637,34275,27785,21866,16625,8781,2868,224022,34544,19872,26889,23782,17307,12162,7746,2976,788,146056,3081,6668,7802,7205,6723,6474,5941,3515,1386,48794,180,1238,1867,1831,2071,2478,2804,2013,1011,15492,10,98,265,418,771,1181,1497,1475,812,6534,3272,8006,9938,9454,9564,10126,10249,7008,3205,70816,2317,2158,2165,1777,1471,1174,1033,576,317,12992,40132,30032,38992,35006,28342,23462,19022,10556,4315,229869,70443,42503,55982,48772,35744,24319,14650,5576,1371,299359,7218,11384,13668,13166,12540,12209,11079,6392,2281,89933,430,1848,2782,2945,3489,4359,5203,3614,1636,26311,26,134,357,615,1177,1971,2795,2682,1363,11114,7665,13370,16814,16722,17208,18544,19077,12689,5282,127367,4786,4587,4839,3787,3175,2471,1914,1080,530,27163
89499,19,31,33,18,18,6,8,0,0,137,4,20,13,13,10,14,0,0,0,73,0,0,0,6,3,5,0,0,0,19,0,0,0,0,4,0,0,3,0,6,4,21,12,20,17,14,6,3,0,98,3,15,11,30,19,15,10,0,0,105,23,66,60,62,53,38,21,6,0,336,15,45,29,19,15,8,0,0,0,138,0,24,10,3,9,15,0,3,0,64,0,8,5,3,0,9,0,0,0,24,0,0,0,0,0,5,4,0,0,13,0,28,11,12,10,22,8,4,0,97,0,3,7,7,4,6,4,0,0,40,21,74,53,33,30,35,10,8,0,273,33,78,67,41,36,17,8,0,0,272,4,40,22,18,18,23,0,3,0,134,0,7,7,11,6,11,3,0,0,39,0,0,0,0,4,0,4,0,4,20,6,47,25,26,22,38,14,12,4,194,7,21,17,35,22,22,11,0,0,138
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,348,130,148,173,202,228,148,47,17,1441,30,13,23,37,33,63,77,39,3,324,0,0,0,7,16,15,26,8,3,87,0,0,0,0,3,10,17,11,5,54,30,13,23,48,59,93,125,58,16,460,66,49,160,104,88,60,52,19,3,613,444,196,335,328,347,378,318,120,36,2511,296,131,160,210,196,239,140,53,8,1436,19,35,19,42,55,73,61,35,11,346,0,7,5,6,6,16,23,7,5,76,0,0,0,0,6,3,9,10,0,35,18,39,27,44,70,94,94,55,22,464,62,34,54,58,47,47,29,29,4,363,383,208,240,310,316,382,267,135,34,2263,649,263,310,381,394,470,288,95,24,2880,48,45,48,83,91,135,132,75,18,671,0,7,3,13,23,33,53,18,4,164,0,0,0,0,9,19,29,19,7,90,46,55,52,93,127,188,215,111,37,920,128,92,218,157,139,113,84,53,6,978
99499,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
