GCCSA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
39499,1068,904,296,34,456,463,87,301,1631,112,1052,4227,1043,9019,74,49,31,0,40,44,3,24,81,5,60,341,76,681,106,60,32,5,43,41,5,30,77,9,77,416,37,764,29,7,3,0,16,10,5,0,14,0,25,275,25,367,12,4,0,0,6,4,8,5,14,0,11,119,12,167,0,0,0,0,0,0,0,0,0,0,5,33,9,48,9,0,3,0,7,6,0,0,12,4,5,137,11,181,3,4,0,0,0,0,0,0,4,0,0,165,9,183,0,0,0,0,3,0,0,0,8,0,0,71,6,82,12,12,7,0,3,5,3,4,22,0,15,206,10,269,11,17,3,0,5,3,0,3,11,4,11,88,5,142,252,155,84,7,119,120,25,69,247,25,209,1853,203,2883,19,14,6,3,9,10,0,11,31,5,14,92,2614,2770,1341,1078,390,44,579,591,115,376,1912,143,1281,6171,3862,14670,..,..,..,..
39799,0,0,0,0,0,0,0,0,0,0,0,20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,23,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0,0,0,4,0,0,42,133,183,..,..,..,..
4GADE,87598,99461,28777,7372,44753,38170,7621,17031,110513,8594,89861,571822,34302,953204,1396,1220,517,96,914,645,138,297,1289,151,1275,7361,443,12745,18980,8693,6027,2041,9050,8869,1516,4372,10044,1931,11091,42038,2874,92485,3893,1371,1399,631,2014,2213,377,858,1720,546,2339,9492,568,19854,10219,2425,2903,2164,6916,5795,1085,1446,4237,1482,5842,20909,1441,46643,1159,639,261,107,1098,596,188,152,959,136,1338,12138,498,16898,2448,2593,870,247,3468,1241,376,318,1803,356,4158,38116,1365,52149,659,637,374,79,1121,463,121,96,667,131,1693,30798,482,35995,1475,1536,360,142,3378,930,253,189,1412,189,2845,62209,1417,73166,980,916,371,71,603,368,69,137,1144,95,1148,10139,331,14470,721,780,295,68,735,352,96,125,855,91,1181,13386,494,17681,41920,20816,13373,5658,29294,21471,4221,7994,24126,5112,32914,246593,9910,382079,2146,1049,581,364,1189,1077,201,521,1217,304,1029,4900,41829,52003,131666,121331,42726,13395,75243,60720,12047,25546,135853,14008,123805,823311,86038,1387290,..,..,..,..
4RSAU,38248,33572,11417,2966,20771,16943,3283,8168,34256,3674,27504,181271,13149,317889,437,341,138,29,247,201,38,127,347,43,353,2348,162,3962,5115,1984,1449,429,2502,2345,403,1261,2246,526,2494,7491,648,19539,1044,319,397,156,647,598,79,282,423,125,544,1945,156,4675,790,205,227,155,553,452,96,144,280,93,347,1309,170,3281,36,14,14,7,43,17,0,0,19,5,34,331,27,493,202,185,83,11,295,78,37,27,125,29,251,4074,193,5217,38,27,16,3,35,9,8,0,35,4,56,1071,39,1294,94,69,24,8,165,48,8,14,76,15,90,2574,85,3073,173,104,57,4,90,62,7,20,149,10,147,818,38,1376,135,122,54,7,86,68,13,30,125,13,153,1508,71,2130,8073,3384,2452,812,4668,3882,689,1916,3824,866,4480,23470,1599,45044,1360,662,339,143,776,676,112,346,691,190,524,2922,21710,27909,47678,37619,14211,3925,26217,21501,4089,10432,38766,4727,32505,207669,36453,390843,..,..,..,..
49499,213,300,48,8,109,74,18,54,502,23,274,1007,291,2262,4,6,0,0,9,0,0,0,9,0,9,37,5,60,29,22,6,0,24,18,0,12,31,4,23,81,14,176,6,0,0,0,5,0,0,0,9,0,0,39,0,57,0,5,3,0,0,3,0,0,5,0,6,17,4,39,0,5,0,0,0,0,0,0,0,0,0,12,3,25,0,0,0,0,0,0,0,0,5,0,0,22,5,29,4,3,0,0,0,0,0,0,0,0,5,30,3,37,0,0,4,0,0,0,0,0,0,0,0,24,0,42,0,0,0,0,0,0,0,0,5,0,0,25,0,31,0,0,0,0,0,0,0,0,6,0,0,18,3,28,45,48,15,5,36,25,0,16,66,9,49,307,36,522,4,0,0,0,5,0,0,0,7,0,3,27,551,594,263,345,70,8,149,100,22,74,580,35,328,1338,882,3377,..,..,..,..
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,12,..,..,..,..
5GPER,89946,113226,33075,6910,44711,40076,8722,18949,130371,9105,101560,806115,52009,1258510,4949,5443,1890,246,3001,2484,452,1149,4912,524,4360,40690,2545,63425,30233,15596,10618,2783,13782,13866,2554,6948,19487,3117,20186,110503,7305,204621,4594,2295,1864,617,2167,2548,425,1065,2827,556,3615,27001,1223,42600,8183,2078,2655,1404,5427,4408,941,1288,3754,1136,5212,29300,1813,52507,1336,1007,408,132,1465,723,209,171,1147,172,1734,18297,899,24990,5602,5547,2217,636,8248,3409,910,740,3938,834,9019,94786,3372,127950,910,777,582,118,1608,623,183,138,951,167,2351,40307,797,47759,3177,2348,938,353,5589,2304,481,522,1832,384,3887,74214,2014,91563,1790,1693,769,124,1007,742,144,294,2194,176,2176,20135,705,28567,4053,4069,1774,298,3372,2073,419,636,4439,401,5232,54076,2092,75658,64828,40854,23716,6713,45672,33182,6728,12958,45480,7467,57770,509309,22771,759641,2077,942,661,552,1172,1066,296,541,1204,342,1051,6427,86398,98498,156845,155026,57454,14172,91560,74326,15744,32447,177052,16912,160379,1321842,161177,2116647,..,..,..,..
5RWAU,34002,33597,11413,2344,18899,14720,3520,6959,35832,3303,28005,241066,18326,385366,1465,1419,546,73,847,659,138,369,1170,152,1005,11451,802,17558,5978,2496,1863,515,2657,2476,449,1366,3159,641,3326,15128,1101,31021,986,372,343,116,493,491,77,237,522,122,610,4744,243,7721,630,149,190,109,440,388,92,120,240,91,353,2267,179,4012,47,26,24,6,45,31,9,8,44,4,47,755,120,1069,385,383,122,21,588,198,71,48,236,43,576,9979,458,12430,47,52,25,3,43,21,7,6,47,3,89,2397,98,2758,144,109,49,13,277,103,23,23,78,20,185,3646,188,4548,283,216,96,21,159,127,22,59,280,31,312,2524,101,3709,618,565,264,46,421,293,49,83,672,62,680,6954,307,9981,10585,5787,3529,913,5968,4780,926,2310,6439,1170,7177,59844,3602,94802,1005,506,332,172,550,503,121,259,552,151,443,3454,48509,54637,45588,39893,15264,3425,25415,20000,4567,9532,42828,4619,35617,304365,70437,534804,..,..,..,..
59499,293,303,99,0,151,136,32,73,567,28,340,1899,1589,4775,27,19,4,0,8,17,0,3,24,0,16,141,61,271,48,21,19,0,21,12,3,10,34,7,35,238,53,431,10,6,5,0,3,4,0,0,9,0,6,117,19,166,3,0,0,0,3,5,0,0,3,0,0,64,25,95,3,0,0,0,0,0,0,0,6,0,0,26,13,41,0,3,3,0,4,0,0,0,8,0,8,74,8,106,0,0,0,0,0,0,0,0,6,0,0,27,5,40,5,0,0,0,0,0,0,0,5,0,0,47,8,63,7,5,0,0,3,3,0,6,9,0,3,72,16,116,6,5,0,0,5,0,0,0,4,0,13,61,11,97,99,66,33,9,49,41,4,20,108,10,85,864,211,1429,6,3,3,0,9,4,0,4,13,0,8,27,1795,1851,399,371,130,11,198,185,33,103,688,40,430,2794,3591,8055,..,..,..,..
59799,3,10,4,0,0,8,0,0,7,0,5,124,0,151,0,5,0,0,0,4,0,0,0,0,0,18,0,28,0,3,0,0,0,0,0,0,0,0,0,24,0,30,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,40,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,15,7,4,0,0,0,6,0,0,4,0,7,124,3,146,0,0,0,0,0,0,0,0,0,0,0,0,211,217,14,16,8,0,0,9,0,0,8,3,8,248,226,514,..,..,..,..
6GHOB,22605,19272,6493,1553,8751,7855,1956,4002,25752,2150,18202,106222,7840,189218,336,250,108,20,145,114,29,49,308,34,247,1366,75,2491,2193,873,687,220,806,949,173,380,1071,214,1267,4213,271,9649,541,169,192,87,240,277,50,88,249,74,363,1543,84,3017,475,110,132,103,268,245,52,49,197,63,277,1184,75,2369,57,49,20,8,59,39,5,6,50,12,91,882,34,1189,168,149,50,20,163,67,13,20,130,22,226,3673,84,4498,68,94,36,11,86,42,23,7,111,15,177,6779,94,7410,96,120,32,4,250,64,15,11,107,9,221,9887,189,10812,198,187,74,24,95,74,18,25,279,19,246,1893,51,2800,174,124,54,15,84,68,17,22,164,11,216,1657,53,2378,4316,2128,1394,508,2202,1933,394,669,2662,472,3344,33082,1008,46613,552,248,142,51,261,237,71,160,338,75,209,1089,8869,11253,27472,21649,8028,2109,11213,10023,2421,4835,28751,2701,21752,140395,17721,247086,..,..,..,..
6RTAS,33522,27371,8989,1724,13757,12041,3170,7537,31199,3296,23487,138795,9913,250612,573,376,176,25,260,237,56,142,432,57,396,2207,123,3994,3289,1186,989,248,1369,1379,310,764,1501,359,1750,5233,429,13003,742,231,246,85,334,397,80,179,318,109,459,1769,122,3715,309,78,72,51,178,157,43,55,134,52,167,769,56,1549,35,27,8,5,33,19,6,8,30,6,52,599,17,769,175,144,46,5,181,67,21,17,105,17,190,2608,111,3425,44,51,24,8,44,17,5,6,60,10,77,1967,26,2232,129,105,19,17,201,65,21,25,102,20,183,5365,99,6090,237,167,82,10,114,92,12,38,204,17,216,1257,47,2059,154,109,82,18,100,77,18,32,152,14,164,1246,43,1902,5682,2473,1749,469,2805,2509,572,1277,3028,668,3655,23022,1076,38735,1276,551,305,97,567,566,144,352,589,166,453,2345,14575,19746,40481,30398,11044,2287,17128,15117,3890,9157,34821,4128,27593,164162,25565,309087,..,..,..,..
69499,100,108,27,3,39,38,14,27,250,11,101,435,122,973,6,0,0,0,0,0,0,0,8,0,7,6,5,27,7,7,3,0,3,0,0,0,11,0,9,17,11,53,0,0,0,0,4,0,0,0,5,0,0,14,3,19,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,4,0,0,0,0,0,5,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,8,5,13,3,0,0,0,0,0,0,0,7,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,7,18,14,10,0,10,4,0,3,25,3,20,73,20,153,5,8,0,0,0,0,0,0,7,0,0,16,215,243,120,121,37,5,53,45,18,38,288,12,117,529,357,1377,..,..,..,..
69799,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,3,19,..,..,..,..
7GDAR,5311,6878,1876,250,3065,2331,664,1276,6825,535,6672,60274,4246,89266,294,243,101,19,197,136,37,62,238,31,265,2127,109,3338,533,301,209,41,287,216,58,148,319,54,414,2646,131,4482,174,104,86,33,91,108,19,50,92,24,167,1346,76,2069,284,92,80,47,222,167,33,52,131,44,214,1526,83,2456,23,21,5,0,30,3,4,8,26,0,30,523,24,656,444,416,136,46,721,229,115,52,237,62,651,8423,316,11020,57,44,31,5,69,23,15,5,31,3,108,2237,34,2575,108,137,24,13,306,75,24,12,83,11,233,7816,133,8747,58,76,21,0,52,33,11,12,73,5,89,907,27,1254,50,83,31,3,60,20,9,9,71,5,117,1792,65,2217,2023,1513,727,221,2032,1017,330,410,1297,234,2298,29350,1000,38817,112,71,32,13,94,53,28,34,77,18,81,630,10831,11826,7445,8465,2638,491,5187,3405,1020,1719,8196,790,9047,90258,16079,139902,..,..,..,..
7RNTE,2235,3906,774,283,4148,3260,1069,819,3130,389,4175,48687,4118,70155,120,158,51,12,136,68,14,32,97,12,126,1479,68,2146,154,113,63,13,97,83,22,50,117,16,132,796,49,1370,52,34,25,7,34,34,8,8,43,13,43,469,19,687,20,19,12,3,32,20,7,8,21,10,33,251,12,379,6,8,0,0,19,3,0,0,7,0,16,287,16,359,52,69,13,3,80,29,15,7,25,3,77,1481,62,1828,7,7,3,0,6,0,0,0,6,0,20,515,8,566,14,26,3,0,65,11,6,0,14,0,57,1815,46,2032,39,37,13,0,24,8,0,0,38,0,62,862,22,1044,33,25,11,0,41,22,7,4,16,3,50,715,26,909,485,492,197,42,525,284,74,114,382,58,612,8667,324,11319,40,28,15,5,59,30,19,6,37,12,44,577,6834,7632,2762,4429,987,338,4734,3566,1160,942,3543,461,4831,57932,11272,89103,..,..,..,..
79499,125,153,57,7,139,155,76,51,186,14,173,1197,152,2106,11,8,6,0,6,7,3,5,17,4,7,71,0,107,13,9,3,0,5,3,4,3,12,4,7,98,0,144,5,4,0,0,0,3,0,0,7,0,5,61,0,83,0,0,0,0,0,0,0,0,5,0,3,32,0,41,0,0,0,0,0,3,0,0,3,0,0,3,0,9,0,0,0,0,5,0,0,0,4,0,6,10,0,21,0,0,0,0,0,0,0,0,0,0,0,12,0,12,3,0,4,0,3,0,0,3,0,0,0,15,0,25,0,3,0,0,0,0,0,0,0,0,0,28,3,35,0,0,0,0,0,0,0,0,0,0,0,10,0,16,37,24,15,6,20,20,8,14,44,10,27,349,6,487,0,4,0,0,9,0,0,0,0,3,13,31,851,906,165,179,81,8,169,181,84,61,237,24,217,1580,1017,3500,..,..,..,..
79799,0,10,0,0,3,0,0,0,0,0,0,43,0,56,0,3,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0,11,0,0,3,0,0,0,0,0,0,58,24,99,..,..,..,..
8ACTE,24933,33743,8616,1485,9970,9169,2772,4317,37940,2020,32935,185274,9080,306525,712,760,266,57,506,341,95,100,708,70,831,4482,206,7612,2888,1525,1031,268,1064,1226,314,580,1779,286,2289,7561,390,15997,1068,482,384,136,462,534,140,216,551,162,870,3553,132,6677,1850,500,569,284,1045,850,230,290,733,249,1231,5197,288,10140,281,267,104,13,294,154,64,35,280,26,458,4037,154,5536,880,1071,328,75,998,438,186,104,761,118,1557,12957,369,17992,334,402,208,37,544,259,80,62,475,60,979,15410,255,18348,755,863,219,46,1811,565,145,84,623,92,1383,28173,643,33784,677,668,228,50,352,233,74,92,920,57,854,5327,138,8295,349,366,114,22,274,169,55,27,419,33,455,4170,120,5899,9800,6897,3443,993,7356,4756,1377,1583,7258,1138,10914,90863,2694,130274,338,142,110,156,156,155,40,92,211,65,229,806,15389,17087,35062,40783,12166,2627,17480,14081,4189,5990,45408,3231,44070,276945,27163,453890,..,..,..,..
89499,26,42,5,0,13,15,0,3,93,6,50,184,26,384,7,5,0,0,0,0,0,0,0,0,3,8,3,24,6,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,4,0,0,0,0,0,0,0,0,0,8,0,13,4,0,0,0,0,0,0,0,0,0,0,4,0,5,11,11,6,0,3,5,0,4,19,3,10,66,11,117,0,0,0,0,0,0,0,0,0,0,0,4,102,114,42,53,18,0,17,18,0,10,108,6,62,253,138,605,..,..,..,..
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..
9OTER,171,200,59,20,114,102,26,39,146,20,175,1853,96,2673,33,32,19,0,20,27,6,10,19,10,35,256,39,432,18,8,11,0,10,10,0,3,7,3,6,69,5,122,5,0,0,0,0,5,0,0,0,0,0,21,4,35,0,0,0,0,0,0,4,0,0,0,7,9,4,20,0,0,0,0,0,0,0,0,0,0,0,0,67,67,15,20,5,0,31,10,3,0,9,5,28,362,36,503,0,0,4,0,4,0,0,0,0,0,6,12,5,26,0,0,0,0,0,0,0,0,0,0,4,15,36,53,0,5,3,0,6,3,6,0,0,0,3,35,8,55,0,0,0,0,3,3,0,0,0,0,9,22,35,67,74,71,37,5,76,60,17,14,38,13,84,803,238,1373,3,3,3,0,4,3,3,0,3,3,7,63,648,739,250,268,102,27,189,161,45,55,189,34,269,2717,978,4778,..,..,..,..
