GCCSA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1GSYD,709,1100,5468,8523,12711,22424,35154,32337,17840,136263,224,1161,5982,6439,8546,12404,12244,10067,6338,63414,12393,19193,50809,41618,31122,27663,26375,24612,20042,253820,123008,342050,810309,776933,666297,578259,438713,249153,105594,4090321
1RNSW,1024,859,3097,4224,6393,14319,26969,24140,15155,96186,140,265,1033,1116,1317,1633,1892,1742,1133,10273,10189,11272,25233,23470,23029,24677,25813,22664,14368,180705,75377,152068,328346,323408,347900,380788,348036,201626,78082,2235624
19499,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1247,1707,6814,9864,12507,19596,36974,46272,26355,161335,316,1419,6251,7248,8379,10260,10149,9643,5949,59607,10737,16464,44203,34863,27490,23890,23266,21102,15155,217176,103872,327785,787943,734420,628457,529394,404547,234789,99947,3851146
2RVIC,860,771,2531,2984,3892,7259,15131,18970,11533,63932,94,295,1001,1077,1279,1243,1086,1005,595,7680,5179,5317,12285,12090,12858,14370,15780,13236,8279,99404,35948,80926,184862,181778,196271,215375,199845,109604,42401,1247003
29499,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
3GBRI,669,601,2487,3477,4922,7216,15613,20518,10402,65906,130,416,1965,2171,2498,2572,2074,1433,890,14147,6359,9266,21635,17788,14957,12468,11820,10393,7519,112198,70074,174362,373835,360155,328864,273632,214020,115945,42859,1953744
3RQLD,921,816,2315,3444,5254,9870,22327,29045,14076,88074,172,354,1262,1280,1417,1538,1537,1242,708,9504,9870,12766,29593,26088,26443,25103,21853,17645,10251,179603,70925,147973,324766,325146,342919,338853,287012,158431,54176,2050205
