GCCSA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
1GSYD,43,1903,3036,9535,4815,3894,2050,879,229,26385,26,326,370,6056,1975,1377,1010,670,175,11995,25,151,281,3670,1447,2690,4535,4592,2680,20064,83,384,458,1401,892,483,288,113,29,4124,104,896,1928,9774,4398,3061,1694,949,226,23026,138,548,975,7566,6564,6975,5449,2878,662,31768,77,484,1493,6915,2552,2112,2120,954,176,16886,0,7,19,188,224,768,2207,1699,487,5606,0,15,83,617,345,552,513,255,70,2449,6,46,242,1428,573,490,335,153,52,3325,54,360,10363,20071,1446,290,153,35,0,32773,21,142,157,764,558,584,1009,849,359,4447,292,2392,4868,14913,8282,7009,4102,1506,339,43696,0,45,85,894,824,1296,1559,791,214,5725,225,1685,2259,9779,2009,1257,527,115,25,17881,0,27,70,313,509,366,207,83,37,1612,192,1637,3259,16028,6374,5329,3533,887,159,37403,11,72,67,1477,711,791,1248,413,234,5026,18,212,443,1270,943,1037,512,133,15,4578,12,172,269,1833,1560,1865,1732,1191,353,8994
1RNSW,30,318,258,437,140,89,49,21,0,1343,3,137,85,678,410,320,401,313,81,2431,10,44,53,441,226,567,1353,1094,703,4496,12,84,82,224,72,34,66,3,0,586,11,47,109,622,139,78,32,13,3,1051,7,16,21,217,193,197,164,92,13,918,31,134,219,809,349,365,161,59,19,2137,0,3,3,24,29,170,498,323,96,1146,0,6,15,65,33,57,78,31,9,291,0,28,75,340,94,45,23,15,5,639,11,74,381,2494,91,21,11,0,0,3093,7,31,43,218,205,353,1223,1026,296,3396,70,544,935,3937,3127,3334,2899,1269,265,16379,4,6,18,197,353,661,903,467,134,2747,37,138,219,1192,145,57,51,12,0,1845,3,21,36,166,309,223,100,17,8,885,79,645,719,2254,757,269,135,34,9,4904,0,11,12,156,85,126,297,136,60,883,0,6,48,204,83,64,42,15,6,470,13,81,121,431,544,1126,1440,1057,293,5101
19499,0,0,0,8,0,0,0,0,0,13,0,0,0,5,0,3,0,4,0,12,0,0,3,8,0,7,5,0,0,16,0,0,4,6,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,11,0,0,4,18,7,5,0,0,0,32,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,10,0,0,0,5,0,6,3,5,0,22,0,6,0,40,22,20,18,3,0,105,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,6,9,10,3,0,0,0,0,26,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,17
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,29,1184,1502,4707,2389,1680,796,276,77,12634,34,277,297,3663,1053,862,758,517,218,7689,9,179,314,2892,1415,4206,7802,7282,4283,28390,60,290,392,920,442,202,155,37,6,2516,45,342,749,3501,1089,432,173,82,12,6433,56,191,358,2658,1936,1954,1448,672,136,9404,127,1357,3398,11723,3413,2980,2678,1010,194,26866,0,17,44,248,349,1163,2883,2074,569,7343,0,63,357,2033,708,1080,877,418,141,5681,17,209,1018,3228,985,461,249,101,43,6307,25,151,2838,6560,404,115,67,15,4,10169,16,110,180,677,537,626,1710,1378,569,5798,476,3844,5318,16163,6701,5103,2661,1045,228,41538,8,62,139,1505,1346,1877,2489,1098,286,8813,239,1795,2408,10166,1500,627,305,80,15,17124,5,27,63,225,344,161,45,14,5,888,140,1387,2922,10685,4141,2650,1481,346,64,23810,11,39,64,1092,663,1057,1582,653,348,5504,14,218,393,1116,749,687,287,66,5,3540,16,182,340,1867,1466,2019,1977,1390,409,9654
2RVIC,0,54,64,229,110,71,26,3,6,560,4,65,72,406,210,224,245,168,61,1449,0,13,36,227,130,442,1237,969,528,3575,0,23,27,72,45,17,16,3,0,206,5,18,39,182,22,19,3,4,0,290,4,9,6,62,37,45,26,15,6,207,12,133,304,1517,354,203,120,36,12,2695,0,4,5,21,29,174,446,231,45,956,0,8,34,113,42,41,48,20,3,304,6,14,90,465,160,81,54,25,6,899,9,36,112,667,26,3,5,0,0,858,3,19,31,154,169,350,1360,1083,282,3458,40,361,550,2098,1551,1607,1237,479,82,8007,0,0,3,44,54,121,172,79,29,497,18,137,161,692,92,28,18,0,0,1138,0,12,12,52,124,58,22,0,5,286,48,376,467,1634,449,154,80,16,0,3237,0,0,7,84,63,67,167,70,29,494,0,8,47,203,34,26,17,0,0,336,0,36,54,303,303,639,883,601,158,2989
29499,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,4,6,0,0,0,0,8,0,0,3,27,6,4,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,4,7,0,9,0,0,9,36,17,11,5,0,0,87,0,0,0,4,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,12,5,0,0,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,4,3,5,3,0,0,18
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,7,172,186,500,282,173,71,19,6,1419,23,234,211,1845,659,469,402,290,90,4224,9,75,110,804,310,359,736,666,436,3507,37,193,318,592,282,104,82,31,6,1649,41,415,659,3359,959,359,148,63,11,6010,3,18,32,179,118,120,89,50,12,616,40,268,614,2012,845,727,520,272,51,5353,0,3,10,25,21,87,167,132,28,480,0,4,34,135,61,70,97,47,5,453,0,55,230,846,250,152,112,49,15,1710,6,72,742,2232,142,50,26,0,0,3270,10,81,83,357,382,421,983,751,222,3280,454,3937,7015,18529,10166,8055,5214,1970,391,55739,0,4,4,75,58,72,67,38,6,324,28,319,326,1474,294,144,73,12,5,2674,13,144,493,954,1023,753,387,130,47,3948,76,790,1475,4286,1779,898,392,91,28,9822,3,22,31,426,197,233,309,117,47,1382,8,183,320,1210,782,820,484,138,17,3971,11,165,311,1039,1033,1283,1176,791,220,6034
3RQLD,46,385,274,330,161,69,42,16,6,1328,0,153,146,802,394,332,342,259,76,2515,10,52,84,768,237,402,848,794,485,3688,32,245,311,666,485,251,179,51,16,2224,23,228,263,1604,395,207,74,30,6,2828,0,10,4,56,45,76,44,31,8,268,8,84,195,732,339,422,214,65,14,2084,0,4,7,17,30,127,285,256,67,800,0,12,25,129,42,91,83,35,13,423,0,8,31,278,73,43,20,19,6,482,15,108,393,1593,71,31,13,0,0,2223,10,38,72,305,322,490,1229,941,311,3709,258,2080,4068,12750,8880,8521,7167,3122,584,47435,0,0,11,54,26,43,50,21,11,216,10,84,118,509,84,67,21,10,0,905,4,215,430,819,899,646,288,46,13,3369,90,862,1217,2958,1290,515,192,53,25,7197,0,22,25,252,138,150,262,117,53,1021,0,10,40,256,92,78,50,25,8,556,12,139,192,738,724,1111,1283,855,245,5287
