GCCSA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
1GSYD,239791,476280,123598,11119,850794,147223,22612,1020631,17991,20627,8883,903,48400,27852,3148,79402,33818,55229,20756,1806,111610,35879,7106,154597,51813,75853,29641,2709,160012,63727,10256,234000,20048,15948,8545,1444,45991,41731,6089,93811,38104,28024,14770,2634,83527,59559,11657,154743,54062,37105,14591,3021,108774,64521,13101,186397,37668,20244,7014,2230,67158,40224,11233,118617,1893,2498,1006,132,5527,2459,436,8420,151774,103822,45933,9457,310981,208498,42512,561988,131,34,41,7,209,439,29,679,172,39,85,10,307,637,37,980,18,15,6,0,41,35,0,78,1452,1108,591,146,3299,2345,832,6477,1773,1192,724,166,3851,3460,898,8216,816,787,292,46,1938,1800,280,4023,445969,657935,200181,23499,1327581,424713,76558,1828859
1RNSW,275361,266367,106386,8541,656654,199896,25547,882102,14728,5857,7332,705,28620,38121,2482,69231,8951,5442,5156,454,20004,15009,2332,37349,23683,11298,12487,1160,48631,53135,4813,106581,6473,2908,3593,432,13407,24052,2005,39466,2525,841,884,107,4360,5782,856,10994,3383,804,678,123,4983,5063,726,10772,1682,391,229,37,2339,1973,367,4681,554,348,233,28,1164,863,110,2129,14626,5291,5615,717,26249,37727,4064,68041,722,129,132,17,1003,1945,101,3047,1296,157,248,49,1742,3135,180,5051,102,42,39,3,188,258,25,470,626,449,254,43,1370,1028,187,2585,2745,781,663,110,4300,6364,494,11158,825,574,257,33,1688,1878,162,3733,317239,284309,125417,10563,737521,299004,35087,1071609
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,292408,519629,140904,14067,967008,205364,35527,1207906,38287,32079,16028,2059,88457,64333,8240,161025,34443,37262,14679,2083,88460,29779,9264,127502,72734,69343,30704,4139,176917,94109,17497,288524,18975,11324,6931,1288,38522,42577,5543,86637,13020,3967,2888,812,20690,27729,4386,52803,17255,4576,3319,964,26107,31975,4657,62741,19984,5442,3691,1790,30910,35051,8363,74322,189,217,104,14,523,463,24,1008,69420,25531,16930,4869,116746,137800,22969,277512,61,7,11,4,85,331,4,421,182,22,56,9,271,1148,25,1442,3,4,5,0,17,14,0,24,916,451,260,59,1688,1531,456,3672,1165,493,333,72,2058,3020,483,5565,369,328,143,29,873,837,123,1837,436085,615315,189023,23180,1263599,441138,76606,1781346
2RVIC,170159,155421,60665,5088,391345,140629,15545,547518,6542,2489,3198,378,12609,24483,1343,38437,1401,676,672,66,2808,2121,355,5284,7937,3168,3867,444,15412,26603,1700,43726,1532,531,810,96,2962,7109,381,10448,105,31,30,3,169,294,27,489,77,21,13,3,115,208,23,346,70,8,6,5,88,63,7,149,34,22,12,0,69,95,0,166,1818,606,864,114,3402,7763,435,11604,296,70,53,6,417,1056,48,1528,521,87,97,14,720,1313,75,2109,45,22,9,0,69,76,9,150,304,192,80,12,584,470,54,1116,1168,365,233,33,1800,2913,186,4898,308,186,65,8,575,494,79,1142,181400,159745,65693,5691,412530,178405,17950,608887
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,181331,264565,83272,7884,537056,109242,22940,669242,6679,2760,3903,374,13717,17435,1042,32191,15886,13790,12279,1386,43341,22985,5034,71362,22570,16548,16176,1761,57058,40421,6080,103557,6420,2894,3116,609,13039,19782,2689,35505,8773,2986,2491,755,15006,16313,3585,34907,9728,2885,1736,555,14909,12740,3404,31050,9880,2502,1447,502,14321,13046,3367,30739,471,214,134,29,850,699,136,1690,35282,11474,8916,2448,58123,62584,13185,133894,299,41,64,0,413,983,31,1430,313,67,100,11,491,1290,47,1827,16,20,11,0,56,32,3,86,84,61,27,3,172,115,39,333,717,188,203,19,1128,2417,120,3665,313,224,137,16,691,876,110,1686,240211,293010,108714,12129,654061,215551,42431,912040
3RQLD,227891,239730,86894,7371,561885,142594,24198,728682,12982,5696,6992,661,26334,30393,2490,59220,14156,9234,8835,715,32938,19081,3750,55778,27142,14932,15827,1375,59275,49477,6235,114991,6711,2973,4354,483,14518,20236,2263,37020,6316,2050,2260,319,10947,10411,2212,23575,6532,1583,1585,264,9966,7267,1458,18694,7559,1620,1220,171,10565,7670,1199,19433,271,154,91,3,509,374,27,912,27387,8372,9510,1243,46515,45955,7167,99634,1664,257,198,36,2157,3147,177,5480,646,138,127,23,938,1478,86,2504,200,97,62,4,368,522,33,921,281,151,99,9,548,335,58,939,2797,649,488,75,4007,5488,357,9851,1213,602,283,40,2133,1938,179,4262,286430,264278,113006,10105,673819,245457,38146,957416
