GCCSA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
1GSYD,368399,57181,80091,1551,411,507635,418869,72484,115848,905,629,608735,143272,58538,274853,3782,1471,481918,19064,18120,23614,19,115,60927,3143,4427,8908,53,99,16629,35804,10351,32479,951,484,80078,6948,2137,4761,510,254,14611,1132,496,1467,41,25,3167,209356,94074,346083,5355,2442,657317,11727,6795,12077,205,156,30961,12278,3467,7886,198,382,24207,1020631,234000,561988,8216,4023,1828859
1RNSW,360848,26627,12443,5812,1170,406902,309146,15931,7771,791,430,334073,104125,35747,29615,1053,402,170944,18194,7975,5557,37,51,31809,5140,3875,2311,34,67,11426,44855,6783,5162,668,362,57837,8893,1366,987,1592,368,13204,1149,512,314,44,26,2043,182365,56253,43952,3422,1274,287264,16408,5339,2391,439,383,24962,13327,2422,1488,696,473,18411,882102,106581,68041,11158,3733,1071609
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,418847,70631,38446,1324,324,529570,517148,85466,56615,660,364,660251,178472,89602,138124,1670,572,408443,11738,9824,12261,8,29,33864,2004,2211,3583,20,39,7860,41706,15360,16431,581,193,74266,6366,1795,1718,978,96,10958,1259,566,605,26,22,2471,241543,119366,172723,3284,948,537865,14199,8711,6112,161,69,29257,16165,4353,3619,128,131,24402,1207906,288524,277512,5565,1837,1781346
2RVIC,224141,10181,2047,2455,337,239161,195651,5155,1021,349,234,202404,65528,15618,5019,257,140,86567,9540,4622,1180,13,10,15367,1772,1332,538,21,20,3691,26553,3008,822,234,144,30757,4322,541,215,892,97,6058,720,268,84,43,5,1116,108437,25384,7853,1461,419,143558,10100,1637,365,321,76,12496,9189,1368,321,312,82,11270,547518,43726,11604,4898,1142,608887
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,200517,16085,18085,1515,237,236432,287945,19843,21206,167,216,329373,119373,42109,65848,188,505,228023,12113,5583,7259,9,44,25010,1053,1365,1965,11,36,4429,28587,6396,11323,124,211,46646,5039,5396,2747,1285,139,14605,721,471,421,28,8,1649,166900,61315,89563,1640,946,320356,6198,4381,3043,65,100,13780,7684,1931,2001,291,194,12098,669242,103557,133894,3665,1686,912040
3RQLD,254370,24140,22016,5121,1199,306849,277206,21112,14498,701,571,314086,102155,39182,38870,366,606,181185,13543,6750,4820,33,67,25222,2900,1993,1660,31,38,6624,42084,8997,9321,392,378,61174,11025,4613,3732,1885,557,21812,1047,504,459,64,15,2082,172757,62047,58847,2760,1669,298084,13186,5176,2241,379,403,21388,11165,2519,2028,882,411,17013,728682,114991,99634,9851,4262,957416
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
4GADE,140643,18084,6115,628,199,165669,171766,20235,6394,111,301,198807,43201,19822,16865,131,257,80279,9112,9952,3284,0,56,22401,2897,3288,1607,10,44,7835,22381,7530,5366,110,157,35543,2868,941,938,260,80,5086,473,343,222,8,12,1056,80933,41875,28278,515,594,152198,4692,5775,2344,45,70,12931,4109,1566,639,48,82,6438,402136,87535,43766,1356,1252,536048
4RSAU,57565,2317,359,769,224,61238,45449,1663,173,154,96,47532,11730,2921,1247,38,36,15977,3218,2915,693,9,25,6861,847,547,131,3,4,1535,9037,983,302,95,62,10476,2420,285,122,164,58,3048,217,109,33,4,6,368,27470,7756,2531,322,192,38263,4093,959,107,73,58,5284,2290,406,97,98,63,2945,136865,13105,3262,1408,627,155264
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,187275,24167,8439,1564,171,221616,287282,28130,10833,135,174,326548,70783,28287,26321,104,136,125631,7085,8709,2800,7,26,18620,1206,1997,997,4,22,4229,34588,10413,6203,124,79,51401,3948,1274,770,384,42,6422,599,371,175,12,0,1160,118212,51050,37269,630,301,207464,6251,5095,2100,82,33,13561,6432,1877,854,124,140,9433,605453,110325,59492,2537,820,778620
5RWAU,55133,2264,272,1708,331,59708,56785,1720,184,254,148,59087,15158,3734,1076,69,50,20083,6603,2624,302,8,47,9586,1954,869,255,28,26,3136,11870,1232,209,148,95,13554,7436,1077,317,607,157,9594,268,105,20,3,8,409,43294,9632,2178,874,383,56362,5533,971,145,240,193,7083,2844,532,98,255,149,3877,163583,15123,2871,3325,1207,186111
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6GHOB,29931,974,1110,160,43,32223,30948,828,844,37,25,32686,8731,1512,2783,64,26,13115,2744,820,886,0,17,4473,580,326,285,0,22,1209,5378,733,1225,62,36,7434,548,112,178,46,5,886,113,44,38,0,0,199,18096,3552,5396,172,108,27320,999,291,265,14,10,1579,866,121,143,12,22,1161,80846,5768,7759,396,205,94980
6RTAS,46305,1335,658,427,92,48817,38267,736,338,75,46,39474,9831,1903,1363,99,18,13211,2628,1291,419,0,9,4351,810,596,207,0,11,1622,7748,877,524,72,29,9261,1215,197,117,152,30,1711,192,77,23,3,4,293,22421,4945,2655,334,97,30440,2048,269,71,51,29,2464,1674,356,92,103,20,2239,110713,7632,3817,994,283,123432
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,6385,558,1010,226,18,8186,13847,1016,1991,27,3,16881,4239,1685,6091,14,26,12061,1144,749,694,0,10,2592,151,31,88,0,7,272,2095,589,1239,29,23,3971,1130,108,345,81,19,1692,61,18,48,0,0,129,8821,3181,8507,126,89,20717,454,82,111,19,17,678,440,109,213,32,28,824,29937,4950,11824,429,151,47297
7RNTE,2334,202,20,336,98,2993,3748,591,44,48,42,4481,1153,1063,228,7,17,2475,3794,794,126,10,21,4739,1608,224,60,13,24,1930,858,296,51,42,33,1289,1521,456,161,94,98,2327,91,20,5,0,0,121,9022,2859,620,173,202,12881,1749,242,101,121,94,2304,413,128,32,70,74,702,17274,4016,821,745,511,23364
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8ACTE,34873,5832,3999,92,26,44831,48878,9835,9001,4,32,67754,9414,6251,12930,4,44,28635,4400,2711,1429,18,10,8569,387,315,300,0,10,1012,4797,2350,3332,9,27,10516,1663,473,539,31,27,2736,107,54,48,0,0,208,20770,12148,18580,62,124,51681,1020,828,810,4,16,2675,894,270,276,0,9,1456,106433,28921,32669,168,213,168400
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,442,29,28,0,5,494,252,13,6,0,4,280,104,3,4,0,0,111,59,31,49,0,0,139,39,0,3,0,0,42,154,21,22,0,3,198,74,8,17,0,0,104,0,0,0,0,0,0,432,62,94,0,5,600,78,5,8,0,3,94,53,0,10,0,4,65,1259,106,141,5,23,1533
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
