GCCSA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
1GSYD,89579,162965,122933,783384,8772,1167633,1506,6105,3177,74353,1053,86194,512111,8795,15514,12996,3268,552684,27022,4257,2586,9892,275,44032,22663,7421,4629,13808,205,48726,322630,127891,91901,692564,9714,1244700,114213,3514,9972,2465,458,130622,20929,3001,2332,7930,142,34334,45143,11310,8223,57436,797,122909,67418,12742,6818,36841,665,124484,11998,2427,1350,3900,92,19767,227307,4081,3194,2150,485,237217,83418,32526,22192,260885,2069,401090,105141,27257,12812,77238,1187,223635,65622,687,2054,590,275,69228,105913,24586,10914,28628,739,170780,20085,2609,1568,4492,165,28919,26746,7972,4383,24001,333,63435,19577,4056,2483,2027,235,28378,19106,7260,5175,3766,193,35500,26355,4017,3264,8184,204,42024,21846,1839,2014,3481,169,29349,24515,3341,1399,943,304,30502,68775,29516,21577,194323,1490,315681,22801,2336,1576,2942,146,29801,23811,3513,2599,1134,107,31164,32544,2003,1866,3354,232,39999,16230,1048,799,695,57,18829,110131,2103,3647,2089,677,118647,10725,2895,1920,9435,80,25055,871371,61108,49533,63970,5676,1051658,46123,3096,2286,12941,245886,310332,2741512,341632,248281,1620768,278959,5231152
1RNSW,14508,89870,67018,953745,11896,1137037,467,5392,2811,161555,2513,172738,19689,1202,1745,5842,210,28688,5502,1328,605,3130,131,10696,15444,5852,3745,12987,230,38258,135916,83359,60925,864352,13016,1157568,16192,704,3934,1077,190,22097,5268,1197,975,6691,92,14223,22808,8361,6113,81019,1014,119315,6741,2135,937,7102,139,17054,3328,1000,418,1860,48,6654,20736,1040,758,1168,87,23789,28642,18061,12229,271799,2699,333430,24304,9110,3518,40441,581,77954,2634,124,310,155,16,3239,3012,1103,537,2724,51,7427,9635,1365,683,3054,97,14834,5321,2034,1150,6854,116,15475,5560,2253,1374,2001,89,11277,6802,4206,2988,2899,137,17032,8094,2072,1344,6062,128,17700,2992,625,601,1877,73,6168,2103,823,284,281,50,3541,35876,22021,15725,228163,2134,303919,4246,613,320,1018,52,6249,5479,1245,929,662,36,8351,5876,852,603,2967,84,10382,1475,278,248,275,10,2286,4487,186,429,194,33,5329,6025,2336,1467,9835,96,19759,107601,19801,15554,37597,1591,182144,5493,1170,923,20293,169253,197132,438138,167640,120847,1904053,198959,2829637
19499,84,252,196,2300,52,2884,3,23,14,608,19,667,227,5,10,18,5,265,15,11,0,12,0,38,75,10,8,26,4,123,551,245,174,1690,53,2713,60,3,20,0,0,83,64,7,0,12,0,83,90,24,16,177,0,307,38,13,3,21,5,80,21,4,4,5,0,34,78,3,0,0,0,81,145,56,27,583,8,819,89,34,9,97,3,232,22,0,0,0,0,22,50,10,6,6,0,72,12,3,0,9,0,24,7,8,6,19,4,44,40,6,5,7,0,58,37,3,18,12,0,70,33,4,0,17,0,54,14,4,3,10,0,31,25,0,3,4,0,32,136,70,52,480,9,747,15,0,0,0,0,15,24,3,0,5,0,32,34,3,0,9,0,46,8,0,0,0,0,8,50,0,0,0,0,50,21,10,4,22,0,57,660,74,47,134,18,933,44,5,4,47,3748,3848,2238,520,360,4349,3900,11367
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,76764,152538,116050,797068,8891,1151311,1214,2397,1352,26680,429,32072,380784,5769,11209,9503,2025,409290,26868,4206,2271,8672,278,42295,31283,10975,6925,23696,318,73197,287537,126245,94061,739625,9927,1257395,71982,1767,6988,1481,252,82470,16118,2502,1859,7792,147,28418,44185,13714,9683,72033,938,140553,100359,16339,8637,45101,1049,171485,11942,2466,1433,4552,148,20541,249671,4662,3319,2526,516,260694,68156,31844,21953,284276,2263,408492,149579,36607,17419,118166,1890,323661,18300,220,780,231,51,19582,30578,6956,3264,6474,238,47510,31082,4287,2411,8184,268,46232,34335,8499,5059,22824,402,71119,16268,2322,1767,1172,156,21685,18291,6244,4658,2563,152,31908,30803,5425,4140,11922,266,52556,17993,1630,1729,2968,144,24464,18898,1567,722,298,217,21702,67803,30797,23550,225791,1800,349741,20697,2185,1349,2489,214,26934,16423,2736,2199,1003,77,22438,18616,1539,1311,3185,129,24780,41092,2893,2025,2245,156,48411,109584,1910,3682,1792,535,117503,8871,2553,1839,9653,71,22987,755825,51479,42750,60021,5180,915255,41148,2593,2036,14052,205599,265428,2424246,320726,235559,1699727,237495,4917753
2RVIC,8638,47505,34252,519374,7764,617533,199,1122,623,27762,520,30226,12784,539,892,3637,131,17983,4995,980,463,2402,88,8928,14165,5331,3317,12875,255,35943,72623,44239,32319,483374,8192,640747,9973,289,1842,411,140,12655,2221,520,438,3456,42,6677,12894,4882,3470,50154,701,72101,4313,1217,457,3552,82,9621,2247,582,268,1118,35,4250,14428,632,309,555,45,15969,15735,10726,6998,167304,1918,202681,18525,6316,2487,32956,531,60815,766,30,82,42,4,924,597,237,91,613,13,1551,1813,353,163,822,20,3171,4165,1328,682,4110,86,10371,2286,688,506,605,44,4129,3587,1959,1446,1200,62,8254,4725,1172,673,3315,80,9965,1570,304,236,788,23,2921,968,209,91,76,19,1363,19510,12073,8770,142241,1557,184151,2108,321,179,543,27,3178,2381,520,363,324,24,3612,2063,356,266,1342,34,4061,1600,296,177,258,16,2347,3107,106,252,82,25,3572,2735,997,641,4578,59,9010,63013,8940,6846,18504,985,98288,3452,725,548,12888,91981,109594,258465,89701,63160,1054623,110663,1576612
29499,61,230,123,1415,47,1876,7,9,6,208,5,235,179,7,4,13,0,203,18,0,0,0,0,18,53,31,5,42,0,131,370,173,124,1249,35,1951,54,0,8,0,0,62,25,5,0,14,0,44,74,23,13,136,4,250,34,18,4,18,0,74,11,0,0,6,0,17,95,0,4,3,0,102,106,48,23,445,7,629,72,22,20,106,3,223,4,0,0,0,0,4,27,6,0,8,0,41,10,0,0,8,0,18,12,8,6,27,0,53,44,0,9,5,0,58,43,12,5,0,3,63,23,6,3,19,0,51,18,0,0,0,0,18,23,0,0,0,0,23,103,60,48,350,7,568,22,0,0,0,0,22,14,0,0,0,0,14,20,3,0,3,0,26,19,5,0,0,0,24,48,0,3,0,0,51,14,5,5,15,4,43,595,69,42,93,19,818,32,9,4,45,3572,3662,1800,426,258,2909,3693,9086
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,3,0,0,7,28,38
3GBRI,26450,99605,79896,584727,6430,797108,839,4804,2863,61193,934,70633,102917,2596,4887,6511,585,117496,4896,1140,610,2174,45,8865,18393,6426,4005,12144,201,41169,217088,87789,66099,542965,6913,920854,32614,1113,5660,1357,196,40940,8813,1641,1186,5030,95,16765,26924,10128,7282,98676,853,143863,7217,2872,1356,8458,95,19998,4488,1012,567,1609,39,7715,63474,1989,1401,1530,177,68571,48134,20585,14389,196535,1461,281104,22095,8615,4168,34049,373,69300,16217,129,727,163,36,17272,2436,899,430,2116,18,5899,1238,243,164,333,15,1993,2422,1234,724,3945,39,8364,28966,4126,3021,1729,269,38111,20123,7179,5313,2676,233,35524,9107,2014,1549,5738,92,18500,6118,817,828,2379,81,10223,25134,2413,1195,484,274,29500,55823,21792,16259,159951,1275,255100,4760,589,373,727,46,6495,15167,2017,1555,617,69,19425,9716,1004,774,2243,81,13818,5424,469,368,448,22,6731,25768,737,1219,685,126,28535,7250,1888,1256,7518,72,17984,233854,23927,22896,39309,2371,322357,13822,1425,1283,11627,114503,142660,857050,184733,144393,1207103,132967,2526246
3RQLD,18288,86610,73142,735945,9366,923351,656,5277,3073,123586,1913,134505,31038,1310,2162,7614,278,42402,4187,1000,447,2178,65,7877,18694,5503,3704,11344,216,39461,209851,78572,62830,673136,10092,1034481,25330,809,4975,1407,249,32770,8480,1286,1060,5319,84,16229,28211,9514,7333,118981,1207,165246,4262,1812,852,5646,91,12663,4034,849,366,1404,50,6703,22109,1012,647,1145,75,24988,41494,16584,12077,213347,2033,285535,24228,9209,4132,44754,609,82932,7441,79,440,112,14,8086,1305,432,227,1516,20,3500,784,167,92,294,5,1342,4016,1815,983,6807,92,13713,18992,3397,2349,1853,185,26776,17380,6428,4661,2847,211,31527,7139,1374,1079,4549,89,14230,4196,588,592,1902,61,7339,4176,783,332,352,60,5703,52863,19175,14618,182309,1711,270676,2493,379,193,520,37,3622,12424,1442,1242,568,70,15746,7400,812,593,2920,64,11789,1985,271,182,364,12,2814,4562,145,411,155,19,5292,6926,1681,1136,6749,96,16588,135295,19821,19450,64508,2415,241489,8277,1503,1331,17850,178811,207772,577754,162209,130510,1541172,203400,2615045
