GCCSA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
1GSYD,351,372,795,1321,1952,2872,4038,4475,3084,19260,303,294,508,1006,2706,6183,9570,8423,3851,32844,6437,34832,41345,33840,32552,27498,16995,9970,6632,210101,67,108,260,627,1428,2511,4005,4901,3585,17492,12824,15252,24017,27668,31915,37590,32990,20445,13358,216059,394621,222484,296148,276430,213147,151798,87189,33787,9684,1685288,34098,22443,29859,26917,22777,19155,14517,10450,8984,189200,467958,309108,410190,392253,340388,296496,230601,134013,64908,2645915,736,2245,7743,17181,38843,73880,98082,76688,35860,351258,54682,47976,55152,52851,45545,39490,32602,18460,6890,353648,828,1119,2877,6610,14218,26058,35961,27730,10739,126140,48,64,100,155,487,1377,4538,12651,16239,35659,1250,2919,6582,16804,31522,55765,66290,42876,14113,238121,1374,1358,2182,4737,12824,31144,51000,46303,24431,175353,909,802,1503,2626,4090,6535,9625,9731,5708,41529,749,631,1045,2027,5009,11702,18409,16499,7031,63102,14177,53274,65082,56202,55027,46816,29086,15905,9133,344702,196,240,514,1246,2988,6219,10187,11023,6525,39138,33230,28615,39082,47241,56206,67493,59225,35159,19987,386238,795579,472453,602158,559169,427062,300916,165708,64591,17268,3404904
1RNSW,188,262,521,774,1461,2507,4272,4856,3224,18065,299,238,393,1014,3105,7851,11672,9130,3493,37195,6503,27725,30941,27999,28799,27380,17523,8561,5307,180738,66,88,226,498,1280,2378,3772,4337,3052,15697,8565,9214,13242,15634,19404,24811,21797,12778,8393,133838,190733,93614,99025,94726,93468,85254,58511,24258,6613,746202,24681,14953,14315,14442,14889,15331,13066,9179,5640,126496,245839,153320,166628,165984,178733,195902,176704,106086,47884,1437080,529,1837,5744,13246,32049,70919,99436,72440,31093,327293,42301,31077,34135,34213,33455,36368,34530,19011,6305,271395,492,646,1591,3619,8890,20081,32908,24612,8743,101582,35,39,79,120,320,1113,3837,10037,11437,27017,945,2007,3862,7324,16791,32404,45687,31560,9683,150263,903,934,1466,2809,8452,23687,43240,39642,19984,141117,516,560,949,1468,2813,5218,9081,9651,5406,35662,679,511,842,1906,5590,14846,23320,18227,6625,72546,14248,43073,48037,45585,48310,47120,31523,14781,7439,300116,153,182,422,899,2415,5395,9295,9868,5418,34047,22141,17133,21136,25538,33335,44525,40450,22819,12622,239699,382477,203036,206259,193014,189081,168785,115031,46993,11750,1516426
19499,0,0,0,3,6,4,7,3,3,26,0,0,4,10,23,35,22,6,5,105,24,165,170,141,142,135,35,8,6,826,0,0,5,0,3,4,6,5,0,23,13,45,59,76,79,105,48,15,3,443,269,275,449,236,215,229,119,27,7,1826,285,220,335,292,212,157,68,19,7,1595,616,703,1022,749,666,698,404,104,32,4994,3,3,33,57,120,272,240,78,11,817,57,106,139,113,111,131,95,26,4,782,0,0,6,19,29,86,82,34,3,259,0,0,0,0,3,3,6,6,6,24,0,6,8,33,51,109,116,36,7,366,3,5,8,10,44,95,152,49,8,374,0,0,0,8,17,19,21,9,3,77,0,6,12,25,33,90,79,20,8,273,40,261,298,290,305,277,91,14,3,1579,0,0,4,0,8,27,25,11,0,75,37,75,101,147,154,215,125,28,8,890,583,558,974,607,499,488,303,73,4,4089
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,343,371,818,1258,1917,2791,3941,4464,3258,19161,320,259,532,991,2664,5553,8838,7819,3707,30683,7227,39689,52967,40933,37254,30239,19142,11511,8388,247350,96,146,309,664,1553,2507,4126,4983,4095,18479,12757,16377,27062,28744,32609,35281,30559,20327,13262,216978,364522,204536,272098,250686,193754,134796,77760,30499,8875,1537526,30806,20665,27410,23839,21130,17266,13298,8901,6020,169335,433723,293922,398093,371203,322760,273358,214827,127601,61530,2497017,582,2318,8161,17087,38056,70369,93405,75082,36643,341703,52411,49642,66508,61281,50941,41696,35186,20827,7861,386353,824,1064,2916,6205,13636,24609,35123,27162,11043,122582,63,68,115,146,389,1100,3940,11678,15595,33094,1305,2816,6822,16624,29944,48754,58833,40204,14608,219910,1524,1242,2237,4407,12013,28159,46313,43553,24387,163835,929,766,1562,2505,3908,6136,8972,9452,5809,40039,746,586,1117,1978,4890,10573,16860,15295,6865,58910,15159,59417,82389,67633,61915,50211,31752,18191,11611,398278,293,284,583,1313,3246,6074,10163,11238,7204,40398,32725,30082,43126,48603,56232,62819,53804,34135,19933,381459,733444,436805,560694,509625,388615,267765,148500,58370,15878,3119696
2RVIC,114,147,282,422,742,1330,2067,2172,1455,8731,160,133,253,592,1726,4107,6260,4549,1859,19639,3696,14496,18384,16664,16871,16104,10479,4587,3058,104339,47,62,146,301,770,1416,2217,2325,1540,8824,4892,5385,8083,9129,11502,14247,12751,7112,4929,78030,105285,50329,54549,53034,52655,48896,33896,13111,3663,415418,12887,7591,7510,7869,8265,8535,7795,5206,3256,68914,134516,82018,93516,94090,101314,111524,101472,57215,25907,801572,276,968,3432,7489,17941,38282,54194,37973,15887,176442,21969,17611,20821,20721,19796,21053,19914,10667,3470,156022,275,363,831,2072,4947,11301,18476,13570,4774,56609,23,44,54,58,175,578,1909,4548,5445,12834,484,1126,2205,4272,9372,17951,25698,16776,5348,83232,563,510,839,1550,4808,13433,25104,21524,10725,79056,314,297,499,757,1413,2684,4458,4441,2467,17330,348,258,488,1079,3004,7754,12410,9371,3482,38194,7901,22638,28213,26660,28023,27100,18571,8038,4255,171399,109,136,256,543,1492,3176,5479,5367,2822,19380,12220,9995,12668,14703,19320,25127,23053,12620,7182,136888,211410,109709,115154,107533,106540,97021,67311,25754,6610,847042
29499,0,0,0,6,7,10,5,3,0,31,0,6,3,10,12,18,15,3,3,70,21,145,182,162,145,84,25,5,0,769,0,0,0,6,9,9,5,0,0,29,26,37,64,77,69,64,37,10,3,387,243,199,318,153,95,122,52,15,3,1200,235,183,312,354,183,122,67,9,6,1471,549,556,878,730,479,429,224,58,19,3922,0,15,38,51,107,123,109,37,12,492,76,93,133,123,117,85,44,20,3,694,0,0,6,17,26,42,40,15,0,146,0,0,0,4,7,0,4,7,0,22,0,0,8,27,70,56,54,17,0,232,0,4,6,19,39,58,66,27,9,228,0,4,3,12,22,15,14,6,5,81,0,4,10,13,42,38,34,7,0,148,44,240,305,321,317,167,60,17,6,1477,0,0,0,5,19,13,12,10,0,59,71,64,124,139,152,126,71,15,5,767,483,423,679,408,297,283,150,36,9,2768
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
3GBRI,176,252,559,787,1129,1560,2183,2525,1597,10768,426,249,448,865,2400,5095,7305,5743,2165,24696,5931,27459,32075,26507,24530,18807,11202,5454,3321,155286,58,82,209,445,1006,1704,2558,2587,1616,10265,9192,10862,15775,17854,19825,20039,16809,9830,5767,125953,191646,106201,119999,113796,92368,63387,37039,13855,3569,741860,17935,12442,13639,12313,10904,8544,6484,4328,3144,89733,235312,163542,190232,184205,168506,141143,112118,62066,26771,1283895,426,1839,5885,12156,26434,44371,56563,39077,15554,202305,30197,29288,35962,35388,31264,25736,21634,11338,3416,224223,465,733,1841,4123,8975,15172,21152,15545,5264,73270,39,36,83,93,263,682,2529,6075,6702,16502,759,1817,3776,8258,16855,26135,30615,18757,5096,112068,905,1004,1607,2970,8166,17966,29074,24788,11456,97936,430,493,942,1432,2263,3391,5000,5119,2757,21827,949,543,883,1704,4333,9481,13882,11241,3838,46854,13004,41979,50368,43626,40912,31651,20007,9443,4667,255657,143,170,387,831,2013,3821,5973,5796,2841,21975,23363,19611,25409,29736,34144,35579,30081,17012,8464,223399,385983,226849,247002,230600,187353,126327,71056,26362,6213,1507745
3RQLD,142,235,372,664,1081,1901,2870,3275,2046,12586,360,209,343,862,2521,6793,9633,7078,2437,30236,5725,21166,24095,23182,23891,21811,13107,6318,3529,142824,74,81,189,476,1100,2132,3179,3429,2024,12684,8042,8198,11514,14390,18077,21583,17913,10738,5956,116411,184480,97771,104601,101937,96506,78637,49750,19556,4724,737962,23180,15387,16768,15777,15996,14775,11306,7187,3910,124286,232283,149512,166061,168330,175891,173823,145075,81697,32328,1325000,447,1622,4939,11939,28412,56955,75820,52743,19615,252492,29732,24166,28179,29700,29151,28741,25609,13710,3875,212863,440,620,1475,3643,8764,17947,27461,19562,6320,86232,45,44,64,129,289,1051,3274,7909,8315,21120,833,1730,3210,6719,15333,27425,34958,22663,6135,119006,955,1011,1477,2855,8246,21171,35979,31479,13977,117150,385,431,723,1224,2224,4022,6424,6793,3575,25801,845,462,743,1755,4800,12763,19179,14633,4579,59759,12513,32808,37200,37749,40277,37532,24450,11393,5171,239093,164,185,363,882,2137,4731,7708,7804,3676,27650,20701,15490,18532,23743,31374,38724,33243,19307,9164,210278,372194,206347,212372,202281,192808,155728,98530,38565,8603,1487428
