GCCSA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
5GPER,5251,7431,12678,2099,2611,4712,2423,6716,9141,2781,13373,16153,7956,30687,38646,9514,20355,29867,26189,13423,39616,24497,16739,41243,30032,19578,49607,34623,16574,51200,27742,14622,42361,29699,11416,41110,67269,20169,87437,53325,2543,55874,46930,5357,52286,30768,1096,31865,96960,7766,104727,53954,5540,59487,5003,5607,10612,557005,221613,778620
5RWAU,1222,1654,2877,603,677,1279,719,1997,2715,802,3775,4575,2624,9056,11684,2709,5306,8018,8288,3539,11832,6755,4401,11153,7819,4697,12516,8636,3608,12245,6249,3296,9546,7020,2681,9694,15203,4743,19948,11798,423,12221,10098,1248,11344,6077,220,6302,15718,1584,17299,15622,1051,16674,1974,2220,4192,129939,56170,186111
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6GHOB,463,722,1187,197,285,476,251,893,1143,319,1885,2200,1099,5249,6347,1418,3269,4694,3744,2316,6063,3692,2628,6325,4561,2853,7411,5482,2049,7529,3985,1855,5835,4124,1287,5413,8668,1866,10531,6430,365,6786,4877,486,5361,3225,143,3364,7407,651,8058,4233,599,4825,537,873,1407,64705,30271,94980
6RTAS,684,1009,1691,403,473,873,409,1517,1931,597,3290,3882,2010,9144,11156,2263,5018,7284,7966,3009,10979,6347,3665,10011,6793,3444,10239,7694,2175,9868,5273,1769,7036,5252,1294,6550,10308,1536,11849,6873,244,7118,4789,303,5084,2691,73,2762,5310,517,5830,6198,455,6646,1053,1589,2643,82908,40520,123432
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,184,354,542,59,104,171,116,282,398,170,694,865,350,1066,1419,416,688,1099,865,623,1493,873,977,1847,1307,1207,2517,1651,1190,2843,1454,1160,2616,1673,1005,2681,4442,1811,6251,3658,303,3962,3273,439,3710,2478,161,2645,6465,696,7159,3825,610,4437,296,339,638,33581,13710,47297
7RNTE,84,142,226,170,82,249,302,250,548,184,291,476,608,491,1104,392,320,708,850,322,1173,879,454,1330,997,643,1637,1074,621,1696,814,597,1415,814,471,1284,1760,903,2663,1469,93,1569,1271,208,1483,836,58,889,1925,279,2201,1843,223,2069,384,259,646,16660,6703,23364
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
8ACTE,542,1016,1560,239,375,612,248,951,1198,319,1881,2195,855,4175,5022,1096,2726,3818,2531,2657,5190,2737,3318,6055,4041,4107,8147,5688,4349,10036,5113,4773,9881,5486,4131,9613,14033,8230,22261,12128,968,13098,12033,1954,13983,9814,574,10390,33714,3176,36892,6046,1094,7136,544,753,1293,117214,51188,168400
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,8,16,22,7,12,16,6,14,18,12,36,43,20,80,99,21,45,67,50,46,94,55,51,103,64,52,116,72,39,118,63,31,91,72,36,101,127,30,157,97,0,98,75,14,88,57,0,54,94,9,105,97,3,101,26,18,46,1008,525,1533
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
