GCCSA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
1GSYD,5000,4754,9754,149453,140735,290192,6339,6082,12417,160794,151568,312364,5067,4587,9658,156588,148550,305136,7359,6924,14283,169015,160061,329072,4965,4780,9748,153694,145295,298993,6776,6255,13029,165443,156334,321768,4717,4284,8994,141352,132796,274149,6164,5456,11616,152229,142533,294764,4234,4261,8488,163742,154872,318610,8518,7444,15957,176492,166569,343064,3750,3825,7571,182816,182770,365584,10465,9912,20374,197024,196510,393535,2914,3111,6028,191026,200781,391805,10153,9789,19945,204099,213685,417779,2397,2682,5082,192020,197684,389705,9493,9126,18618,203911,209496,413405,2127,2376,4503,171517,173067,344579,7942,7311,15255,181586,182755,364341,2220,2477,4694,160395,166230,326626,6954,6443,13396,169568,175147,344721,2026,2361,4387,148889,157307,306201,6290,5570,11864,157208,165240,322446,1693,1956,3650,141868,146846,288711,5919,5208,11125,149478,154011,303485,1414,1556,2967,126860,136349,263210,4919,4584,9505,133198,142487,275683,2458,2949,5411,346690,406282,752973,16047,20290,36336,365194,429520,794713,44979,45959,90939,2426917,2489570,4916487,113343,110383,223727,2585238,2645912,5231147
1RNSW,10508,9858,20373,64899,61608,126502,4252,4106,8356,79655,75571,155229,11137,10236,21375,71576,67616,139194,5507,5238,10743,88216,83093,171313,10928,10475,21410,75174,71305,146483,5717,5391,11112,91820,87172,178998,9359,9071,18423,69100,65112,134214,5203,4752,9960,83664,78934,162601,7802,7576,15376,65057,62362,127422,5049,4446,9497,77907,74384,152295,6683,6683,13364,68810,69308,138109,5044,4800,9840,80528,80789,161317,5622,5777,11396,70756,75230,145983,4991,4830,9825,81370,85838,167210,4810,5049,9860,71111,74995,146114,4932,4919,9856,80859,84966,165827,4086,4422,8506,67838,71939,139772,4804,4658,9464,76723,81022,157744,4284,4853,9136,74107,78188,152294,5092,4807,9898,83478,87841,171323,4228,4813,9044,76567,81592,158152,5100,4489,9584,85888,90890,176779,3782,4274,8056,81213,86211,167427,5392,4955,10348,90390,95443,185830,3338,3702,7044,86093,92067,178157,5247,4688,9936,94668,100460,195135,5922,6586,12510,274602,305227,579831,16851,18865,35710,297377,330679,628050,92491,93386,185873,1216888,1262762,2479648,83174,80944,164116,1392556,1437081,2829637
19499,66,50,119,131,97,230,59,60,118,258,203,460,41,44,82,96,98,195,70,86,155,199,227,428,32,25,57,86,91,178,63,70,136,185,185,369,50,49,94,152,183,334,57,51,106,253,279,532,56,56,116,296,314,612,56,43,101,411,418,829,67,67,129,436,400,832,87,68,152,586,533,1118,67,50,121,448,387,829,62,58,123,574,495,1068,66,51,117,424,288,710,67,54,125,562,392,954,55,43,97,422,266,689,66,53,111,542,357,902,65,40,99,411,237,648,72,60,125,540,332,877,50,21,66,348,275,627,77,33,107,473,333,801,37,14,46,378,289,662,74,61,129,480,359,844,25,10,32,369,295,664,73,37,114,470,339,808,28,23,49,704,449,1153,106,66,176,842,535,1373,712,527,1236,4689,3676,8364,980,800,1771,6375,4997,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1728,1633,3363,142143,134577,276722,5382,5185,10571,149255,141400,290649,1611,1557,3168,150194,142081,292278,6169,5909,12072,157973,149552,307523,1592,1563,3155,143204,135691,278897,5840,5523,11366,150634,142778,293410,1523,1424,2939,134055,127507,261562,5290,4910,10205,140865,133838,274698,1662,1659,3321,159339,151903,311247,7450,6524,13977,168453,160090,328543,1615,1478,3097,181784,179525,361311,9815,8919,18732,193215,189925,383135,1309,1258,2565,187174,198093,385262,8904,8824,17723,197383,208174,405556,1045,957,2000,185525,192009,377532,8258,8008,16269,194831,200968,395798,875,878,1753,161167,163083,324250,7025,6270,13297,169068,170237,339303,862,874,1736,149400,157121,306525,6278,5823,12101,156543,163821,320361,868,827,1693,143096,152846,295947,5843,5268,11112,149807,158943,308742,594,706,1301,129719,137068,266789,5237,4655,9889,135553,142429,277976,516,485,1005,116182,126243,242426,4371,4207,8576,121073,130934,252005,880,991,1866,321021,385930,706954,14180,17043,31222,336076,403968,740045,16672,16281,32952,2304008,2383683,4687695,100037,97070,197103,2420718,2497033,4917750
2RVIC,1812,1807,3613,39120,37698,76819,2261,2137,4400,43195,41636,84837,1995,1879,3875,43512,41026,84538,3055,2785,5838,48558,45693,94252,1968,1836,3807,45378,42489,87871,3108,2863,5968,50457,47190,97643,1521,1527,3050,41261,38545,79807,2634,2549,5186,45414,42621,88042,1288,1289,2574,37924,35879,73805,2525,2226,4744,41733,39392,81124,1171,1174,2346,41919,41855,83777,2706,2649,5350,45802,45675,91470,978,1044,2024,42037,44256,86294,2645,2553,5196,45663,47849,93507,825,870,1691,41412,44575,85985,2691,2818,5513,44925,48263,93191,686,784,1472,39568,42446,82012,2611,2597,5204,42862,45823,88692,717,779,1494,42721,45720,88444,2827,2671,5499,46266,49169,95436,742,842,1586,45137,48671,93806,2923,2632,5549,48795,52146,100937,693,725,1421,47042,51188,98232,2985,2736,5719,50726,54645,105372,563,646,1211,49633,53425,103056,3040,2812,5844,53233,56876,110111,979,1094,2078,156258,172722,328985,10161,10778,20936,167400,184593,351994,15946,16293,32234,712928,740500,1453429,46169,44784,90953,775038,801575,1576613
29499,19,25,42,178,153,331,26,15,43,222,189,414,6,14,25,174,144,319,26,22,54,208,181,393,7,14,24,125,139,261,24,20,47,161,175,334,18,14,28,194,188,378,23,31,52,234,229,459,27,20,49,282,278,555,35,28,65,345,321,671,23,22,40,379,381,756,74,52,126,474,450,928,18,21,43,358,351,713,81,51,134,463,425,892,23,22,45,382,328,706,118,59,174,515,416,929,23,20,41,339,253,597,119,45,166,488,321,806,22,20,36,354,183,538,114,40,151,483,238,723,23,5,33,275,183,453,129,47,184,427,242,668,12,9,24,243,179,419,87,26,115,353,212,563,9,4,13,212,189,397,76,31,103,288,217,511,11,9,18,387,238,626,102,54,154,496,300,797,246,214,462,3882,3169,7052,1042,537,1580,5170,3915,9089
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,3,0,3,7,0,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,3,3,3,5,5,6,9,0,0,0,4,0,4,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,13,24,3,27,36,6,38
3GBRI,4396,4207,8602,70036,66039,136076,2999,2829,5824,77426,73074,150503,4458,4208,8669,77026,73114,150138,3556,3315,6870,85041,80642,165679,4347,4246,8595,78567,74093,152662,3451,3256,6705,86365,81594,167962,3929,3798,7720,73335,70037,143371,3075,2954,6026,80337,76779,157117,3589,3714,7307,80116,79156,159282,4172,3885,8059,87883,86761,174643,3203,3300,6506,83723,85420,169142,4755,4618,9369,91682,93335,185017,2612,2697,5308,84959,89977,174932,4591,4225,8812,92163,96894,189055,2075,2270,4344,86058,90828,176883,4273,4045,8319,92408,97141,189551,1797,1932,3723,78306,81963,160266,3624,3178,6796,83727,87059,170787,1830,2016,3848,77098,81447,158542,3591,3023,6615,82514,86490,169000,1612,1890,3501,73085,77414,150497,3342,2712,6048,78033,82018,160054,1295,1524,2818,65885,69759,135644,2857,2416,5270,70034,73701,143731,1045,1228,2274,59113,64032,123145,2462,2184,4650,62624,67444,130066,1653,2064,3717,163314,190513,353826,7145,8379,15521,172118,200953,373070,37841,39103,76942,1150626,1193783,2344406,53888,51005,104898,1242349,1283890,2526238
3RQLD,8740,8297,17042,60126,56341,116469,4131,3808,7943,73003,68446,141447,9239,8897,18131,69346,65605,134947,5129,4906,10042,83714,79408,163120,9739,9168,18907,74435,70290,144719,5568,4981,10541,89739,84431,174166,7962,7881,15843,66923,63448,130373,5027,4588,9615,79911,75915,155824,6565,6544,13110,61656,61774,123430,6332,5279,11614,74553,73598,148151,5805,5860,11668,66508,69502,136008,7391,6172,13563,79705,81532,161241,4800,5106,9909,67268,73539,140805,7118,5880,12999,79187,84526,163714,4254,4664,8919,68991,76166,145155,6837,5549,12389,80086,86376,166459,3778,4245,8026,66801,72734,139533,6342,4979,11315,76925,81953,158880,3865,4377,8245,72132,77766,149898,6864,5286,12147,82857,87428,170281,3773,4146,7920,73732,79175,152909,6848,5142,11990,84352,88462,172813,3191,3519,6707,73723,79521,153242,6463,5123,11585,83377,88162,171537,2636,2821,5457,73436,78356,151794,5751,4482,10232,81822,85657,167484,4252,5045,9300,221447,238938,460391,15109,15116,30222,240810,259098,499908,78608,80571,159179,1116518,1163150,2279666,94915,81288,176196,1290035,1325000,2615036
