GCCSA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
1GSYD,110847,119233,64423,39095,49581,33904,20597,437686,26584,26002,15819,10409,13355,6626,3081,101883,26657,24969,14169,8673,10543,5286,2484,92779,99183,93361,56756,37883,47968,23019,10481,368650,1247,1317,602,367,220,105,57,3915,264522,264886,151768,96431,121668,68938,36692,1004911,7212,12930,9817,7468,11040,7705,5219,61385,4236,6337,4245,3254,4059,1873,1017,25022,2411,3994,2958,2172,2795,1374,761,16466,16101,21282,14559,10524,13071,5114,2502,83154,1221,1364,754,507,436,164,63,4505,31171,45912,32331,23933,31396,16225,9563,190532,295694,310804,184096,120365,153070,85159,46262,1195445
1RNSW,10641,10803,5908,3536,4505,1887,813,38103,7037,7648,4827,3236,3844,1195,458,28241,8066,8182,4667,2993,3474,1054,408,28841,91943,94558,58003,38156,43783,11508,4303,342255,455,575,330,237,138,24,13,1767,118145,121772,73727,48159,55753,15669,6002,439213,611,1124,907,704,1004,410,223,4984,1656,2473,1840,1348,1676,447,202,9647,704,1430,1175,874,1077,267,136,5660,21767,30092,20289,14637,15538,3198,1172,106689,898,954,633,421,252,56,16,3226,25639,36070,24834,17986,19544,4377,1751,130207,143789,157841,98561,66141,75297,20045,7746,569419
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,104152,108986,55327,32921,41758,27767,16635,387554,21716,20768,12126,7981,10512,5580,2925,81613,23100,21444,11213,6967,8567,4801,2462,78552,100827,98096,59428,40028,52792,27667,13395,392232,1066,1121,545,328,216,84,50,3400,250862,250415,138638,88228,113839,65895,35465,943345,7280,12613,8873,6877,9833,7089,4610,57168,3390,4804,3442,2566,3529,1737,1013,20488,1865,3400,2352,1791,2536,1325,725,13996,12433,19810,14166,10718,14536,6728,3438,81832,1054,1229,653,459,343,147,77,3975,26019,41856,29490,22408,30787,17034,9863,177455,276883,292269,168130,110637,144630,82929,45331,1120801
2RVIC,6787,6866,3558,2254,2858,1182,473,23992,3507,3855,2328,1524,1866,639,265,13985,4155,4100,2285,1410,1601,493,191,14245,52374,53696,32598,21927,26354,7670,2598,197224,305,349,205,143,94,20,3,1121,67135,68874,40975,27266,32769,10006,3542,250564,476,771,595,409,624,292,144,3318,799,1351,945,680,798,253,98,4922,350,676,550,437,546,138,71,2771,10021,15112,10260,7643,8734,2155,763,54687,481,544,343,224,143,41,9,1783,12130,18450,12695,9399,10845,2882,1086,67483,79264,87320,53668,36660,43616,12893,4626,318046
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,35065,38529,21518,13353,17152,8260,4128,138009,12452,12337,7352,4743,5948,2298,828,45963,13160,12479,6938,4131,5183,2038,782,44707,60356,61954,38371,25256,31393,11945,4414,233694,546,609,311,175,132,24,9,1823,121585,125913,74489,47661,59803,24572,10171,464186,3146,5348,3883,2984,4142,1933,1041,22474,2812,3876,2538,1822,2220,716,304,14295,1475,2575,1977,1345,1684,603,292,9949,12604,18594,12645,9153,10650,2974,1310,67932,836,813,436,300,211,46,12,2652,20869,31199,21472,15599,18913,6280,2962,117299,142453,157108,95968,63260,78721,30844,13126,581483
3RQLD,15497,17987,10973,7076,9289,3017,1382,65219,8995,9376,5553,3666,4366,1061,403,33417,10601,10746,6058,3675,4520,1093,379,37080,72202,77679,48605,31921,37330,7410,2434,277583,553,552,387,221,130,25,3,1866,107851,116338,71569,46559,55639,12607,4610,415165,1271,2581,2040,1620,2193,772,386,10864,2012,3132,2172,1509,1871,405,165,11260,1295,2447,1841,1309,1629,342,149,9014,17391,25393,17444,12640,13585,2282,857,89594,806,908,597,367,196,22,14,2911,22779,34460,24096,17438,19474,3829,1565,123638,130626,150798,95669,63994,75111,16428,6174,538806
