GCCSA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
1GSYD,49352,17979,105729,812421,1112892,502735,366649,1214744,258491,4267941
1RNSW,37895,11761,78115,430324,634321,308050,221381,554862,175163,2324100
19499,23,19,49,1561,1512,614,402,2643,3376,10112
19799,0,0,0,0,0,0,0,0,0,0
2GMEL,50905,11749,100021,822153,1089712,455417,313864,1121700,223318,4026163
2RVIC,20710,6383,42424,240758,354300,173912,130023,303717,97186,1299885
29499,12,17,29,1148,1118,391,326,1694,3270,7946
29799,0,0,0,0,3,0,0,8,27,38
3GBRI,21498,5737,42879,431403,588804,247617,166170,489888,118219,2042096
3RQLD,26575,8286,54209,411392,570511,259221,192499,519640,183042,2136302
39499,24,11,44,2216,2411,933,689,3525,3463,13234
39799,0,0,0,6,6,3,0,34,135,183
4GADE,18983,3100,36258,241948,332986,144512,92909,286386,51013,1149752
4RSAU,5553,1301,11053,58285,87866,45399,33981,74047,26053,325639
49499,4,0,11,491,536,178,137,868,763,2975
49799,0,0,0,0,0,0,0,4,5,12
5GPER,19234,5582,40831,366499,470610,193669,144778,436947,102913,1715415
5RWAU,3987,1426,9237,79950,111931,51361,42342,95397,50047,431032
59499,10,23,30,870,963,339,278,1476,3362,7285
59799,0,0,0,33,21,10,15,214,222,516
6GHOB,2799,541,5631,43383,60666,25674,15854,49167,10762,205506
6RTAS,3708,944,7361,46848,69969,34389,25999,64222,16734,258158
69499,0,0,3,216,217,80,47,353,324,1248
69799,0,0,0,0,0,0,0,13,8,19
7GDAR,410,134,833,22796,30785,11465,7491,27078,11999,111611
7RNTE,163,42,326,15688,17469,7453,4702,15048,8576,68943
79499,4,0,7,480,399,152,120,687,1217,3052
79799,0,0,0,9,14,6,4,47,25,94
8ACTE,2982,742,7180,85498,122804,46976,24590,73668,17459,370996
89499,0,0,4,123,123,39,17,138,126,560
89799,0,0,0,0,0,0,0,0,0,0
9OTER,25,4,62,624,958,436,320,810,806,3953
99499,0,0,0,6,3,0,0,0,8,11
99799,0,0,0,0,0,0,0,0,0,0
