GCCSA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
1GSYD,54,7681,..,136579,10870,147446,1195,148645,..,23951,3733,27683,197,27884,..,8010,1119,9126,58,9188,..,3991,2583,6575,50,6621,..,21543,10230,31773,179,31950,..,8008,1655,9656,40,9702,..,7398,419,7818,76,7896,..,10472,1922,12395,99,12498,..,5750,584,6339,47,6383,..,11868,1690,13559,144,13699,..,8976,1481,10458,63,10518,..,7576,627,8196,78,8277,..,8592,1688,10280,46,10331,..,14584,407,14992,120,15113,..,14459,1859,16319,152,16467,..,25340,865,26201,142,26350,..,4321,325,4642,36,4683,..,58700,3463,62167,453,62620,..,29235,4063,33299,245,33537,..,16372,1426,17800,176,17978,..,11714,3444,15159,87,15248,..,8497,2421,10925,70,10987,..,38410,22306,60713,374,61083,..,85411,17931,103339,1889,105234,..,818028,185901,1003931,8264,1012194,..,13642,3495,17135,120386,137528,1496187,831675,189401,1021070,128651,2645912,2995240,..,..,..,..,2995240,..,5765,88,5855,34,5889,..,183050,34896,217944,1534,219483,..,1585,52,1633,16,1652,..,106122,37537,143660,876,144538,..,182005,75282,257290,2145,259429
1RNSW,6,351,..,11894,1513,13404,131,13532,..,4747,747,5494,53,5545,..,1285,157,1439,4,1449,..,241,67,306,5,306,..,877,261,1140,13,1151,..,3445,961,4402,20,4422,..,2302,218,2518,27,2544,..,566,79,650,8,658,..,1031,107,1139,17,1152,..,1672,226,1896,17,1913,..,861,93,950,9,960,..,544,32,577,15,589,..,1304,269,1565,21,1587,..,2547,94,2648,25,2674,..,894,51,949,7,952,..,3544,132,3676,23,3700,..,975,98,1073,15,1086,..,7965,373,8336,76,8412,..,3999,433,4427,47,4473,..,733,47,778,12,784,..,2573,569,3141,10,3154,..,732,182,914,12,925,..,1875,694,2572,29,2598,..,14814,2587,17406,371,17774,..,83555,13077,96634,1138,97775,..,4107,470,4577,83783,88355,1250953,87664,13549,101216,84922,1437081,2456315,..,..,..,..,2456315,..,3036,54,3088,16,3110,..,6574,1034,7606,67,7670,..,3657,100,3757,73,3832,..,3168,1148,4314,40,4350,..,7807,3139,10951,150,11097
19499,0,8,..,40,3,36,0,36,..,9,0,11,0,12,..,0,5,3,0,3,..,0,0,0,0,0,..,9,5,11,0,11,..,3,0,3,0,3,..,5,0,5,0,5,..,12,0,12,0,12,..,6,0,6,0,6,..,14,0,14,0,14,..,6,0,12,0,6,..,6,0,3,0,3,..,4,0,4,0,4,..,8,0,8,0,8,..,12,0,12,0,12,..,5,0,5,0,5,..,9,0,10,0,17,..,38,3,39,0,43,..,27,3,28,0,28,..,6,0,6,0,6,..,9,0,6,0,8,..,0,0,5,0,5,..,13,8,20,0,20,..,79,15,98,0,102,..,488,80,573,10,579,..,16,0,16,1514,1530,2889,505,80,589,1519,4997,6417,..,..,..,..,6417,..,6,0,6,0,6,..,83,9,87,8,90,..,13,0,17,0,18,..,46,11,51,0,51,..,106,49,151,0,152
19799,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
2GMEL,54,5934,..,134874,11607,146483,1511,147990,..,38033,7028,45060,279,45340,..,5768,683,6455,61,6512,..,5669,3480,9151,59,9211,..,6757,1900,8658,64,8722,..,11439,2587,14022,104,14125,..,10069,597,10664,103,10771,..,8656,1610,10271,81,10345,..,6273,880,7157,39,7193,..,4060,385,4443,54,4493,..,8145,1648,9796,63,9856,..,6040,417,6463,72,6527,..,6979,1527,8507,52,8557,..,11355,299,11650,82,11735,..,8476,714,9189,108,9298,..,14399,416,14815,75,14885,..,5076,531,5606,47,5655,..,39308,1954,41262,306,41570,..,18744,2294,21046,177,21217,..,14390,1304,15689,167,15864,..,7025,1498,8516,46,8565,..,13115,3708,16823,112,16934,..,40921,21115,62034,436,62471,..,94248,21956,116201,1987,118188,..,708846,149541,858388,7844,866235,..,12198,3100,15296,100927,116217,1514580,721043,152635,873682,108773,2497033,3003007,..,..,..,..,3003007,..,4643,59,4701,24,4719,..,74242,12816,87059,633,87689,..,604,40,637,12,651,..,61890,18138,80029,556,80584,..,156955,53859,210811,1865,212680
2RVIC,0,204,..,7295,728,8017,90,8106,..,3830,591,4421,61,4478,..,575,57,638,8,641,..,194,106,296,0,296,..,310,58,365,0,365,..,614,145,760,0,762,..,1612,120,1729,24,1758,..,319,80,400,4,402,..,540,71,612,11,619,..,355,30,385,11,392,..,412,61,471,3,473,..,219,23,241,0,241,..,569,133,698,10,703,..,1853,60,1908,12,1926,..,524,53,577,11,590,..,1897,72,1970,16,1988,..,1044,235,1275,11,1284,..,5310,416,5726,55,5779,..,1275,138,1417,16,1436,..,580,53,642,10,644,..,1161,333,1490,15,1500,..,557,200,754,5,758,..,1142,649,1791,34,1827,..,9313,2351,11662,235,11897,..,47839,9016,56854,752,57609,..,2143,309,2449,46270,48728,695240,49986,9323,59310,47027,801575,1362298,..,..,..,..,1362298,..,1276,27,1302,5,1306,..,2997,631,3625,65,3692,..,468,15,480,4,488,..,1364,419,1789,36,1824,..,5931,2966,8894,111,9007
29499,0,0,..,37,0,41,0,41,..,7,3,14,0,14,..,3,0,4,0,4,..,0,0,3,0,3,..,0,3,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,12,0,13,0,14,..,3,0,3,0,3,..,7,0,7,0,7,..,3,0,3,0,3,..,4,4,7,0,7,..,3,5,7,0,7,..,7,4,12,0,12,..,7,3,7,0,11,..,3,0,3,0,3,..,3,0,8,0,8,..,23,9,30,0,33,..,25,0,27,0,27,..,3,0,3,0,3,..,8,0,8,0,8,..,10,7,14,0,14,..,14,7,21,0,21,..,85,25,108,0,112,..,388,94,482,7,492,..,13,0,16,1371,1385,2041,406,94,496,1374,3915,4485,..,..,..,..,4485,..,10,0,10,0,10,..,60,4,66,0,66,..,0,0,0,0,0,..,15,7,22,0,22,..,69,44,111,0,108
29799,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,0,0,0,0,3,6,13,..,..,..,..,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
3GBRI,15,1533,..,31966,2679,34651,328,34977,..,4355,466,4818,49,4863,..,3986,504,4485,24,4515,..,861,404,1265,13,1273,..,5914,2031,7945,61,8010,..,419,56,470,0,472,..,3887,194,4081,37,4119,..,2784,470,3254,31,3284,..,1748,172,1922,15,1938,..,3372,302,3676,44,3723,..,2443,305,2753,27,2776,..,7221,574,7799,82,7878,..,1578,248,1831,13,1834,..,4713,156,4866,42,4909,..,1946,161,2110,19,2130,..,6972,170,7149,42,7188,..,1763,71,1833,13,1846,..,15402,559,15957,105,16065,..,9057,1035,10092,83,10178,..,2523,190,2711,29,2738,..,3174,700,3871,23,3899,..,701,127,830,6,840,..,9534,4699,14235,99,14333,..,30717,6188,36903,708,37611,..,198896,34492,233391,2350,235737,..,5087,837,5926,53343,59266,988890,203983,35331,239310,55689,1283890,1952518,..,..,..,..,1952518,..,7484,103,7585,43,7631,..,10175,1711,11891,114,12007,..,1606,77,1686,22,1711,..,17224,4303,21526,165,21694,..,49298,14161,63458,594,64045
3RQLD,0,362,..,10902,1139,12042,111,12153,..,3872,398,4273,51,4326,..,5230,834,6064,43,6104,..,244,58,308,0,307,..,2689,924,3614,29,3639,..,221,27,246,4,249,..,2200,151,2352,31,2378,..,788,98,893,4,899,..,1152,89,1244,5,1249,..,3673,346,4018,49,4064,..,1572,198,1768,16,1777,..,648,44,692,5,698,..,735,109,846,6,851,..,4014,145,4157,32,4189,..,1225,93,1316,14,1328,..,5611,191,5800,54,5859,..,1310,89,1393,6,1406,..,12165,512,12675,106,12779,..,4906,373,5280,49,5330,..,743,57,803,4,809,..,3040,626,3671,11,3685,..,398,75,474,3,477,..,1881,693,2579,26,2602,..,25896,3627,29520,663,30178,..,109260,14641,123901,1497,125401,..,4840,613,5447,83120,88568,1111035,114096,15251,129350,84618,1325000,2188689,..,..,..,..,2188689,..,7213,119,7325,34,7363,..,3601,494,4090,49,4142,..,15542,1691,17230,510,17744,..,4491,1192,5683,44,5724,..,14622,4630,19251,188,19440
