GCCSA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
1GSYD,19,32,526,4335,19608,16804,18466,12848,3111,3111,3810,5115,1627,311,1624,91339,449,406,544,987,4160,1330,1433,1007,249,257,240,226,76,21,293,11669,33,168,450,1251,2006,1712,3172,1713,504,496,502,467,350,146,225,13204,32,158,718,3212,6295,7965,10652,3996,1279,1133,1168,1356,778,281,543,39564,23,93,502,1202,5121,6308,7630,4050,706,669,682,839,344,147,480,28787,0,3,36,195,2298,2868,2381,2098,579,606,655,749,258,41,288,13051,3,13,98,554,2549,3232,7571,5724,1734,1184,1070,1265,419,105,806,26330,3338,10000,30182,22118,20566,18517,33136,20490,4118,3876,3976,4234,1992,671,4274,181476,78,169,981,1822,2230,3281,5703,4274,1119,1169,1317,1667,1111,411,561,25903,19,41,193,12654,26659,16629,12669,9891,2497,2462,2317,2623,1335,385,3403,93778,3780,9213,22811,39137,43885,47504,52795,37676,14338,13921,13695,14829,5359,1377,7905,328223,13909,48757,118953,151121,258066,289871,430403,277414,77009,80968,86573,95088,35950,9985,47017,2021084
1RNSW,8,17,82,446,2324,1659,2778,3486,773,775,971,1160,410,166,488,15537,223,138,214,220,723,157,195,109,21,20,27,20,8,3,84,2150,24,50,131,240,158,132,269,166,46,68,41,34,38,17,38,1453,32,101,390,924,1119,1503,3148,1146,276,240,305,420,253,113,158,10124,10,41,86,124,299,259,549,528,140,128,159,163,64,15,62,2627,0,0,3,9,64,127,210,260,71,97,191,294,61,0,62,1452,0,9,27,110,288,498,1593,1183,313,250,280,291,154,50,236,5286,3273,10809,26556,14628,9589,6106,10305,4845,698,672,691,863,476,209,3792,93501,51,117,561,1085,1006,1117,2025,1232,244,237,264,308,296,100,232,8856,10,5,15,428,518,293,611,751,219,281,285,307,140,30,300,4183,1364,3756,6801,7442,5137,4671,8208,5899,1799,1511,1945,2714,1046,471,1982,54737,8497,27629,49530,39914,35399,28352,52468,37187,9437,9980,11373,13779,5653,2012,12758,343955
19499,0,0,0,0,9,12,10,12,0,3,3,7,0,0,0,50,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,9,16,14,3,0,0,0,0,0,6,0,55,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,8,28,3,0,0,43,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,12,9,21,66,40,34,34,42,18,3,0,7,21,27,24,17,367,0,0,5,0,0,4,9,3,0,0,0,4,3,30,3,64,0,0,0,0,9,8,9,3,0,0,0,6,0,0,3,34,0,7,26,32,24,32,48,41,0,15,24,57,17,28,28,387,15,59,126,131,194,190,236,179,39,56,102,223,107,148,93,1911
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,13,31,178,1991,9525,7151,14742,10521,2625,2584,2990,4054,1334,320,884,58935,764,942,1145,1198,5050,1633,994,559,124,118,98,92,32,16,297,13052,36,90,289,943,1918,1923,5738,2816,691,721,641,606,356,130,184,17087,26,146,506,2264,4367,4312,8175,3111,763,885,770,919,369,171,271,27056,62,333,1657,2887,7738,8854,18896,10823,2333,2584,3075,3509,1301,254,860,65152,0,4,13,103,1163,1720,2024,1859,454,477,619,537,188,51,160,9362,6,7,54,327,1573,1699,4877,3468,1158,962,1044,1227,415,90,441,17360,3483,13264,33159,21871,18610,12136,27476,15548,2610,2762,2645,2811,1163,502,3864,161913,65,172,620,1497,1726,2478,4666,3563,808,990,1013,1162,706,310,457,20231,5,16,141,9587,25815,15879,14181,10361,2421,2359,2251,2762,1356,330,3090,90552,3331,11794,22548,31245,38011,43088,58172,36516,10867,10291,10800,12355,4410,1253,6674,301357,14330,70609,132252,118419,183914,186540,399203,268533,67342,71186,77093,87832,32094,9576,36710,1755627
2RVIC,0,9,23,183,1025,814,1784,2053,618,525,708,988,303,132,313,9480,114,96,140,108,358,116,79,38,9,13,5,8,0,0,47,1140,3,15,46,131,98,76,217,111,25,14,22,25,32,9,30,853,5,41,128,402,427,564,1309,522,117,113,134,189,109,46,89,4186,6,48,138,108,168,154,611,717,150,207,182,197,101,30,59,2883,0,0,0,8,22,56,148,274,88,115,218,317,72,3,34,1348,0,0,6,38,111,226,1102,972,263,215,282,226,89,19,148,3690,1881,7099,14536,7432,5003,2574,5416,2617,403,365,397,411,201,83,2186,50614,25,35,212,542,382,426,852,589,93,99,99,133,82,36,92,3691,0,0,3,147,332,286,472,438,110,219,240,281,104,30,334,3011,725,2404,3383,2830,2335,2294,5126,3214,825,770,1049,1373,490,310,1224,28347,4865,20671,26549,17723,16426,13393,31818,23171,5885,6133,7279,8702,3290,1092,7821,194810
29499,0,0,0,0,4,4,5,8,5,4,4,0,0,3,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,12,0,0,0,0,0,9,6,8,4,0,0,0,0,5,0,28,0,0,0,0,3,4,5,3,0,3,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,15,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,13,3,11,40,24,23,21,25,10,0,8,7,15,6,17,3,206,0,0,0,0,0,0,12,3,0,0,0,0,0,11,0,36,0,0,0,0,0,5,3,4,0,5,3,0,0,0,5,38,0,8,14,24,25,20,65,43,0,6,20,30,17,30,16,322,6,34,98,79,101,125,230,164,31,55,80,106,62,133,74,1390
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3GBRI,9,13,96,705,4143,3529,7535,5179,1055,1102,1362,1886,518,173,600,27907,137,85,117,274,1167,434,455,255,63,64,50,71,24,3,61,3261,6,39,154,484,562,637,1456,696,186,188,205,230,145,55,111,5171,16,77,291,1102,2010,3925,11152,3855,758,968,848,980,395,193,336,26918,20,89,272,396,893,1141,2707,1654,210,269,303,441,166,53,131,8748,0,0,16,55,1468,3430,2946,1907,486,482,672,752,322,35,251,12826,0,9,19,144,640,759,2304,1525,415,401,366,489,217,41,201,7521,1996,6732,20196,15199,13367,10189,25632,10456,1640,1485,1308,1545,852,339,2981,113907,44,104,498,901,900,1263,2664,1706,361,388,397,470,454,154,223,10530,0,18,44,2416,5314,2975,3335,2498,557,605,542,724,403,106,776,20308,739,2028,5479,8688,12287,14802,28282,17501,4824,4462,5386,6567,2603,585,2640,116868,5244,17145,37436,47606,76807,82222,181089,104631,22264,22395,25547,30960,12839,4253,16280,686727
3RQLD,3,18,95,631,3175,2582,5581,5247,1149,960,1211,1472,562,197,658,23549,95,99,152,247,727,268,365,233,48,50,44,46,33,11,53,2466,7,43,171,343,281,278,446,263,68,90,86,114,67,43,68,2361,18,87,313,964,1380,2875,9363,3338,718,734,710,1060,535,233,373,22699,12,48,157,192,273,218,791,656,146,153,155,199,145,47,53,3252,0,0,6,18,214,537,618,813,192,209,357,492,170,9,91,3732,0,3,24,126,454,613,1905,1371,339,264,331,403,191,45,255,6334,2548,8609,22254,14709,12198,9475,22395,9336,1670,1508,1477,1692,911,346,3362,112507,52,145,616,1002,999,1193,2189,1403,336,332,342,457,345,97,181,9680,4,3,18,261,396,339,947,783,227,273,247,282,156,26,165,4119,972,2928,5975,7385,7316,7336,15313,10285,2790,3135,3410,5291,2135,897,2317,77494,6061,21194,41037,43523,54120,51272,109188,63314,13587,14137,15965,20915,9100,3382,13873,480666
