LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA11500,5035,5423,2796,1725,2135,1306,778,19202,912,800,446,290,346,119,55,2968,796,650,332,206,252,110,59,2410,3242,2798,1603,1020,1200,375,175,10414,69,74,37,21,16,3,0,226,10060,9755,5216,3263,3952,1925,1058,35228,279,479,344,279,357,211,147,2096,283,345,199,156,191,55,38,1266,148,194,119,85,114,59,12,731,1421,1643,1013,688,751,181,76,5775,74,98,64,36,25,4,0,297,2211,2763,1731,1247,1435,501,274,10159,12267,12516,6948,4505,5384,2426,1334,45389
LGA11520,1694,1369,657,366,460,356,208,5110,454,493,286,169,242,115,63,1826,550,462,266,158,193,125,60,1806,1644,1575,1096,711,955,523,252,6761,20,16,4,3,4,0,0,54,4362,3917,2310,1414,1849,1121,581,15558,81,162,108,85,131,114,81,767,49,68,64,48,76,38,21,369,40,57,57,29,46,18,13,252,114,196,160,132,157,113,42,909,5,9,0,0,4,0,0,30,286,491,396,288,417,284,158,2323,4649,4403,2705,1702,2270,1406,740,17880
LGA11570,9831,9837,5385,3520,4838,3558,2219,39186,2497,2487,1538,1008,1236,642,263,9663,1908,1713,988,592,713,355,154,6425,5700,4995,2890,1791,2191,993,444,19017,154,134,55,33,13,13,7,408,20085,19170,10853,6938,8987,5564,3090,74699,934,1467,1104,809,1254,936,637,7140,463,729,486,333,407,199,110,2738,260,318,229,170,224,94,61,1358,1136,1169,746,528,639,261,144,4622,121,151,87,50,48,14,5,473,2911,3836,2659,1883,2572,1502,958,16325,23003,23009,13518,8821,11557,7070,4054,91025
LGA11600,16,20,3,6,7,0,0,55,6,6,0,0,3,0,0,24,12,7,0,0,0,0,0,21,121,101,62,24,36,4,0,355,0,0,0,0,0,0,0,0,155,135,69,39,48,8,0,453,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,9,0,0,5,4,0,0,0,6,18,27,3,5,3,0,0,65,4,6,3,0,0,0,0,11,30,36,10,11,8,0,0,97,184,174,80,45,58,9,5,549
LGA11650,1615,1854,1094,679,834,361,180,6618,1377,1496,894,616,736,283,125,5519,1497,1430,839,530,622,232,96,5245,10528,10398,6184,4124,5023,1741,789,38788,57,66,45,26,16,3,0,208,15076,15252,9053,5968,7227,2619,1187,56375,90,188,174,136,190,69,38,893,321,524,346,249,315,108,50,1908,145,322,242,173,217,84,44,1230,2631,3440,2383,1690,1976,533,232,12883,96,96,73,44,30,8,0,346,3285,4574,3214,2297,2725,804,363,17258,18358,19822,12264,8267,9953,3417,1550,73636
LGA11700,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,44,57,14,10,7,0,0,131,0,0,0,0,0,0,0,4,46,57,17,14,7,0,0,141,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,17,21,11,0,0,105,0,0,0,0,0,0,0,4,29,36,17,23,11,0,0,111,71,88,37,35,12,0,0,256
LGA11720,88,107,62,22,40,11,9,350,141,112,74,49,44,16,4,441,108,104,39,47,38,11,5,353,2602,2429,1444,968,979,237,100,8759,11,21,14,3,3,0,4,51,2952,2780,1629,1092,1098,279,124,9954,6,5,9,4,13,4,3,45,38,52,25,21,23,14,8,180,18,23,30,16,16,6,0,107,950,1153,660,445,464,93,30,3803,26,19,21,13,3,0,0,91,1044,1267,743,501,521,114,44,4225,3992,4041,2371,1596,1625,389,166,14178
LGA11730,76,79,44,35,32,7,4,284,76,103,57,49,47,7,0,341,106,113,55,49,42,9,0,377,1536,1582,991,717,780,123,27,5760,5,3,6,5,4,0,0,17,1800,1878,1153,857,906,147,33,6775,3,8,11,4,9,6,0,42,34,40,33,27,24,0,0,149,12,25,24,12,20,0,0,96,507,670,483,327,321,35,12,2348,23,25,15,8,7,0,0,71,579,765,559,375,377,49,15,2712,2380,2647,1705,1229,1288,197,46,9482
LGA11750,21,15,8,0,8,0,0,50,7,5,0,0,0,0,0,18,14,10,0,3,0,0,0,34,139,137,86,52,48,7,0,475,0,0,0,0,0,0,0,4,183,176,101,60,56,8,0,585,0,10,3,0,0,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,35,50,28,15,18,0,0,142,0,3,4,0,0,0,0,3,35,65,33,21,20,0,0,170,217,236,131,79,78,7,0,747
LGA11800,465,511,322,168,211,70,30,1774,218,258,155,107,124,25,12,896,271,268,159,99,97,24,4,927,2073,2326,1521,964,1118,242,58,8310,15,16,7,3,7,0,0,44,3037,3384,2161,1341,1556,362,109,11952,37,62,47,40,55,29,11,290,57,68,80,38,53,8,3,314,31,60,41,28,32,8,5,195,619,820,598,441,438,84,21,3034,27,39,7,7,10,6,0,94,769,1048,776,561,589,140,40,3922,3803,4434,2939,1903,2145,501,153,15876
LGA12000,0,3,0,0,0,0,3,14,8,4,3,6,3,4,0,25,4,0,0,0,0,0,0,4,177,236,119,90,101,23,3,741,0,0,0,0,0,0,0,0,178,238,121,93,109,26,9,781,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,6,32,50,41,22,24,4,0,177,0,0,0,3,0,0,0,3,38,52,44,28,26,5,0,197,222,295,168,119,137,37,6,976
LGA12150,6,3,0,3,0,0,0,13,0,0,0,0,0,0,0,6,3,7,0,0,0,0,0,9,156,106,69,41,43,16,8,440,0,0,0,0,0,0,0,0,166,112,76,44,50,17,8,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,73,86,39,36,20,4,0,271,4,0,0,0,0,0,0,7,78,92,39,39,23,4,0,278,251,206,116,84,71,21,8,752
LGA12160,10,11,10,4,10,0,0,45,15,21,11,11,8,0,0,66,18,20,4,4,4,0,0,61,393,399,259,176,194,25,10,1460,3,0,4,0,0,0,0,13,441,462,286,195,214,32,6,1636,0,0,9,0,4,0,0,12,3,7,4,0,3,0,0,24,0,3,3,0,0,0,0,15,102,129,72,64,77,7,0,455,8,3,3,0,0,0,0,11,111,142,88,72,91,6,0,514,547,608,377,269,303,40,6,2149
LGA12350,31,24,12,10,11,4,3,102,17,8,15,3,13,0,0,52,9,10,8,6,3,3,0,42,392,396,241,174,234,31,7,1477,3,0,0,3,0,0,0,8,461,441,275,190,260,42,9,1677,5,0,0,4,3,0,0,17,3,8,4,3,7,0,0,24,4,4,0,0,0,0,0,9,152,197,92,82,69,13,0,603,5,6,0,0,0,0,0,16,171,214,107,92,74,15,0,667,628,654,379,281,334,53,9,2343
LGA12380,8754,8505,4532,2572,3301,2374,1554,31586,1459,1316,829,500,619,320,107,5149,957,830,511,282,323,151,66,3122,2480,1960,1068,681,783,348,146,7471,113,118,51,29,11,9,5,337,13763,12728,6987,4073,5034,3202,1882,47666,614,919,681,473,772,525,377,4364,256,353,198,161,183,80,41,1283,134,175,106,87,112,53,18,685,503,541,294,211,253,111,45,1961,67,70,47,31,26,12,6,260,1579,2058,1324,968,1351,781,481,8542,15345,14791,8312,5033,6386,3988,2365,56216
LGA12390,420,280,104,63,65,20,5,966,82,67,46,22,29,11,0,250,130,86,37,22,32,11,4,314,2132,2066,1257,825,896,188,44,7403,9,13,3,0,0,0,0,28,2770,2519,1440,944,1016,223,58,8963,16,12,19,10,14,8,0,68,23,19,24,14,18,5,4,113,14,18,14,8,12,0,0,72,659,828,506,339,313,51,11,2700,10,17,8,14,4,0,4,53,716,902,568,384,354,62,17,2996,3483,3412,2008,1331,1370,284,71,11961
LGA12700,0,3,0,8,4,0,0,16,23,19,12,7,6,3,0,74,21,20,3,5,5,0,0,57,385,452,272,178,150,45,22,1496,3,0,6,3,0,0,0,14,426,492,301,198,171,49,26,1657,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,5,0,6,3,3,5,0,0,16,53,69,52,47,41,6,4,271,0,5,0,6,0,0,0,7,55,79,60,55,50,6,4,309,483,571,361,252,220,51,31,1970
LGA12730,16,15,6,12,7,3,0,58,15,10,7,6,8,0,0,42,10,18,4,6,8,0,0,47,307,288,201,135,146,30,8,1113,3,0,0,0,0,0,0,3,350,332,217,157,167,33,6,1261,0,0,0,3,0,0,0,9,0,7,0,5,0,0,0,18,0,0,6,0,0,0,0,0,46,82,55,36,38,10,3,263,0,4,0,0,5,0,0,13,51,96,61,45,46,10,3,302,401,425,277,198,218,40,11,1566
LGA12750,66,53,30,15,32,5,3,221,58,75,44,38,40,3,0,266,61,64,49,38,33,10,5,260,959,995,669,430,488,101,18,3671,3,9,9,4,5,0,0,24,1155,1194,800,534,599,133,28,4436,3,6,7,10,10,4,0,26,23,15,28,19,25,9,0,120,14,22,16,24,12,3,0,99,285,375,299,215,216,29,10,1431,14,12,16,6,8,0,0,50,338,437,358,269,268,49,10,1732,1495,1631,1158,803,867,183,39,6170
LGA12850,5378,6570,4271,3087,4188,2936,1792,28219,730,694,383,240,331,167,83,2630,817,708,339,188,224,125,63,2460,1409,1210,655,457,544,274,139,4682,55,73,43,17,4,3,3,200,8390,9259,5686,3983,5291,3503,2084,38188,847,1497,1147,958,1391,956,566,7350,191,288,167,130,152,42,29,992,138,182,113,69,94,47,16,653,459,479,289,173,223,78,31,1730,118,120,59,44,65,31,8,447,1746,2560,1776,1370,1920,1163,639,11176,10130,11822,7463,5350,7219,4663,2718,49367
LGA12870,18,16,8,4,4,0,0,53,21,20,8,5,7,0,4,64,6,20,13,6,5,4,0,58,404,440,298,188,199,47,8,1581,6,0,0,0,0,0,0,4,451,492,336,195,222,52,11,1763,0,0,0,0,0,6,0,0,13,3,3,5,0,5,0,29,0,3,4,0,0,0,0,11,84,113,79,56,66,17,3,422,0,5,0,0,0,0,0,6,97,115,89,63,70,24,3,463,549,609,422,265,293,77,17,2227
LGA12900,6,17,4,7,6,0,0,45,5,5,5,4,9,0,0,32,11,13,13,4,8,0,0,47,366,386,255,165,151,37,11,1367,0,0,5,0,0,0,0,9,394,426,285,176,170,41,11,1496,0,0,0,0,0,0,0,0,9,5,0,3,0,0,0,19,0,0,0,3,0,0,0,8,101,147,63,56,66,9,0,437,4,6,3,4,3,0,0,17,111,161,72,69,67,9,0,486,507,585,355,249,234,50,7,1979
LGA12930,3133,3465,1728,1049,1433,1142,754,12703,594,607,408,273,358,245,123,2618,734,716,400,249,305,186,86,2678,2191,2193,1441,999,1327,816,394,9362,29,30,10,7,7,3,0,85,6682,7013,3987,2579,3432,2387,1351,27450,227,419,299,231,366,337,240,2113,89,142,112,76,105,54,39,615,77,108,79,74,89,33,25,488,202,337,221,178,258,143,71,1406,25,14,14,6,0,6,0,74,617,1033,727,573,818,568,366,4695,7297,8047,4713,3153,4251,2955,1723,32143
LGA12950,4,9,0,0,0,0,0,14,0,6,5,0,0,0,0,12,9,0,0,0,0,0,0,13,150,147,100,59,70,12,0,535,0,4,0,0,0,0,0,6,165,161,112,60,66,12,0,582,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,0,0,3,0,0,0,7,60,66,49,24,27,5,0,226,0,0,0,0,0,0,0,9,65,68,47,30,30,3,0,247,233,230,160,84,97,20,0,828
LGA13010,14,9,6,5,4,0,0,32,5,7,7,6,0,0,0,23,12,9,5,0,3,0,0,29,215,258,182,109,143,30,3,929,0,3,5,0,0,0,0,8,240,281,201,115,151,31,3,1027,0,0,0,0,3,0,0,3,3,12,6,4,0,0,0,30,0,3,0,0,0,0,0,5,95,113,64,43,48,4,0,368,3,4,4,0,4,0,0,14,102,129,74,43,56,8,0,418,343,417,278,167,209,33,9,1445
