LGA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA11250,0,13,0,8,36,0,56,7,10,11,8,25,0,62,29,12,7,69,19,4,125,160,32,28,126,31,0,376,125,19,9,113,27,0,290,211,22,8,117,16,0,379,151,9,0,67,5,0,237,77,5,0,26,6,0,116,11,0,0,0,0,0,12,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,32,18,6,77,779,116,72,567,186,22,1742
LGA11300,6,14,0,4,0,0,19,8,10,0,0,0,0,18,21,170,18,22,9,0,235,34,35,28,42,13,3,150,65,10,0,39,13,0,130,136,24,10,44,18,0,231,292,12,12,64,17,3,401,872,8,10,139,27,5,1058,1564,6,17,192,40,5,1813,1240,5,9,122,21,0,1395,476,0,3,53,8,0,545,170,0,0,27,9,0,207,85,0,0,10,3,0,100,77,0,0,30,6,0,107,88,14,7,81,24,24,243,5129,312,103,855,208,39,6649
LGA11350,0,0,5,7,6,0,14,0,0,0,7,0,0,11,4,9,8,17,16,0,56,9,38,64,48,20,0,172,9,6,17,76,21,0,122,31,5,17,110,16,3,187,55,11,13,154,33,0,268,163,0,14,294,32,0,515,295,0,3,273,17,0,591,349,4,0,209,10,10,571,280,0,3,140,7,0,430,192,0,0,105,8,0,302,135,0,0,57,4,0,193,195,0,0,96,3,0,296,39,12,5,84,20,10,173,1753,90,151,1669,212,34,3907
LGA11400,0,4,4,3,18,0,33,3,0,5,3,0,0,15,3,7,13,30,10,0,64,37,8,3,46,6,0,102,24,0,3,51,4,0,83,70,0,0,74,3,0,151,96,0,0,46,9,0,147,51,0,0,26,3,0,81,11,0,0,3,0,0,14,6,0,0,5,0,0,7,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,22,3,57,303,23,28,318,77,5,767
LGA11450,7,9,0,5,0,0,22,0,4,6,3,0,0,19,5,123,14,12,4,3,160,13,52,35,22,13,0,141,8,33,9,28,5,0,87,54,39,28,44,53,3,223,357,35,12,96,15,0,509,1140,31,4,218,23,7,1432,3297,22,6,329,37,4,3695,1965,3,0,126,7,3,2104,296,0,0,28,4,0,326,85,0,0,10,4,0,102,24,0,3,6,0,0,30,33,0,0,3,0,0,38,158,15,14,91,32,25,334,7445,374,133,1024,200,47,9214
LGA11500,13,90,5,16,4,0,121,0,207,7,0,9,0,227,13,1317,55,36,15,13,1451,49,838,96,67,11,4,1059,57,395,32,87,9,0,583,250,459,64,145,30,0,946,1578,381,87,329,18,3,2397,5872,520,66,677,88,12,7240,2781,58,8,297,43,4,3194,1069,8,0,85,8,0,1165,180,8,0,31,7,0,221,39,4,0,10,6,0,53,14,6,0,4,0,0,21,22,0,0,5,4,0,34,236,261,39,135,35,41,750,12159,4543,474,1912,273,87,19456
LGA11520,10,19,5,3,3,0,38,0,37,0,5,8,0,44,24,291,26,18,44,3,407,20,98,61,29,0,0,214,23,47,13,35,9,0,128,53,36,20,56,48,0,210,174,32,7,91,26,0,331,1059,16,35,174,22,0,1308,2739,9,11,252,38,3,3057,2547,6,3,215,21,4,2801,1694,3,0,152,20,0,1870,894,0,0,101,4,0,1002,443,0,0,42,0,0,488,658,0,0,70,4,3,742,190,30,14,129,33,19,416,10530,626,211,1367,287,43,13062
LGA11570,35,194,23,26,8,0,285,6,488,45,16,3,9,568,79,2675,234,117,34,21,3161,134,1328,392,197,39,10,2103,188,601,151,231,33,3,1223,729,672,215,263,62,8,1950,3414,435,197,573,144,12,4778,8763,351,224,1368,288,30,11024,7116,225,68,1211,292,24,8936,3888,72,29,557,140,13,4696,2110,10,12,290,49,9,2480,804,7,4,131,19,0,972,276,0,0,35,7,0,315,175,0,5,51,3,0,232,560,457,75,504,160,138,1890,28279,7514,1678,5571,1291,274,44598
LGA11600,0,0,5,0,13,0,23,0,0,0,0,6,0,6,0,0,0,10,13,4,23,3,6,0,25,12,0,43,3,6,0,21,5,0,36,17,0,0,20,4,0,45,8,0,0,26,5,0,37,3,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,0,42,40,14,7,122,85,4,270
LGA11650,22,83,18,36,15,5,177,7,183,17,20,7,0,232,38,1300,105,117,69,10,1637,150,539,324,238,220,17,1487,251,243,141,305,85,16,1040,790,280,178,456,109,18,1828,3142,219,120,1088,115,16,4693,9817,228,101,1735,161,22,12067,6320,36,22,873,49,16,7325,2350,10,7,319,20,5,2701,876,3,5,113,10,0,1003,346,0,0,65,7,3,426,163,0,0,29,0,0,191,166,0,0,24,14,0,206,426,205,71,251,107,88,1147,24857,3330,1107,5669,991,206,36168
LGA11700,5,16,0,0,25,0,43,0,0,0,0,5,0,9,0,9,5,9,6,0,30,4,22,14,10,3,0,54,0,8,13,7,0,0,24,0,6,7,0,0,0,14,0,5,8,5,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,11,0,21,7,76,53,28,53,0,217
LGA11720,3,6,3,6,4,0,17,0,6,6,4,0,0,20,19,57,12,48,3,4,144,62,144,42,60,22,3,323,103,40,5,92,11,0,249,360,86,22,123,10,3,606,1300,73,23,266,36,4,1707,1795,69,17,216,19,6,2120,564,4,0,53,4,0,624,61,0,0,8,0,0,71,22,0,0,9,0,0,32,7,0,0,0,0,0,14,0,0,0,0,0,0,3,9,0,0,4,0,0,11,60,31,9,67,15,19,209,4370,520,135,956,129,38,6150
LGA11730,0,5,3,10,4,0,28,0,7,3,11,4,0,28,12,96,20,72,31,4,235,79,60,82,117,51,8,401,101,30,25,133,23,4,316,327,38,32,224,40,12,669,736,23,18,386,37,10,1201,972,0,27,270,31,10,1312,332,0,0,69,5,0,409,81,0,0,17,4,0,105,21,0,0,5,0,0,26,3,0,0,0,0,0,3,0,0,0,0,0,0,4,6,0,0,7,3,0,14,44,27,13,80,34,12,205,2725,297,219,1408,267,54,4968
LGA11750,0,3,13,4,16,0,37,4,9,0,0,17,0,30,12,12,6,7,26,0,62,20,16,10,15,24,0,84,16,9,0,17,8,0,56,44,5,3,14,4,0,72,47,0,0,17,9,0,65,8,0,0,9,0,0,14,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,7,12,0,23,156,65,27,93,106,5,448
LGA11800,6,8,6,17,5,0,42,0,14,10,6,7,0,31,15,80,37,66,40,0,242,43,237,158,91,43,6,567,37,69,42,101,32,4,286,288,106,72,188,39,5,703,964,89,42,371,57,5,1526,1831,96,36,534,42,16,2557,1278,22,16,262,40,5,1620,486,6,0,85,11,0,587,156,4,0,27,0,0,187,30,0,0,18,0,0,49,6,0,0,3,0,0,13,11,0,0,7,7,0,26,75,56,35,78,38,27,311,5236,780,460,1850,350,70,8752
LGA12000,0,0,0,8,0,0,8,0,0,0,4,0,0,7,0,6,4,25,4,0,43,15,0,0,15,3,0,34,7,0,0,28,0,0,36,23,0,0,10,0,0,35,27,0,0,8,4,0,43,22,0,0,7,0,0,31,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,17,103,8,9,120,22,6,266
LGA12150,0,8,0,5,13,0,28,0,8,5,0,12,0,20,0,6,4,14,3,0,34,33,36,12,24,9,0,113,20,12,0,27,0,0,65,22,16,10,31,3,0,75,0,3,0,15,0,0,26,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,21,77,91,35,117,49,6,386
LGA12160,4,5,0,10,4,0,24,0,14,0,4,0,0,13,28,57,0,28,9,0,122,63,64,0,57,14,3,200,51,21,0,45,5,0,124,123,5,0,53,4,0,183,139,0,0,46,3,0,190,38,3,0,18,0,0,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,6,6,0,9,26,0,51,445,176,0,276,68,7,978
LGA12350,0,5,0,9,4,0,15,3,9,0,10,0,0,22,14,51,18,26,7,3,121,121,43,10,61,12,7,246,64,16,8,61,11,0,164,183,27,4,81,10,5,303,179,4,0,50,4,4,230,59,0,0,12,0,0,78,0,0,0,4,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,6,12,23,0,64,642,169,41,334,64,17,1274
LGA12380,17,125,19,14,4,0,181,13,300,44,13,4,0,370,87,1397,136,95,36,12,1757,127,696,243,149,52,11,1271,163,281,98,156,40,4,749,414,332,155,152,45,9,1110,2069,206,179,368,90,12,2920,7454,221,150,983,258,31,9101,6211,109,39,868,258,28,7512,2492,23,13,368,115,6,3018,1006,0,3,136,37,3,1183,244,0,0,41,20,5,306,73,0,0,16,0,0,95,89,0,0,28,9,0,130,468,244,57,324,137,120,1353,20925,3940,1147,3707,1117,228,31067
LGA12390,3,20,3,12,10,0,43,3,30,5,6,3,0,49,43,206,21,65,15,6,363,212,134,67,99,21,7,540,210,68,37,114,7,5,442,593,80,20,175,24,6,886,1107,40,26,285,37,11,1512,1220,22,27,229,45,4,1552,268,5,4,51,5,3,337,53,0,0,13,0,0,64,13,0,0,5,0,0,17,8,0,0,0,0,0,15,0,0,0,0,0,0,7,3,0,0,0,4,0,8,79,46,4,62,41,11,252,3810,649,225,1120,213,56,6074
LGA12700,0,0,0,0,0,0,7,0,0,0,0,5,0,9,3,0,0,7,4,0,16,3,13,5,21,3,0,48,11,0,0,26,4,0,36,42,3,0,32,5,4,81,71,0,3,38,4,0,118,112,0,0,32,4,0,144,20,0,0,8,0,0,35,7,0,0,0,0,0,12,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,18,8,0,37,283,22,7,185,38,3,536
LGA12730,0,0,0,7,9,0,11,0,0,0,9,3,0,15,45,8,12,37,14,0,109,93,23,18,35,9,0,179,50,7,0,18,0,0,81,121,14,6,34,5,0,177,123,4,4,18,0,0,150,42,0,0,7,0,0,46,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,15,20,0,48,484,71,34,173,60,0,827
LGA12750,0,8,0,4,5,0,18,0,7,3,6,0,0,18,9,109,14,43,12,0,187,49,62,40,96,21,3,281,76,36,16,92,12,0,238,211,33,45,130,18,5,444,461,32,15,212,24,6,751,778,19,11,263,38,7,1116,275,5,0,91,5,0,379,68,0,0,35,0,0,111,6,0,0,5,0,0,14,4,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,5,0,0,9,28,31,15,52,22,13,161,1976,341,168,1031,175,40,3730
LGA12850,18,64,12,22,3,0,119,5,185,22,3,0,0,216,35,1107,97,76,27,8,1347,105,794,232,116,43,6,1291,146,372,70,150,33,4,770,526,378,159,234,70,8,1381,2229,284,156,508,168,25,3368,4276,321,124,999,374,30,6130,3899,167,62,646,278,30,5085,1336,20,12,210,113,9,1706,496,10,3,59,18,0,581,103,5,5,24,7,0,142,24,0,0,9,0,0,34,32,4,0,7,3,0,45,240,202,45,315,89,84,974,13457,3912,1005,3371,1235,205,23182
LGA12870,0,4,0,8,8,0,27,3,8,0,4,3,0,15,32,9,3,35,14,7,99,108,10,5,60,6,3,192,55,0,0,46,3,0,111,144,5,0,52,4,3,210,215,0,0,41,7,0,257,81,0,0,17,0,0,97,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,21,15,4,44,645,33,14,290,64,20,1062
