LGA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA11300,0,11,64,61,81,144,321,439,264,1400,5,31,137,68,80,83,126,130,128,788,52,334,614,303,221,205,216,237,257,2436,780,4977,8781,4997,4498,4099,3021,1958,1173,34271
LGA11350,8,0,16,27,25,76,127,115,68,464,0,0,9,12,8,14,8,0,7,59,148,188,587,581,514,503,421,174,106,3218,697,1483,4870,5146,5199,5196,4482,1634,584,29294
LGA11400,8,0,8,12,23,77,146,109,78,464,0,0,0,4,0,3,13,4,0,30,60,58,81,121,144,140,138,137,71,959,357,622,1139,1539,1832,1987,1677,963,332,10443
LGA11450,17,18,86,136,222,439,667,492,242,2314,6,8,59,77,84,138,146,103,48,666,199,258,673,654,416,352,345,297,210,3407,3306,6980,19442,18825,14264,10317,7192,3433,1220,84972
LGA11500,39,50,228,347,559,1047,1399,919,368,4954,14,26,126,150,218,344,325,218,102,1533,631,685,1621,1625,1174,1065,1043,903,450,9198,4937,11252,25555,26536,20242,19473,14793,6680,1948,131420
LGA11520,3,6,27,35,63,175,555,844,590,2299,0,14,83,43,44,68,142,216,156,775,113,310,802,545,376,361,423,396,418,3741,1520,5381,14869,13671,11723,10231,8056,4733,2219,72406
LGA11570,38,83,614,1092,1740,3017,4319,4151,2093,17143,20,115,651,696,1094,1875,2005,1724,989,9176,1329,1836,4629,3982,3014,2722,2326,1948,1664,23453,9916,24996,55294,50930,45529,41777,29650,17473,8359,283925
LGA11600,0,0,3,4,12,20,31,23,10,110,0,0,0,0,0,6,4,3,0,22,15,20,52,35,56,52,37,20,4,302,72,160,466,337,371,390,251,126,56,2229
LGA11650,107,58,264,341,651,1487,2580,2371,1505,9370,16,34,82,106,129,174,200,182,131,1045,877,900,2086,2046,2081,2119,2631,2874,2257,17883,8981,18460,38103,41337,44166,44860,40675,25674,10540,272788
LGA11700,10,6,12,3,15,29,30,25,12,139,0,0,0,0,0,0,4,4,0,18,24,33,50,36,41,60,50,19,6,313,79,106,217,181,225,240,222,105,22,1393
LGA11720,37,31,92,97,161,426,803,422,264,2337,5,7,25,19,26,39,28,24,7,178,185,346,889,762,630,494,515,429,242,4491,1923,3844,9105,7889,7741,7636,6572,3081,1167,48959
LGA11730,26,11,58,68,160,311,592,577,381,2181,3,4,10,17,18,17,27,25,19,142,207,308,821,731,648,657,653,511,296,4825,1264,2369,5201,5395,6518,8405,8351,4718,1757,43974
LGA11750,3,4,9,8,11,29,66,41,22,198,0,0,0,0,0,0,3,0,0,11,42,38,89,92,71,76,64,52,11,539,135,224,592,508,444,552,390,211,75,3131
LGA11800,29,42,153,248,192,394,601,563,379,2597,3,16,129,100,71,87,63,23,24,522,254,229,685,592,579,579,602,653,524,4703,2015,3587,8771,9266,9815,10574,10180,5718,2320,62242
LGA12000,5,0,0,8,9,35,45,47,33,176,0,0,0,0,0,3,0,3,0,12,20,10,27,29,35,40,45,39,29,272,134,179,439,438,533,599,565,335,135,3366
LGA12150,0,3,10,10,17,38,47,52,27,206,0,0,0,5,0,0,7,5,5,21,36,31,60,70,46,69,63,65,22,463,118,184,460,395,436,511,404,233,85,2826
LGA12160,3,0,9,11,28,64,188,153,88,543,0,4,4,0,3,4,9,9,0,45,47,42,99,107,110,135,159,136,52,893,279,493,999,1091,1303,1674,1763,1086,382,9078
LGA12350,0,6,13,24,41,85,214,142,81,609,0,0,0,5,3,7,10,5,4,30,62,76,119,110,141,142,169,124,59,1011,329,647,1286,1204,1556,1763,1869,1105,411,10158
LGA12380,29,123,756,1082,1440,1842,2317,1855,802,10242,24,161,995,1037,1195,1346,1149,845,439,7189,867,1578,3969,3021,2020,1698,1294,953,623,16011,5695,18519,43501,35990,25925,23100,16082,8778,3436,181032
LGA12390,18,15,56,73,155,318,556,413,248,1855,0,4,16,20,14,35,33,15,6,147,296,372,1072,847,679,578,501,409,221,4969,1507,3081,8319,6666,6267,6421,5169,3131,1182,41751
LGA12700,6,4,4,9,8,60,87,81,50,310,0,0,3,0,0,4,3,3,0,16,26,13,41,63,49,70,69,64,11,419,271,394,864,1119,1242,1529,1254,658,184,7519
LGA12730,0,7,6,13,35,73,132,100,58,425,0,0,3,0,3,8,5,11,6,35,45,44,109,96,101,121,103,89,34,734,227,398,868,846,1022,1262,1136,676,286,6714
LGA12750,20,14,32,61,94,202,459,373,201,1447,3,8,5,10,7,20,30,26,7,101,162,128,266,315,395,541,630,447,237,3129,879,1339,3172,3545,4760,6930,7824,3998,1491,33934
LGA12850,60,193,892,1727,2344,3507,3550,2550,1279,16113,26,192,955,1218,2186,3430,2738,1720,1068,13525,818,796,1794,1743,1716,1802,1539,1149,789,12151,6245,14533,26942,24857,27061,27836,20312,10139,4436,162355
