LGA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
LGA23270,0,0,0,0,8,42,160,138,14,16,10,18,5,3,22,435,0,0,0,6,18,72,191,113,24,24,5,20,9,0,11,499,0,0,10,20,21,17,44,45,5,9,0,3,7,0,4,195,0,4,18,6,103,109,359,182,44,60,34,32,3,0,14,978,0,32,332,134,47,57,16,12,4,0,0,0,0,0,12,646,10,89,218,72,117,98,180,151,27,27,35,14,11,8,19,1072,0,0,5,42,227,219,329,143,21,38,31,28,11,0,16,1128,109,131,57,28,49,35,68,22,9,0,4,9,0,0,8,520,9,158,498,157,86,34,37,69,11,0,0,0,0,0,39,1110,0,0,0,12,37,36,51,30,5,3,3,4,4,0,0,194,3,0,131,151,255,562,6786,3616,855,870,1124,1359,384,85,248,16441,0,0,3,7,32,53,128,63,25,21,6,16,13,0,6,376,0,0,8,39,88,51,183,438
LGA23350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,5,0,0,0,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,15,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,3,14,11,46,11,5,7,5,0,5,0,0,0,0,0,0,3,95,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,17,3,0,0,0,4,0,0,0,26,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
LGA23430,0,0,0,0,5,31,19,13,0,0,0,0,0,0,0,74,0,0,0,14,13,41,47,11,7,18,12,7,0,0,0,170,0,9,15,39,50,52,88,76,8,7,7,13,0,0,5,360,4,14,19,33,351,436,1547,980,206,230,193,298,70,11,53,4449,3,34,205,58,38,44,9,14,4,0,0,0,0,0,15,423,13,51,124,52,67,30,20,27,3,0,0,0,0,0,10,396,4,3,0,28,109,72,56,20,13,5,7,3,4,0,0,320,63,158,99,54,74,68,112,62,14,8,9,19,5,0,16,753,14,372,1437,484,117,37,33,203,20,20,12,18,0,0,195,2962,0,0,14,44,105,93,92,48,18,12,16,24,9,0,16,500,10,9,155,246,398,618,1587,858,266,331,477,460,169,30,92,5712,4,3,6,14,30,70,103,53,7,6,11,12,13,0,0,335,0,0,0,3,21,12,44,73
LGA23670,0,0,0,0,32,100,79,17,0,4,0,6,0,0,3,248,0,0,6,0,3,34,32,13,3,5,3,0,0,0,0,106,0,4,8,19,33,24,41,17,9,0,3,6,0,0,0,164,5,12,20,47,453,683,3525,2000,381,383,307,457,93,23,73,8464,0,22,111,44,20,32,3,0,0,0,0,0,0,0,6,248,6,30,97,56,91,79,88,54,0,8,12,7,9,0,10,550,0,0,0,19,96,50,73,19,11,4,4,4,0,0,4,292,101,342,182,87,93,38,64,31,10,0,3,9,3,0,75,1050,5,92,302,97,29,7,8,28,0,5,0,3,0,0,11,592,5,0,16,84,332,439,423,157,35,45,16,35,29,6,19,1647,13,3,116,168,341,671,1947,989,198,191,190,211,64,21,42,5169,3,10,6,37,62,190,243,67,22,14,17,13,13,0,3,703,0,0,0,11,54,92,243,347
LGA23810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,11,9,0,4,3,6,0,0,0,41,0,6,8,8,14,13,20,11,3,0,0,0,0,0,0,81,3,3,7,0,15,23,81,40,14,9,14,18,6,0,0,220,4,6,39,23,7,9,0,3,0,0,0,0,0,0,9,89,0,3,5,0,0,0,6,0,5,0,0,0,0,0,3,25,0,0,0,4,6,9,3,7,0,0,0,8,10,0,0,51,107,185,50,12,30,3,17,10,0,0,0,0,0,0,27,443,4,17,32,12,3,0,0,0,0,0,0,0,0,0,13,87,0,0,0,0,4,3,10,6,0,0,0,0,8,5,3,33,0,4,8,4,11,18,153,104,26,34,55,70,41,3,8,549,0,4,0,8,13,11,4,8,3,0,0,7,0,0,0,61,0,0,0,0,0,0,4,4
LGA23940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,0,4,0,0,0,0,0,0,0,0,0,0,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0
LGA24130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,5,18,9,15,35,13,0,0,3,0,0,0,0,105,6,0,0,0,5,10,27,10,8,4,7,0,0,0,3,91,3,13,31,15,4,7,0,0,0,0,0,0,0,0,4,73,6,14,4,4,0,0,3,0,0,0,0,0,0,0,0,27,0,0,3,0,4,5,0,0,0,0,0,0,0,0,0,15,46,96,30,24,19,19,24,10,0,0,0,0,0,0,10,272,0,15,22,5,0,0,0,0,0,0,0,0,0,0,6,46,0,0,8,0,5,5,7,4,0,0,0,0,0,0,0,25,7,3,13,10,11,8,57,29,4,12,8,6,0,0,9,167,0,0,3,0,0,6,10,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
LGA24210,0,0,0,0,9,10,7,4,0,0,0,0,0,0,0,30,0,0,0,5,7,6,15,22,0,0,0,3,0,0,0,71,0,4,10,25,19,23,40,25,3,3,7,14,0,0,0,168,15,73,102,150,1395,1816,4454,2828,584,637,582,736,271,58,204,13918,4,72,166,31,15,10,6,0,0,0,0,0,0,0,3,317,17,80,103,72,95,98,129,74,9,26,37,24,10,10,13,793,0,0,8,30,73,33,18,9,0,0,0,4,9,0,0,185,89,150,61,27,45,37,28,18,0,3,6,3,0,0,11,479,39,721,1499,324,82,40,24,107,23,4,6,5,0,0,82,2957,3,19,65,278,1021,989,501,291,70,107,116,93,123,36,58,3770,9,0,67,106,210,317,687,387,89,106,163,156,60,9,44,2417,0,10,16,20,60,184,151,56,14,10,19,16,9,8,6,584,0,0,7,39,274,202,606,1060
LGA24250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,0,0,6,0,3,0,0,0,0,0,28,0,0,0,0,0,0,7,11,4,4,4,6,3,0,3,34,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,12,33,12,0,8,6,3,3,0,0,0,0,0,0,3,91,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,3,0,3,4,0,0,23,0,0,0,4,0,0,3,8,4,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0
LGA24330,0,0,0,0,0,9,21,36,0,0,0,0,0,0,3,74,0,0,0,0,9,13,113,105,30,32,37,28,10,3,4,382,0,0,9,7,20,25,39,58,6,9,5,6,6,0,3,199,0,3,8,21,234,259,471,258,65,66,107,100,20,0,28,1639,0,20,171,36,17,46,19,3,0,0,0,0,0,0,8,330,0,8,18,14,10,21,16,19,0,0,3,0,0,0,5,132,0,0,4,18,26,32,18,10,0,0,7,4,0,0,0,123,31,42,22,6,29,23,54,31,11,6,9,4,0,0,8,288,7,120,443,87,13,10,9,14,8,0,3,4,0,0,16,742,0,0,4,14,110,91,71,67,7,9,6,4,4,0,0,380,0,0,20,41,49,86,535,545,205,306,458,518,107,18,48,2936,0,3,0,8,35,76,118,59,16,12,20,34,20,0,13,406,0,0,0,3,6,13,18,80
