LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA11300,3865,7906,32,197,377,1712,49,221,2018,7560,2476,9692,242,1061,499,1746,912,3049,1645,5860,4129,15552,12,48,80,278,31,113,362,925,486,1365,64,200,254,603,634,1456,953,2261,1441,3624,387,857,9816,27933
LGA11350,3609,7211,26,152,302,1318,91,403,1920,7363,2340,9241,95,377,251,780,582,1827,924,2987,3261,12229,3,22,129,401,57,181,632,1539,823,2139,44,126,176,362,537,1157,756,1635,1577,3775,94,195,8547,23414
LGA11400,1666,3325,41,246,184,860,37,172,833,3431,1096,4710,75,314,135,436,285,890,499,1636,1590,6347,4,18,27,103,19,65,172,468,223,655,12,26,32,76,164,351,210,453,433,1112,30,65,3721,10846
LGA11450,9378,19046,368,2124,1704,8060,607,2915,11016,43442,13691,56544,909,4021,1002,3550,2783,9443,4698,17013,18391,73560,94,427,342,1247,227,864,1931,5438,2602,7981,244,844,354,830,1488,3471,2090,5137,4695,13117,304,654,32776,106376
LGA11500,13328,27177,571,3522,2172,10531,763,3758,12363,48667,15871,66484,1199,5283,1536,5334,4660,15558,7389,26179,23262,92660,200,983,635,2420,475,1833,3524,10072,4835,15307,385,1338,686,1607,3623,8329,4695,11274,9528,26586,798,1705,46917,148131
LGA11520,10462,21059,87,488,937,4210,113,494,6297,23388,7432,28585,541,2335,1108,3945,1863,6151,3513,12434,10951,41014,27,110,178,566,44,136,931,2231,1172,3038,129,417,470,1035,1377,3027,1976,4481,3151,7515,484,1015,25052,70603
LGA11570,25833,52996,1170,7262,4888,24603,1173,5861,23085,93818,30317,131549,3023,13725,3806,13760,10310,35315,17141,62803,47462,194345,360,1821,1109,4278,521,2082,4917,14276,6903,22456,966,3450,1684,4097,7792,18133,10444,25678,17356,48129,1963,4308,92604,299784
LGA11600,280,562,3,24,35,157,9,47,165,656,215,888,10,41,15,33,41,126,66,196,285,1088,3,9,4,8,4,8,52,134,56,161,6,3,3,11,32,65,41,84,94,244,12,23,670,1917
LGA11650,37532,75501,723,3990,3613,16697,1228,5733,19782,77449,25338,103870,1929,8165,2842,9710,7792,25197,12566,43083,37902,146951,265,1266,1195,4075,698,2569,6746,18237,8906,26136,688,2222,1494,3314,7103,15609,9296,21136,18194,47270,1228,2557,94861,272280
LGA11700,158,313,0,0,7,22,6,32,54,235,66,289,0,0,6,10,23,68,23,74,95,364,4,11,0,13,11,41,43,147,58,214,5,13,0,3,34,87,43,99,97,309,9,20,358,1011
