LGA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA57000,0,0,0,0,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,14,..,28,6,35,0,37,..,0,0,0,188,192,405,31,6,33,191,629
LGA57080,4,190,0,193,..,199,32,232,0,232,..,25,0,22,0,22,..,301,63,363,3,361,..,739,65,808,15,829,..,9560,1090,10652,101,10753,..,117,12,126,2657,2782,14938,9679,1098,10778,2756,28463
LGA57140,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,22,0,22,..,44,5,47,0,47,..,7,0,7,56,65,931,53,5,51,56,1037
LGA57210,0,0,0,0,..,4,3,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,108,43,143,0,143,..,276,65,338,3,338,..,9,0,8,609,622,4425,283,65,349,614,5388
LGA57280,5,17,0,17,..,86,6,92,0,90,..,5,3,14,0,10,..,44,0,42,0,42,..,591,45,637,15,654,..,2080,160,2240,35,2277,..,192,8,205,2296,2497,10907,2270,171,2443,2336,15684
LGA57350,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,4,..,21,0,21,0,21,..,14,0,14,239,255,685,36,0,37,239,961
LGA57420,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,38,0,39,0,39,..,118,9,122,0,122,..,8,0,8,196,206,1752,125,9,135,196,2085
LGA57490,0,128,0,129,..,377,54,432,4,436,..,24,0,26,0,25,..,206,71,280,6,285,..,2357,256,2614,64,2683,..,9937,980,10917,134,11049,..,512,40,553,7340,7890,116738,10449,1022,11473,7473,135678
LGA57630,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,37,37,67,3,0,3,37,109
LGA57700,8,90,0,88,..,35,3,36,0,36,..,4,0,4,0,4,..,19,14,32,0,32,..,876,81,954,21,971,..,3162,278,3440,40,3484,..,125,15,135,1652,1789,26899,3283,291,3574,1697,32173
LGA57770,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,11,0,11,..,14,0,14,0,14,..,82,8,93,0,97,..,3,0,3,168,174,763,89,11,97,165,1031
LGA57840,3,134,0,133,..,134,25,162,0,160,..,45,7,60,0,60,..,221,51,266,0,270,..,938,111,1052,33,1088,..,7916,866,8786,109,8893,..,197,22,219,1987,2201,32305,8112,889,9003,2088,43405
LGA57910,20,382,6,389,..,567,97,667,0,668,..,207,65,271,3,277,..,3342,1406,4749,26,4770,..,10040,1691,11727,185,11912,..,52968,8448,61415,637,62054,..,1255,202,1455,9851,11303,153013,54228,8647,62868,10487,226369
LGA57980,0,39,0,46,..,39,6,42,0,42,..,14,0,14,0,14,..,66,5,78,0,76,..,356,25,383,6,392,..,2713,263,2977,35,3012,..,59,10,71,768,838,13411,2778,270,3046,805,17267
LGA58050,46,598,13,612,..,400,67,470,0,470,..,40,10,54,0,54,..,2074,983,3059,20,3078,..,6959,1234,8190,142,8333,..,30504,4678,35183,377,35555,..,810,135,943,7045,7985,109433,31313,4811,36127,7416,152974
LGA58190,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,52,57,327,0,0,0,52,386
