LGA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
LGA10050,20,33,21,22,4,0,0,0,112,0,6,11,5,7,0,0,0,36,17,62,103,146,195,332,244,134,1222,38,100,134,177,209,332,244,134,1368,3098,3253,2977,2857,2877,2390,1214,322,18990,227,229,212,195,167,140,90,49,1317,3365,3588,3327,3228,3255,2867,1545,504,21678,14,11,4,0,0,0,0,0,24,0,3,0,0,3,0,0,0,7,7,13,22,56,57,44,20,12,226,16,23,33,55,62,44,20,12,262,3229,3498,3333,3283,3359,2992,1798,783,22264,197,212,190,151,167,142,171,91,1323,3444,3726,3557,3484,3584,3176,1994,881,23850,34,39,29,25,3,0,0,0,134,0,14,13,6,11,0,0,0,49,18,73,131,195,254,372,267,143,1453,57,125,167,227,271,372,267,143,1632,6323,6749,6305,6142,6237,5381,3014,1101,41257,426,440,402,343,332,288,268,140,2638,6809,7316,6881,6711,6839,6036,3539,1385,45524
LGA10180,0,4,0,0,0,0,0,0,4,9,4,5,9,3,0,0,0,26,4,33,38,57,86,114,91,68,497,8,39,46,70,95,114,91,68,526,1852,1587,1395,1331,1534,1197,690,162,9738,349,198,120,118,125,80,84,40,1109,2212,1820,1560,1510,1751,1392,861,265,11369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,8,23,23,11,5,0,76,4,7,10,21,24,11,5,0,82,2013,1729,1475,1553,1697,1374,943,356,11128,435,189,139,123,107,103,114,95,1304,2451,1926,1621,1698,1822,1488,1060,451,12509,0,7,0,0,0,0,0,0,4,6,4,5,10,4,0,0,0,31,8,34,45,75,114,124,94,71,571,15,40,54,86,117,124,94,71,607,3863,3313,2873,2880,3227,2570,1631,514,20868,782,385,257,237,228,188,196,128,2411,4661,3750,3182,3208,3574,2885,1918,713,23882
LGA10250,4,0,3,0,0,0,0,0,11,3,8,0,6,6,0,0,0,23,11,39,53,100,155,334,295,221,1209,14,44,63,107,164,334,295,221,1236,2086,1808,2313,2530,2768,2703,1432,399,16034,157,141,148,134,152,153,104,70,1061,2255,1991,2519,2773,3083,3194,1829,691,18330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,30,31,29,20,20,144,0,8,8,31,34,29,20,20,152,1935,2117,2588,2956,3242,3339,1958,944,19069,116,148,135,150,147,165,154,181,1204,2047,2270,2727,3129,3422,3527,2140,1145,20424,7,0,6,0,0,0,0,0,7,3,9,0,9,11,0,0,0,26,11,39,59,130,188,366,312,242,1354,13,54,65,136,197,366,312,242,1389,4018,3920,4898,5486,6009,6037,3391,1341,35101,271,289,287,281,301,318,261,255,2263,4306,4262,5248,5901,6505,6722,3968,1834,38753
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,0,25,0,0,0,0,4,10,10,0,25,109,112,88,111,149,115,36,13,734,13,14,17,21,15,27,6,4,124,128,128,106,136,172,149,50,20,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,120,91,119,141,113,51,25,743,21,19,15,20,22,24,10,5,145,98,141,104,148,162,136,63,31,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,10,0,34,0,0,0,3,4,12,10,0,34,191,233,177,241,289,224,89,39,1474,32,40,31,44,42,47,20,10,266,220,274,212,289,333,289,117,47,1776
LGA10470,0,4,3,0,0,0,0,0,11,6,17,10,5,10,0,0,0,45,8,35,74,116,159,215,156,94,859,16,56,92,122,162,215,156,94,915,2720,2422,2147,2246,2272,1891,988,244,14915,294,458,403,260,186,128,74,29,1828,3028,2938,2634,2627,2620,2232,1213,372,17659,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,5,14,17,14,27,29,3,10,108,5,15,19,16,24,29,3,10,116,2599,2603,2358,2588,2562,2143,1221,624,16693,148,139,113,155,134,96,90,54,922,2757,2749,2498,2755,2720,2266,1311,680,17732,0,3,3,0,0,0,0,0,12,6,17,16,4,7,0,0,0,51,15,46,88,137,185,243,161,97,967,23,67,108,141,190,243,161,97,1028,5316,5020,4502,4834,4835,4029,2207,866,31611,438,597,516,414,315,224,160,84,2752,5785,5680,5124,5383,5338,4497,2528,1052,35394
LGA10500,145,236,91,36,17,0,0,0,531,5,34,18,14,6,0,0,0,72,7,94,96,144,167,201,180,150,1037,157,364,206,199,183,201,180,150,1640,10385,16715,12481,9315,7914,5875,3449,1126,67264,722,1338,817,521,451,372,330,278,4828,11262,18415,13509,10037,8551,6440,3961,1557,73726,93,93,22,8,3,0,0,0,227,0,6,3,0,4,0,0,0,19,9,16,18,12,24,32,12,13,134,98,117,46,22,33,32,12,13,373,9508,16790,12308,10090,8519,6683,4341,1808,70036,621,1217,691,479,397,334,393,424,4556,10224,18122,13045,10586,8943,7049,4745,2247,74966,238,329,117,48,16,0,0,0,756,13,35,18,15,9,0,0,0,94,16,111,116,159,185,226,189,165,1167,253,480,256,224,213,226,189,165,2008,19893,33501,24791,19406,16430,12554,7792,2936,137300,1339,2550,1509,999,850,703,728,698,9386,21488,36536,26551,20624,17495,13485,8707,3802,148694
LGA10550,0,0,0,3,5,0,0,0,4,0,3,6,0,4,0,0,0,19,8,38,38,90,176,339,222,95,1002,7,42,46,96,183,339,222,95,1032,1454,1309,1424,1819,2576,2627,1190,290,12693,140,127,97,146,186,197,116,86,1101,1597,1479,1563,2067,2949,3170,1529,471,14826,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,8,11,29,46,48,14,8,163,5,10,14,33,46,48,14,8,174,1321,1435,1650,2099,3136,2845,1435,495,14421,127,102,110,146,206,166,130,113,1090,1446,1549,1777,2286,3383,3055,1574,618,15683,0,3,0,4,4,0,0,0,13,0,7,6,0,8,0,0,0,23,5,46,56,127,223,383,231,101,1169,7,53,58,128,234,383,231,101,1205,2777,2748,3070,3924,5713,5475,2624,782,27118,259,229,208,296,387,362,245,202,2191,3044,3033,3344,4348,6337,6219,3104,1089,30514
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,15,29,46,96,67,37,298,4,9,15,32,46,96,67,37,302,518,463,534,697,934,918,407,102,4577,46,37,66,70,61,74,43,19,407,569,509,616,799,1044,1084,509,155,5291,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,6,11,6,8,7,4,46,3,3,6,8,5,8,7,4,48,480,489,620,890,1148,940,480,200,5256,54,37,54,65,65,75,57,31,435,540,529,687,969,1217,1025,547,240,5748,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,3,9,17,40,56,105,70,37,340,8,10,23,46,54,105,70,37,354,1002,956,1160,1585,2085,1855,882,308,9838,101,72,117,137,120,145,101,47,844,1104,1044,1300,1770,2263,2110,1054,395,11037
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,20,33,83,44,41,245,0,7,5,20,33,83,44,41,245,336,315,319,423,513,661,348,79,3004,42,37,33,41,57,83,44,31,362,375,359,364,488,605,824,437,161,3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,3,0,29,0,0,4,5,5,5,3,0,29,319,334,394,425,616,679,402,143,3309,32,40,32,53,49,83,51,33,377,354,371,427,485,674,767,463,179,3715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,23,38,89,52,44,268,3,7,10,23,38,89,52,44,268,653,650,717,849,1131,1339,757,221,6312,77,71,66,92,110,167,98,72,743,730,732,793,968,1277,1595,899,334,7328
LGA10750,36,109,65,52,23,0,0,0,286,20,53,35,29,19,0,0,0,153,29,183,205,383,486,663,421,195,2565,85,346,307,466,519,663,421,195,3003,24546,25907,31366,22058,17119,11475,4976,1169,138616,1868,2511,2159,1382,933,603,390,199,10038,26500,28760,33837,23905,18574,12744,5790,1559,151658,30,36,25,13,3,0,0,0,105,0,7,0,12,3,0,0,0,27,6,28,36,87,76,31,28,20,314,35,69,64,107,84,31,28,20,447,22848,28515,31662,22431,18411,13556,6119,2302,145839,1419,1918,1826,1121,807,685,498,431,8706,24307,30500,33552,23661,19299,14280,6641,2753,154995,69,141,93,67,21,0,0,0,394,16,58,41,38,26,0,0,0,180,35,214,239,468,557,696,454,214,2876,120,413,372,569,610,696,454,214,3450,47393,54420,63032,44490,35527,25034,11094,3467,284458,3286,4432,3988,2503,1739,1294,891,625,18750,50801,59261,67391,47563,37873,27022,12432,4304,306652
