LGA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
LGA10050,0,0,0,0,55,42,102,97,16,15,33,28,5,0,12,416,5,0,3,3,8,0,0,0,0,0,0,0,0,0,0,28,0,0,0,4,3,3,6,7,0,4,0,0,0,0,0,28,0,0,0,8,15,40,58,17,5,7,3,13,4,0,0,172,0,4,0,4,9,10,8,19,13,6,14,4,0,4,0,93,0,0,0,0,0,0,0,4,0,6,5,0,0,0,0,18,0,0,0,0,8,10,27,19,9,5,4,0,0,0,3,93,44,133,357,202,156,66,186,43,4,10,27,10,11,7,46,1309,4,0,5,4,8,19,25,20,7,0,4,0,7,0,3,120,0,0,0,5,7,7,8,14,0,16,4,4,4,0,3,72,27,80,106,131,84,59,251,282,41,40,74,112,25,8,28,1339,143,514,707,555,574,448,1327,1202,282,312,330,299,110,29,162,6990
LGA10180,0,0,0,0,13,7,35,34,9,14,26,21,4,0,9,165,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,13,0,4,8,8,9,34,31,4,0,0,0,0,3,0,0,109,0,0,0,0,9,4,11,21,11,9,16,12,0,0,0,93,0,0,0,0,0,6,5,3,0,3,6,9,0,0,0,35,0,0,0,0,0,7,20,0,0,0,4,0,0,0,0,33,18,64,192,97,66,51,90,42,7,8,8,11,4,0,26,693,3,0,10,22,13,16,36,25,5,10,0,4,5,0,10,153,0,0,0,0,6,4,3,22,3,13,4,18,4,0,0,79,9,33,36,41,34,44,113,81,24,51,89,119,49,16,24,755,43,158,320,272,258,287,653,488,145,220,477,711,156,33,104,4330
LGA10250,0,0,4,7,26,17,29,23,7,8,10,8,6,6,11,164,0,3,5,0,9,0,4,0,0,0,0,0,0,0,0,20,0,0,0,5,4,0,0,8,4,0,0,3,0,0,0,26,0,14,19,30,40,28,66,23,4,6,3,9,0,5,0,261,0,0,3,3,0,13,5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,0,0,0,0,8,16,37,32,3,3,0,6,0,4,12,128,68,184,466,256,191,172,303,164,31,25,14,18,14,4,72,1983,0,5,16,26,28,26,50,37,5,7,16,11,8,0,0,236,0,0,0,4,9,6,7,10,5,3,0,4,0,0,0,44,28,55,97,101,75,66,155,128,33,32,27,45,20,7,28,908,147,439,782,665,687,570,1033,674,140,138,132,162,75,30,211,5890
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,6,3,3,0,0,7,4,0,0,0,21,3,13,17,4,5,13,22,34,10,10,25,18,3,0,9,190
LGA10470,0,0,0,4,23,27,38,61,5,20,28,22,11,6,4,255,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,5,4,4,4,0,0,0,0,0,0,4,28,0,0,3,7,12,27,48,4,3,6,8,4,7,0,0,127,0,0,0,0,8,6,21,28,0,3,8,12,0,0,0,92,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,20,18,6,3,3,4,0,0,6,76,39,120,287,191,112,85,87,40,15,12,10,6,4,0,54,1056,0,0,5,6,9,11,26,18,0,0,5,0,0,0,4,93,0,0,0,3,9,0,12,15,5,3,3,4,4,0,14,82,16,35,63,74,60,62,62,52,23,7,20,17,8,6,48,541,96,275,510,439,423,396,712,525,121,155,185,160,78,21,260,4359
LGA10500,0,8,35,173,672,554,621,544,168,153,206,272,81,17,71,3558,7,4,14,32,127,39,67,90,28,24,17,9,0,0,10,476,0,7,9,30,66,55,125,65,15,20,10,13,12,0,11,447,0,4,9,68,124,149,178,79,17,21,25,13,15,6,8,721,0,0,9,24,44,60,59,47,3,9,20,12,6,8,4,305,0,0,0,3,75,90,118,132,32,25,22,37,9,0,10,559,0,0,10,22,105,193,503,410,98,64,65,78,21,5,56,1607,54,161,493,379,402,383,630,614,158,118,136,118,50,8,109,3812,3,0,6,23,38,71,100,108,34,30,25,35,24,12,20,535,0,4,8,265,389,187,284,253,96,136,117,101,52,3,53,1942,106,392,1149,2081,1785,2088,2147,2001,992,1219,1501,1649,370,45,471,18003,331,2196,6376,6884,9335,10183,14633,11758,3786,4356,4991,5171,1610,330,2352,84286
LGA10550,0,0,0,3,31,24,18,28,0,6,8,7,4,0,0,141,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,22,0,0,0,3,0,3,7,3,0,0,0,0,0,0,0,21,0,4,8,20,17,27,22,4,9,0,0,7,4,0,0,124,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,20,25,5,9,7,0,4,0,5,85,62,261,554,293,173,109,116,45,5,9,4,16,4,0,72,1720,3,4,11,33,23,24,43,18,3,3,0,0,4,0,3,174,0,0,0,0,3,0,5,7,0,0,0,0,0,0,0,18,26,76,99,103,81,33,57,30,14,9,7,10,4,0,12,573,142,575,860,700,521,350,481,243,82,66,60,70,39,8,158,4371
LGA10600,0,0,0,0,10,0,7,8,4,0,0,0,0,0,4,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,3,10,14,3,15,0,8,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,13,20,61,183,120,87,54,87,43,0,6,4,0,7,0,35,710,0,6,0,16,16,12,7,3,6,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,19,34,40,37,34,24,0,0,4,10,7,0,13,243,49,128,278,265,272,156,228,108,24,19,20,23,13,0,71,1665
LGA10650,0,0,0,0,7,3,3,16,0,8,0,4,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,6,4,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,8,14,47,83,39,26,9,6,12,4,0,0,0,0,0,10,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,9,10,5,9,0,3,13,0,0,5,0,5,0,0,70,23,105,123,81,62,47,64,86,8,12,14,30,14,4,27,702
LGA10750,0,3,47,861,5781,5615,5754,3297,696,616,796,1010,369,55,395,25292,83,31,58,78,350,139,77,30,7,3,3,5,0,0,9,870,0,6,12,46,112,85,182,126,45,45,27,29,12,8,0,736,0,3,21,103,315,360,649,254,93,89,74,115,45,10,15,2149,0,0,43,92,625,1144,2123,1172,194,168,129,188,56,14,82,6037,0,0,0,6,54,101,73,66,11,22,21,39,5,0,15,411,0,0,0,13,105,149,300,156,27,31,25,33,7,4,27,881,110,478,1678,924,709,429,735,421,87,65,61,51,24,10,162,5941,4,6,17,53,62,117,250,183,40,49,45,53,23,8,25,922,0,0,3,204,390,197,192,129,26,46,34,31,16,7,59,1322,218,775,1970,2445,3353,4610,5451,2710,839,880,676,616,253,91,800,25678,710,2299,6176,7573,19377,27290,49789,28346,6886,6727,6996,7393,2554,606,3394,176115
