LGA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA17310,6117,6034,2827,233,15211,4987,604,20808,312,126,148,28,613,1120,78,1811,60,33,28,4,130,200,20,346,366,165,175,34,739,1323,95,2157,39,38,25,3,109,238,16,357,8,0,0,0,7,17,0,22,4,5,0,0,7,9,0,18,0,0,0,0,0,0,0,0,3,8,0,0,9,3,0,20,57,48,26,3,136,270,16,419,13,0,0,0,11,44,0,62,5,0,4,0,8,27,4,39,0,0,0,0,6,3,0,3,4,6,0,0,8,8,0,17,21,3,4,0,36,87,3,127,23,8,11,3,46,68,0,115,6586,6260,3051,269,16167,6726,722,23617
LGA17350,735,559,232,26,1558,613,26,2203,16,7,0,0,28,105,0,134,0,0,0,0,0,9,0,5,21,7,6,0,30,111,0,140,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,25,9,0,0,0,10,18,0,32,0,3,0,0,4,0,0,7,768,572,236,23,1601,756,27,2393
LGA17400,986,453,265,16,1724,927,80,2724,5,4,0,0,11,16,0,24,0,0,0,0,0,0,0,0,5,4,0,0,11,16,0,24,14,0,3,0,20,48,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,20,48,0,66,5,0,0,0,0,9,5,10,0,6,0,0,6,3,0,8,0,0,0,0,6,10,0,12,0,0,0,0,0,9,0,14,0,6,0,0,9,28,5,37,6,0,0,0,12,8,0,17,1015,464,276,20,1772,1024,85,2875
LGA17420,11408,28017,4063,284,43777,4236,530,48537,252,145,59,5,469,359,12,845,886,2151,520,31,3592,798,80,4468,1144,2299,587,41,4060,1156,95,5313,162,162,73,7,405,361,15,783,303,325,137,20,782,318,28,1132,881,627,241,34,1785,822,99,2706,330,242,93,20,684,280,56,1024,40,73,11,0,124,64,6,192,1714,1422,558,87,3783,1846,204,5836,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,15,0,5,3,0,6,4,0,13,24,38,7,0,76,33,0,111,14290,31781,5220,409,51702,7282,831,59810
LGA17550,7816,7954,2962,229,18957,5070,807,24836,1138,512,539,53,2245,1885,163,4289,725,502,480,29,1737,948,130,2823,1866,1017,1024,79,3986,2833,288,7107,378,136,237,24,778,1144,102,2023,430,145,172,9,754,740,88,1584,244,40,33,4,323,279,23,630,211,37,23,3,278,221,23,525,19,16,10,0,41,30,0,70,1285,368,482,44,2178,2424,233,4828,47,9,3,0,60,72,3,131,158,9,23,5,197,344,12,545,0,0,0,0,0,6,0,3,13,11,5,0,22,13,0,39,211,24,33,4,276,421,17,716,23,11,12,0,43,60,5,107,11193,9370,4509,362,25436,10812,1355,37602
LGA17620,1609,1456,470,31,3562,1298,126,4988,63,43,35,4,144,198,20,355,3,0,0,0,7,20,0,27,70,43,37,4,146,216,15,385,11,0,0,0,12,21,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,14,21,4,44,5,0,0,0,4,11,4,15,16,0,0,0,14,20,0,42,3,0,0,0,3,0,0,4,3,0,0,0,3,3,0,4,19,0,3,0,29,34,3,65,9,0,0,0,6,4,0,20,1718,1498,509,32,3763,1581,153,5499
LGA17640,1137,869,243,26,2272,826,38,3138,9,0,4,0,18,43,0,60,0,0,0,0,4,3,0,4,13,3,4,0,19,38,0,60,0,0,3,0,3,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,8,0,13,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,3,3,0,11,6,0,19,8,4,5,0,9,8,0,17,1160,881,250,23,2312,894,38,3249
LGA17650,753,586,229,25,1599,528,54,2179,6,3,4,0,12,42,0,54,0,0,0,0,0,0,0,0,6,3,4,0,12,42,0,54,0,0,0,0,5,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,15,0,19,0,0,0,0,0,7,0,7,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,4,3,7,0,14,0,0,9,5,3,7,0,14,14,0,30,0,0,0,0,3,0,0,4,770,590,241,30,1630,604,54,2285
LGA17750,5908,7005,2683,221,15811,4623,749,21184,205,74,55,3,339,579,39,954,42,23,19,6,87,110,22,222,250,91,77,5,423,688,65,1180,285,173,157,23,638,1346,114,2092,19,0,0,0,20,89,3,113,11,0,0,0,12,30,0,40,0,0,0,0,3,0,0,3,3,3,0,0,10,13,0,25,305,184,165,23,680,1482,116,2276,4,0,0,0,4,15,0,18,0,0,0,0,8,3,0,10,0,0,0,0,0,0,0,0,12,8,0,0,21,23,14,60,21,9,3,0,33,40,14,93,6,11,0,0,17,28,0,42,6491,7303,2924,248,16963,6859,946,24776
LGA17850,451,273,71,13,793,314,16,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,5,0,3,3,0,3,0,4,33,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,33,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,10,0,0,0,0,0,0,0,6,458,275,71,13,812,358,15,1183
LGA17900,362,273,171,23,834,380,44,1252,8,0,7,0,15,46,0,56,0,0,0,0,0,0,0,0,8,0,7,0,15,46,0,56,0,0,0,0,0,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,22,8,4,3,0,12,11,0,26,0,0,0,0,0,0,0,0,43,10,12,0,71,116,17,202,3,3,0,0,9,4,0,10,55,16,13,0,88,134,18,236,19,5,12,0,36,47,3,87,445,300,206,23,980,621,63,1660
LGA17950,265,230,83,11,592,254,20,864,4,0,5,0,9,35,3,50,0,0,0,0,4,0,0,4,3,0,8,0,11,35,3,44,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,6,9,0,15,273,237,91,11,612,303,25,936
LGA18020,1038,721,360,37,2153,1008,79,3235,3,3,4,0,11,29,0,39,0,0,0,0,0,0,0,0,3,3,4,0,10,32,0,38,5,4,6,0,17,47,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,6,0,18,50,0,69,0,0,0,0,0,8,0,8,3,0,0,0,3,0,0,4,0,0,0,0,0,3,0,4,0,0,3,0,5,3,0,10,7,0,3,0,11,17,0,24,8,14,4,0,19,12,0,33,1059,738,372,37,2210,1114,79,3400
LGA18050,1004,2348,369,42,3764,522,122,4405,439,913,199,14,1563,436,158,2163,579,1342,271,25,2213,469,130,2810,1021,2258,467,36,3775,902,288,4969,945,636,223,43,1850,1241,527,3615,2414,1077,495,72,4053,3051,1131,8234,1065,420,182,34,1698,1414,339,3452,768,275,130,19,1186,884,184,2256,3,16,3,3,28,7,0,33,5189,2417,1034,167,8820,6593,2175,17590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,55,24,3,216,167,52,443,129,55,24,3,216,167,52,443,15,5,0,0,18,29,7,54,7346,7087,1891,257,16587,8216,2645,27455
LGA18100,488,308,121,23,937,442,28,1405,8,0,4,0,13,20,0,34,0,0,0,0,0,0,0,5,11,0,4,0,15,20,0,34,0,0,4,0,4,40,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,40,0,52,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,6,3,0,8,0,0,0,0,0,4,0,3,505,312,128,23,963,514,28,1500
LGA18200,813,746,225,26,1813,501,33,2348,20,0,6,0,32,67,0,100,3,0,0,0,3,4,0,3,23,0,6,0,32,66,0,105,3,0,4,0,9,23,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,9,23,4,33,9,0,0,0,12,30,0,37,5,0,0,0,5,0,0,5,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,17,4,0,0,22,26,0,49,4,3,0,0,5,6,0,14,857,759,232,29,1876,631,41,2546
LGA18250,2964,6362,1097,115,10534,1557,251,12337,206,349,85,9,647,191,20,854,301,558,132,10,1008,241,45,1287,517,909,210,24,1649,426,61,2145,393,318,118,32,859,595,99,1555,830,811,328,50,2027,1107,224,3354,778,800,327,34,1939,1034,174,3144,1295,1273,455,84,3105,1541,249,4893,13,24,3,0,36,13,7,58,3311,3216,1233,205,7966,4287,748,13007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,5,0,39,27,5,73,18,11,5,0,39,31,5,71,6,7,4,0,17,18,0,32,6818,10501,2550,347,20207,6320,1067,27599
LGA18350,6345,5418,1793,143,13701,4175,372,18252,254,49,51,4,358,560,23,942,117,25,28,4,173,156,9,341,370,71,77,11,536,719,32,1288,58,47,26,0,132,240,12,386,4,3,0,0,5,6,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,4,0,31,17,5,56,85,60,28,0,178,269,20,464,7,3,0,0,9,16,0,21,9,0,0,0,11,63,0,74,3,0,0,0,3,0,4,7,11,9,3,0,21,18,3,45,24,12,6,7,44,94,9,146,6,10,4,0,18,16,0,35,6838,5571,1918,153,14478,5280,430,20184
LGA18400,4561,7341,1724,109,13741,2416,233,16388,161,31,54,5,251,296,8,556,11,16,23,0,51,14,0,67,170,54,72,3,300,311,8,615,22,0,14,0,33,62,3,99,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,9,0,40,24,0,60,33,21,18,0,74,90,9,168,0,0,0,0,0,0,0,0,12,0,0,0,8,53,0,66,0,0,0,0,0,3,0,9,5,10,3,0,15,20,0,35,16,10,4,0,23,77,0,106,11,7,10,0,25,17,0,47,4792,7431,1828,113,14163,2911,245,17325
LGA18450,14942,21421,6699,519,43588,9906,1694,55191,808,479,501,49,1833,1953,148,3935,1299,1122,909,70,3395,2151,343,5888,2108,1595,1409,114,5232,4104,493,9827,1057,583,591,77,2307,3005,396,5711,618,248,263,32,1160,1509,349,3016,1239,359,261,57,1913,1533,378,3827,775,219,94,14,1107,746,224,2075,72,71,38,0,176,106,12,296,3760,1471,1238,193,6667,6902,1363,14928,11,0,0,0,14,15,0,24,48,6,13,10,76,140,7,224,0,0,0,0,0,0,0,3,63,56,27,6,147,131,28,310,123,59,42,18,238,288,37,565,24,29,17,0,75,70,9,152,20954,24587,9413,842,55796,21265,3593,80658
LGA18500,1319,2420,385,38,4172,626,95,4894,171,191,52,4,423,218,35,675,1202,1181,324,36,2746,874,301,3927,1372,1374,377,43,3166,1096,335,4602,483,353,187,20,1051,708,126,1886,1433,677,363,56,2525,1747,386,4663,1197,466,222,33,1917,1861,317,4093,395,135,77,17,627,756,69,1455,20,11,9,0,44,24,0,72,3532,1644,855,130,6172,5102,898,12170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,10,0,78,101,14,192,44,28,10,0,78,101,14,192,13,16,0,0,29,28,0,50,6280,5484,1630,212,13611,6946,1353,21907
LGA18710,1802,2192,502,35,4526,985,78,5594,34,20,20,0,72,110,3,187,5,3,4,0,10,4,0,15,41,27,18,0,83,117,3,201,8,0,5,0,15,58,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,5,0,18,58,4,86,5,0,0,0,8,3,0,8,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,5,0,0,0,7,3,0,11,3,11,0,0,16,26,0,38,1854,2228,531,38,4653,1186,91,5932
LGA19399,100,86,21,4,213,65,12,280,0,0,0,0,0,0,0,5,0,9,0,0,11,15,0,22,3,9,0,0,12,15,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,11,3,0,0,0,5,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,0,0,12,14,3,28,112,105,28,4,246,91,14,353
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,1772,1222,395,38,3423,1339,111,4870,48,16,14,0,79,144,11,238,6,3,0,0,8,3,0,15,56,23,14,0,90,145,12,252,13,0,5,0,17,21,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,18,6,5,0,19,23,0,45,3,3,0,0,5,10,0,14,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,4,4,0,0,10,9,0,19,5,6,0,0,18,14,0,31,9,4,0,0,15,6,0,20,1858,1250,420,38,3567,1528,131,5222
LGA20260,1361,974,456,43,2833,1236,116,4179,37,11,24,8,78,209,6,294,0,0,0,0,3,3,0,8,42,12,24,6,82,210,8,300,3,0,0,0,3,0,0,4,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,7,0,12,4,3,0,0,0,11,0,14,0,0,0,0,9,6,0,12,0,0,0,0,0,0,0,0,4,3,0,0,7,0,0,7,10,4,0,0,15,15,0,28,4,3,0,0,5,3,3,12,1412,1001,478,51,2939,1473,127,4541
LGA20570,10460,11156,4947,374,26940,9610,1436,37980,850,408,501,58,1816,2789,204,4802,110,54,85,5,251,247,48,544,959,465,584,59,2069,3029,244,5344,129,39,85,8,263,717,36,1021,20,3,3,0,28,54,3,88,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0,8,6,0,14,152,40,92,8,302,775,44,1121,6,0,4,0,14,15,0,34,10,0,0,0,13,33,0,46,0,0,0,0,0,0,0,6,14,6,9,0,25,17,4,49,33,12,12,0,52,66,7,126,15,9,5,0,34,34,5,75,11625,11684,5643,449,29393,13525,1742,44654
LGA20660,9505,14500,3843,368,28215,6999,984,36197,878,563,449,51,1944,2136,169,4252,943,973,450,46,2407,908,176,3493,1826,1540,901,97,4357,3043,346,7746,471,241,166,21,907,905,84,1895,144,37,35,11,222,244,16,476,296,55,48,17,413,478,46,932,55,19,33,3,110,179,14,299,3,5,0,0,12,16,0,29,968,360,289,48,1661,1828,147,3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,15,20,3,37,9,5,4,0,15,21,3,40,18,3,10,0,26,19,0,49,12323,16409,5045,508,34279,11903,1484,47666
LGA20740,5349,3423,1504,102,10382,4466,376,15225,115,26,38,0,181,477,8,671,101,55,31,0,192,94,10,293,221,77,68,3,369,572,21,961,36,17,20,0,69,137,8,214,10,0,0,0,10,20,0,27,4,0,0,0,4,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,49,20,18,0,85,171,8,257,5,0,0,0,7,41,0,43,30,4,3,0,42,85,0,127,0,0,0,0,0,0,0,0,3,4,0,0,5,0,0,16,41,4,8,0,53,124,0,183,10,8,4,0,18,17,0,36,5668,3532,1599,110,10909,5347,411,16662
LGA20830,6313,6274,2154,170,14912,4313,385,19615,159,44,86,13,295,532,20,848,5,4,5,0,13,32,0,45,160,48,94,13,303,561,24,891,116,31,50,4,195,379,15,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,6,117,29,50,4,194,386,15,595,7,0,0,0,9,5,0,16,78,5,5,0,94,180,3,282,0,0,0,0,0,0,0,0,7,0,0,0,8,7,0,9,93,6,8,0,109,196,3,311,9,8,0,0,18,13,0,34,6692,6363,2304,184,15542,5467,427,21441
LGA20910,6165,11142,2108,145,19564,3865,296,23722,1185,804,424,33,2454,1922,124,4494,1297,1321,425,36,3077,965,75,4115,2481,2121,848,68,5528,2884,195,8612,536,225,208,15,980,1071,82,2140,449,119,102,14,688,624,46,1362,400,113,119,9,644,879,41,1559,73,21,20,4,113,129,5,240,4,4,6,0,11,11,0,18,1461,483,453,36,2430,2713,175,5317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,21,36,5,130,103,19,252,66,21,36,5,130,107,19,253,11,12,7,0,26,5,0,36,10185,13780,3452,255,27673,9581,680,37936
LGA21010,1932,1160,553,48,3693,1553,144,5391,94,16,41,6,152,408,20,581,0,0,0,0,6,0,0,3,95,16,41,6,161,409,20,583,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,0,0,5,22,0,29,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,7,10,3,6,0,14,25,0,43,4,3,4,0,8,3,0,15,2038,1183,600,47,3873,1999,160,6033
LGA21110,8366,16952,3294,334,28945,4989,839,34771,1989,1874,702,101,4671,2721,343,7738,1260,1698,595,48,3605,968,186,4763,3255,3576,1298,149,8277,3689,529,12501,1291,603,366,97,2360,2529,462,5346,1296,409,217,88,2013,2421,454,4894,1207,372,255,73,1907,2107,253,4271,156,47,27,7,235,359,40,636,0,7,0,0,8,10,0,18,3951,1438,874,264,6521,7429,1206,15162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,36,9,0,100,83,37,218,56,36,9,0,100,83,37,218,12,10,4,0,32,34,5,74,15643,22008,5479,747,43878,16223,2617,62715
LGA21180,11735,20490,8096,906,41221,9140,1754,52121,993,1250,769,95,3107,1738,200,5046,846,1217,649,114,2824,839,245,3908,1842,2467,1415,205,5927,2578,443,8955,381,402,296,53,1132,1051,115,2295,29,16,9,3,55,78,8,141,41,11,10,3,67,77,5,145,11,6,6,4,27,53,14,91,10,7,3,0,30,24,4,54,468,442,328,62,1308,1284,138,2731,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,29,0,0,0,0,0,0,0,6,12,17,3,0,35,17,3,53,16,15,7,0,40,48,3,87,14,12,8,3,38,23,3,61,14076,23429,9853,1179,48529,13077,2348,63949
LGA21270,791,534,180,31,1537,799,61,2399,21,16,6,0,41,26,3,76,0,0,0,0,0,0,0,0,21,17,6,0,47,34,3,80,3,0,3,0,4,39,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,39,0,44,10,0,0,0,5,11,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,6,12,0,0,0,13,18,0,27,0,0,0,0,3,3,0,5,825,555,194,29,1606,884,65,2555
LGA21370,4499,3683,1509,117,9808,3474,310,13593,189,52,106,10,359,817,35,1205,5,0,0,0,5,12,0,21,196,52,103,10,365,823,36,1224,3,9,4,0,15,22,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,4,0,14,22,3,37,7,5,0,0,13,21,3,37,36,8,8,0,52,85,0,135,4,0,0,0,4,0,0,3,5,7,0,0,10,10,0,16,55,13,11,0,76,123,5,200,9,3,0,0,9,17,0,31,4760,3752,1632,129,10273,4455,352,15079
LGA21450,9023,15441,4450,346,29257,6010,797,36059,634,228,201,21,1086,1094,33,2213,231,162,141,12,541,232,44,821,863,388,344,32,1632,1323,80,3028,52,30,30,5,112,184,13,301,0,0,0,0,4,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,0,9,9,0,17,59,31,29,3,134,200,10,340,0,0,0,0,0,3,0,5,16,0,0,0,21,99,0,120,0,0,0,0,0,0,0,3,3,0,0,0,8,4,0,12,23,0,0,0,22,111,3,140,11,14,3,0,22,19,0,37,9979,15873,4828,389,31061,7656,886,39607
LGA21610,21726,50604,12322,1167,85817,13874,2453,102149,1659,1820,809,82,4367,2557,185,7109,670,1013,430,36,2142,640,109,2890,2330,2831,1233,118,6512,3195,285,9995,250,114,104,14,480,392,29,902,3,5,3,3,16,32,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,0,30,24,0,51,266,130,108,23,527,449,32,1007,8,0,0,0,10,4,0,11,4,4,7,0,16,75,0,89,0,0,0,0,0,0,0,0,0,3,5,0,9,10,0,22,11,6,9,0,31,86,3,122,24,24,9,0,53,29,3,91,24361,53600,13682,1302,92945,17639,2776,113365
