LGA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10050,0,8,5,48,7,0,0,0,0,68,0,0,0,3,11,8,5,0,0,31,4,21,51,170,84,43,29,9,0,416,0,0,0,5,0,7,12,0,3,28,0,0,0,0,3,0,0,0,0,11,0,0,4,11,20,36,45,30,18,156,0,7,6,10,7,3,4,0,0,28,6,8,16,54,32,25,18,5,0,172,0,7,3,46,16,10,7,0,0,93,0,0,0,17,0,0,0,0,0,18,0,8,6,39,21,5,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,12,6,43,18,20,18,11,0,120,0,7,5,33,13,3,6,0,0,72,0,0,5,9,9,14,11,3,6,41,0,0,3,13,7,3,5,0,4,31,10,88,83,364,194,152,126,119,48,1186,208,371,384,827,368,382,338,262,116,3252,3568,7003,6809,14199,6711,6839,6036,3539,1385,56093
LGA10180,0,3,0,23,3,0,0,0,0,35,0,0,4,9,5,6,4,0,0,31,0,13,14,97,21,19,4,0,0,165,0,0,0,0,0,0,3,0,0,10,0,0,0,3,0,0,0,0,0,8,0,0,5,6,6,29,15,18,4,91,0,6,0,3,3,0,0,0,0,13,0,5,22,38,25,6,11,3,0,109,3,6,9,44,20,5,6,0,0,93,0,0,0,26,3,0,0,0,0,35,0,4,3,8,11,3,0,0,0,33,3,0,0,8,0,0,0,0,0,12,0,22,14,34,12,25,20,15,0,153,0,13,6,46,12,4,0,0,0,79,0,0,4,0,6,5,3,4,0,24,0,4,4,10,9,0,0,5,0,37,14,68,55,252,70,47,51,31,14,600,126,344,740,616,247,263,212,219,144,2924,1571,3671,4661,6925,3208,3574,2885,1918,713,29124
LGA10250,0,0,0,7,0,0,0,0,0,5,0,0,0,11,29,23,9,0,0,70,0,15,10,71,22,25,15,8,0,164,0,0,0,10,3,4,7,4,0,20,0,0,0,3,0,0,0,0,0,6,0,0,7,22,26,27,41,27,11,169,0,3,5,5,5,3,0,3,0,26,0,10,17,64,48,28,48,37,11,261,0,0,0,13,0,3,6,4,0,25,0,0,0,3,0,0,0,0,0,9,0,9,19,53,24,19,0,0,0,128,0,0,0,0,0,0,0,0,0,5,6,13,17,81,40,34,44,10,3,236,0,4,0,14,15,5,0,0,0,44,0,7,0,14,3,10,18,13,4,66,0,0,0,11,18,7,6,4,0,43,11,21,17,207,80,87,76,64,23,580,92,257,219,567,289,350,403,288,237,2706,2205,5336,4306,9514,5901,6505,6722,3968,1834,46296
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,9,42,26,72,44,43,48,21,7,308,135,302,220,489,289,333,289,117,47,2208
LGA10470,3,10,0,40,6,0,0,0,0,60,0,0,0,0,4,11,0,0,0,24,7,22,26,118,37,26,8,3,0,255,0,0,0,5,0,6,5,4,3,16,0,0,0,3,0,0,0,0,0,6,0,0,5,19,24,27,36,29,11,157,0,0,5,3,9,7,0,4,0,28,0,9,16,39,28,8,17,6,0,127,0,6,9,40,9,15,8,0,0,92,0,0,0,0,0,0,5,0,0,5,5,3,11,41,15,5,0,0,0,76,0,0,0,0,3,0,0,0,0,4,0,12,12,25,17,12,13,0,0,93,0,9,9,37,15,7,0,0,0,82,0,0,0,5,4,3,3,7,0,21,0,0,4,7,8,0,4,0,0,30,4,13,23,106,75,53,66,44,20,418,90,251,298,539,302,301,263,175,82,2297,2479,5692,5785,10810,5383,5338,4497,2528,1052,43567
LGA10500,10,11,56,305,28,28,13,6,0,460,0,5,11,29,25,11,10,3,0,97,12,118,218,1729,539,520,301,94,31,3558,4,6,8,227,77,49,73,25,9,476,0,0,4,22,28,15,10,10,0,85,0,0,8,153,58,98,82,42,19,458,8,17,44,211,57,52,48,13,0,447,0,13,42,283,134,126,81,35,8,721,3,0,23,135,48,42,34,16,3,305,3,6,40,374,57,36,34,4,0,559,11,30,105,1068,218,111,61,13,0,1607,0,4,11,202,169,204,120,98,15,822,31,47,63,238,64,60,24,11,3,535,8,47,314,741,341,240,177,55,17,1942,0,6,9,49,20,16,7,7,0,123,0,0,13,44,19,11,0,0,0,91,120,502,697,5594,1439,1409,1329,954,297,12330,441,764,1141,3602,980,801,655,518,239,9138,9986,16501,21488,63087,20624,17495,13485,8707,3802,175184
LGA10550,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,6,0,0,0,19,0,6,8,47,23,39,20,5,3,141,0,0,0,3,4,0,5,6,0,22,0,0,0,0,3,0,0,0,0,3,0,0,0,12,7,36,50,45,12,165,0,0,0,6,3,3,3,0,0,21,0,8,0,26,18,31,16,15,4,124,0,0,0,6,5,4,4,0,0,13,0,0,0,3,0,0,0,0,0,3,0,9,6,30,19,11,4,0,0,85,0,0,0,3,0,0,0,0,0,9,0,10,13,43,12,28,48,17,3,174,0,0,0,4,5,5,0,0,0,18,0,0,0,0,4,8,10,9,0,31,0,0,0,4,5,9,6,0,0,21,0,14,4,75,50,82,99,79,34,432,81,222,222,454,334,490,444,249,183,2678,1507,3916,3044,6372,4348,6337,6219,3104,1089,35942
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,19,0,5,0,15,3,12,3,0,0,38,0,0,0,0,0,0,7,5,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,15,12,9,8,65,0,0,0,0,4,4,0,0,0,12,0,3,0,10,21,9,12,5,3,62,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,4,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,17,5,16,20,5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,7,7,0,0,24,0,0,0,0,6,4,5,0,0,6,5,11,12,32,38,32,29,25,10,182,37,137,91,199,153,150,172,96,33,1069,542,1672,1104,2339,1770,2263,2110,1054,395,13253
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,9,15,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,12,5,3,36,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,4,0,6,0,19,0,0,4,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,8,0,14,9,5,20,12,3,76,26,90,65,135,89,120,169,100,45,850,378,958,730,1530,968,1277,1595,899,334,8665
LGA10750,65,740,623,3211,756,477,229,53,16,6175,0,8,25,39,53,31,15,0,0,168,82,866,2107,8954,4741,4601,2979,750,222,25292,0,4,8,131,114,152,232,102,123,870,11,125,225,608,497,465,279,83,10,2305,0,10,29,60,106,182,181,119,42,732,19,191,83,162,80,100,73,23,4,736,18,171,203,759,401,309,198,68,22,2149,19,247,395,2550,1085,910,569,209,60,6037,5,15,22,226,48,43,47,8,5,411,6,46,96,441,169,76,44,9,3,881,0,24,43,415,337,351,199,108,9,1494,33,195,164,293,94,99,34,18,4,922,5,36,57,444,293,257,183,36,6,1322,0,0,4,14,19,12,19,19,4,95,4,35,73,189,94,45,9,6,0,451,101,1010,1562,5246,2705,2328,1685,995,474,16110,1431,3149,2724,6824,2272,1723,1322,829,480,20749,29907,60217,50801,126651,47563,37873,27022,12432,4304,396776
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,12,0,3,3,17,3,0,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,6,0,4,0,27,0,0,0,5,0,0,0,0,0,5,4,0,0,4,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4,0,5,0,27,34,75,32,134,60,88,61,53,24,556,349,737,542,1214,642,791,681,411,176,5547
LGA10850,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,4,0,0,0,0,14,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,0,11,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,5,0,0,0,6,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,5,0,3,0,5,6,4,3,4,0,39,16,64,42,78,80,89,76,56,10,506,448,1073,776,1574,1009,1106,877,477,165,7497
LGA10900,0,0,0,7,7,9,3,4,0,37,0,0,0,13,27,22,9,0,5,73,0,20,20,151,58,44,46,10,0,356,0,0,0,47,28,44,58,12,6,202,0,0,0,5,5,0,6,0,0,12,0,12,16,54,64,118,158,77,33,520,0,13,3,17,20,9,13,0,0,83,0,7,18,78,91,54,58,27,8,345,0,0,0,21,15,20,14,6,3,74,0,0,3,16,0,4,7,0,0,33,0,10,9,82,31,18,9,0,0,172,0,0,0,6,9,3,5,0,0,27,5,28,29,129,84,100,100,46,3,534,0,14,28,77,35,8,4,0,0,169,0,0,0,4,24,27,42,21,3,121,0,0,0,10,4,10,3,0,0,32,7,35,38,320,329,311,335,228,70,1670,112,266,210,536,343,314,334,276,203,2602,3889,9744,8087,16711,10957,11205,10517,5258,1763,78121
LGA10950,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,3,16,30,34,28,32,27,29,9,206,156,317,292,543,336,321,225,208,71,2467
LGA11150,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,11,36,72,46,108,59,58,36,21,4,448,178,342,260,583,303,315,211,106,34,2340
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,11,18,29,60,35,41,21,3,7,223,88,186,161,339,169,209,132,51,17,1356
LGA11250,0,0,0,5,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,10,3,21,25,80,27,19,18,5,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,17,0,0,0,6,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,7,0,0,0,27,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,6,0,7,0,4,0,0,0,0,0,10,0,4,6,21,10,10,12,15,3,71,71,184,181,357,174,169,170,144,124,1567,972,2030,1874,4066,2010,2570,2214,1272,590,17588
LGA11300,0,3,9,39,15,4,9,0,0,80,0,0,0,6,5,8,11,7,4,44,4,17,36,318,80,49,71,16,13,604,0,0,0,12,5,19,17,6,8,75,0,0,0,3,5,4,3,0,0,12,0,0,0,9,9,12,15,6,0,54,0,4,26,62,19,15,3,9,0,139,0,7,5,31,9,13,15,5,0,69,0,0,5,56,29,40,45,29,5,215,0,8,28,344,26,22,24,9,3,462,0,3,24,244,45,19,10,0,0,349,0,6,4,18,15,18,12,11,6,89,5,19,18,31,5,10,3,5,0,104,6,21,186,348,192,168,118,30,10,1076,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,9,40,85,406,152,166,148,144,66,1213,45,104,318,732,182,174,140,184,233,2115,1532,3271,6830,13804,4503,4109,3028,1960,1177,40217
LGA11350,0,0,0,0,0,0,0,0,0,3,0,0,0,5,20,8,8,0,0,46,0,3,3,46,13,12,3,0,0,100,0,0,0,15,3,3,3,7,0,34,0,0,0,0,0,0,3,0,0,0,0,0,0,24,17,25,32,15,8,123,0,6,0,9,3,7,5,0,0,37,0,9,3,64,52,47,40,13,4,229,0,0,0,12,4,3,6,0,0,22,0,4,0,5,0,4,0,0,0,18,0,10,10,32,21,9,10,0,0,92,0,0,0,6,0,0,0,0,0,14,13,37,21,156,68,66,94,24,6,476,0,4,3,13,3,5,0,0,0,26,0,0,10,10,7,0,7,0,0,43,0,0,0,10,9,9,12,0,0,28,5,49,70,729,196,150,104,43,12,1355,174,415,333,1105,524,525,417,156,75,3727,1733,4079,3183,10015,5197,5197,4488,1634,584,36116
LGA11400,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,0,0,5,0,3,0,7,10,5,4,0,0,25,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,3,0,0,20,0,3,0,0,0,0,0,0,0,5,0,0,6,10,8,12,0,3,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,5,5,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,8,3,11,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,0,0,12,0,0,0,0,0,0,0,0,0,4,0,3,0,15,9,9,14,4,0,63,46,135,111,214,165,175,159,114,49,1170,751,2043,1499,2679,1832,1987,1677,960,331,13766
LGA11450,0,75,75,347,115,49,19,7,0,678,3,0,3,12,19,8,3,0,3,50,3,63,110,751,257,190,95,15,7,1504,0,0,7,74,39,24,37,13,9,198,0,11,38,92,77,82,33,7,0,342,0,9,18,76,71,100,96,63,19,451,0,16,9,22,15,10,11,0,0,91,11,50,54,227,136,78,46,17,6,622,0,11,28,112,57,46,28,9,9,296,0,0,4,43,26,7,10,0,0,93,6,19,17,191,51,14,18,0,0,306,0,7,7,55,37,20,3,0,0,125,3,37,31,84,32,25,21,4,3,255,0,6,19,224,81,66,29,4,6,438,0,3,5,16,22,23,14,8,5,98,0,3,62,152,75,36,9,0,0,335,19,160,203,1282,683,568,412,173,59,3543,263,552,410,1152,366,288,238,153,63,3479,11190,18901,14488,38285,14279,10328,7203,3432,1220,119325
LGA11500,8,213,190,893,233,144,45,4,0,1740,0,4,9,24,25,20,15,0,0,104,25,161,439,1789,921,909,574,160,34,5006,0,0,9,83,76,92,138,50,14,468,8,87,192,471,394,428,209,68,5,1865,0,17,7,52,63,175,231,130,29,700,0,25,19,43,27,20,27,11,0,166,3,30,34,235,166,161,158,61,15,872,7,52,59,233,110,106,77,34,7,684,0,3,6,55,16,7,11,0,0,100,5,30,58,431,133,99,60,10,0,827,0,9,12,54,28,29,12,9,0,158,4,27,44,127,48,41,33,8,5,333,3,32,57,526,243,208,120,19,11,1219,0,0,0,18,21,31,28,12,6,112,0,9,35,103,32,20,7,5,0,210,34,317,433,2153,1353,1338,987,542,124,7288,654,1515,1173,2840,1082,868,674,525,228,9564,13106,25759,22208,52199,20283,19501,14817,6689,1953,176519
LGA11520,3,14,16,125,27,10,9,3,0,212,0,0,0,11,23,16,6,0,0,53,4,28,64,571,123,102,92,11,5,998,0,4,0,73,19,25,39,11,8,187,0,0,3,7,3,0,0,0,0,14,0,0,7,53,59,56,51,36,12,271,8,28,29,92,34,35,31,14,4,276,3,17,27,199,95,81,56,24,0,506,0,4,16,165,62,74,50,28,15,410,4,8,14,200,24,35,23,4,0,312,0,14,29,234,73,14,16,5,0,383,0,4,9,112,69,80,34,24,4,338,23,61,34,147,57,40,42,20,4,426,0,19,66,288,223,120,77,31,8,821,0,0,0,17,12,9,10,0,0,49,0,0,4,24,18,3,9,0,0,59,30,125,163,1394,461,387,351,231,122,3261,136,293,380,1224,369,319,312,245,201,3479,4851,9248,9496,28558,11738,10252,8074,4743,2219,89177
LGA11570,75,444,749,2959,631,299,107,20,0,5288,0,0,7,35,35,30,19,13,4,140,22,170,385,2073,786,805,504,134,34,4906,0,3,4,130,59,82,109,84,73,547,3,4,50,155,134,142,87,17,5,609,0,9,0,40,39,72,80,51,30,333,5,35,53,131,70,73,70,25,12,476,0,23,47,182,123,98,68,42,7,588,5,9,26,189,85,110,111,44,18,596,4,14,33,322,55,48,48,14,4,540,8,35,86,772,241,156,83,11,4,1395,3,16,17,180,206,182,108,68,17,795,17,70,103,245,78,56,37,12,7,619,73,466,1586,6290,4611,4984,2704,850,402,21972,0,0,0,19,16,18,16,11,8,85,0,3,20,56,39,22,8,0,0,152,132,1188,1421,6342,3352,3067,2238,1403,582,19727,1397,3101,2839,7259,2615,2275,1710,1099,674,22970,24664,48817,47782,106515,45671,41923,29760,17504,8374,371006
LGA11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,3,0,12,4,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,49,7,4,0,0,0,63,15,37,34,84,58,54,38,29,6,358,210,354,298,811,371,390,251,126,56,2866
LGA11650,4,13,20,118,11,13,13,0,4,201,0,3,11,65,84,78,41,10,4,294,14,132,165,996,420,431,254,60,17,2487,0,4,4,131,61,54,102,51,24,431,0,0,0,26,19,16,9,3,0,68,3,31,55,190,230,372,418,369,141,1808,0,27,10,63,39,48,45,8,0,236,9,110,157,572,476,326,263,148,29,2100,4,9,9,103,50,41,54,24,8,306,0,19,4,50,22,15,9,0,0,115,6,66,69,413,177,90,26,9,3,856,0,7,3,34,25,45,25,12,0,139,6,89,124,369,220,190,168,74,13,1252,0,30,30,173,100,44,36,8,0,431,5,14,17,81,89,84,79,102,25,499,0,10,35,109,73,53,17,21,3,325,23,182,213,1358,934,947,977,780,292,5699,714,1830,1657,3801,1998,2005,2133,1878,1178,17199,19421,42931,38764,79477,44183,44882,40693,25702,10545,346596
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,47,51,92,37,53,51,19,5,366,88,212,208,400,225,240,222,105,22,1725
LGA11720,0,0,0,15,6,0,0,0,0,23,0,0,0,6,11,0,5,0,0,20,0,20,39,131,41,41,27,5,0,305,0,0,0,5,4,0,7,0,4,22,0,0,0,13,4,0,4,0,0,20,3,3,7,17,16,49,69,51,15,224,0,0,0,0,0,3,5,0,0,17,0,11,12,42,42,17,25,16,0,166,0,0,4,13,7,0,7,0,0,29,0,0,0,14,0,0,0,0,0,15,0,8,7,76,26,14,3,0,0,131,0,0,0,7,0,4,0,0,0,11,5,9,10,44,18,25,13,10,0,123,0,5,7,69,9,3,0,0,0,96,0,0,0,6,7,16,13,8,0,45,0,0,0,13,7,0,0,0,0,26,0,9,25,108,60,66,87,36,10,406,179,347,353,775,361,376,369,246,116,3124,4283,8551,7585,16997,7749,7635,6577,3083,1167,63632
LGA11730,0,0,0,9,0,3,0,0,0,13,0,0,3,15,16,17,6,0,0,62,3,23,9,87,33,48,22,0,0,219,0,0,0,7,0,6,0,4,0,15,0,0,0,9,0,0,0,0,0,10,0,0,3,5,17,32,41,40,9,140,0,0,0,10,7,0,0,0,0,22,0,6,8,33,24,17,23,16,0,127,0,0,0,4,3,9,3,3,0,28,0,0,0,13,3,5,3,0,0,28,0,7,4,30,22,13,0,0,0,75,0,0,0,4,3,3,0,0,0,15,0,10,6,39,14,28,43,7,0,142,0,3,8,20,9,0,0,0,0,38,0,0,0,0,5,12,15,12,3,44,0,0,0,6,6,9,0,0,0,26,6,18,20,88,56,81,80,54,19,419,154,391,364,834,508,644,597,353,155,4009,2578,6082,5098,10603,6516,8407,8356,4719,1757,54115
