LGA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA26260,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,18,8,8,0,0,0,48,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,11,14,0,44,0,0,0,0,3,0,0,0,0,7,0,7,7,18,12,3,3,4,0,54,0,0,0,7,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,7,0,0,0,17,8,7,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,11,3,5,0,32,0,0,0,3,0,3,0,0,0,8,0,0,0,0,4,0,5,0,0,9,0,0,0,9,4,0,0,0,0,22,0,11,5,28,7,13,17,8,0,84,41,102,95,198,124,164,177,135,73,1106,868,1953,1721,3357,2006,2398,2342,1349,585,16588
LGA26350,0,0,11,81,5,8,4,0,0,111,0,0,4,10,18,9,5,0,0,45,3,11,29,442,79,38,33,9,0,651,0,0,4,78,32,48,91,79,73,399,0,0,0,0,0,4,8,0,0,11,0,4,22,187,54,60,56,64,16,461,6,51,87,244,60,45,52,24,0,564,0,10,58,389,126,124,138,48,20,914,0,9,41,329,75,58,86,31,11,636,0,11,16,176,19,17,11,0,0,255,0,9,40,254,54,25,15,0,0,395,0,3,3,61,23,21,9,6,4,129,48,79,149,408,103,89,82,30,9,1004,0,3,65,249,133,103,67,21,8,657,0,0,3,45,9,11,7,10,3,95,0,0,9,56,11,13,10,4,0,105,32,91,244,1901,469,407,466,397,227,4231,131,310,532,1865,546,457,409,354,241,4843,3950,8061,12798,38784,12626,10682,8975,6073,2749,104703
LGA26430,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,9,0,7,4,20,12,15,9,0,0,64,0,0,0,0,0,0,5,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,13,10,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,10,0,0,0,6,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,0,3,4,13,6,0,0,0,0,25,0,0,0,0,0,4,0,0,0,4,0,0,3,0,3,8,3,0,0,23,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,0,4,3,12,0,0,3,0,5,0,0,0,0,9,5,10,0,22,10,23,25,12,12,100,26,102,71,189,139,221,190,117,67,1120,532,1088,925,2044,1337,1947,2090,1068,433,11455
LGA26490,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,19,0,0,12,26,8,13,4,0,0,62,0,0,0,6,9,3,3,3,4,34,0,0,0,0,0,0,0,0,0,0,0,0,5,34,25,43,51,18,4,188,0,7,0,0,6,5,5,0,0,18,0,8,25,70,52,32,22,8,0,207,0,0,0,12,3,0,4,3,5,23,0,0,0,0,0,0,0,0,0,5,0,5,3,21,6,0,0,0,0,35,0,0,0,0,0,0,0,0,0,6,5,20,20,59,27,21,25,9,0,187,0,0,4,9,3,0,0,0,0,15,0,0,0,11,7,11,9,7,0,40,0,0,0,4,0,4,0,0,0,21,3,20,14,158,67,53,81,46,8,451,77,233,155,439,264,258,304,147,110,1986,2301,5133,3651,9037,5178,4936,4628,2099,738,37694
LGA26610,0,8,0,20,6,0,0,0,0,40,0,0,0,0,0,4,0,0,0,7,0,8,13,89,41,18,9,5,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,22,0,0,0,3,0,4,10,4,0,19,0,0,0,3,0,0,0,0,0,7,5,13,11,29,6,10,3,0,0,76,0,3,0,20,3,0,0,0,0,35,3,0,5,39,0,0,0,0,0,50,0,7,7,84,20,11,3,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,0,0,23,0,33,14,153,44,69,28,6,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,27,5,15,22,195,73,47,23,12,0,384,85,262,176,505,210,273,198,137,77,1918,1298,2704,2293,5748,2335,2852,2250,1321,597,21403
LGA26670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,4,17,3,3,0,0,0,33,0,0,0,0,0,0,3,0,0,3,0,0,0,8,0,0,0,0,0,6,0,0,0,0,6,5,7,3,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,13,0,4,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,10,7,11,9,7,0,56,22,50,42,99,73,89,102,66,42,581,278,684,491,1106,772,1116,1031,533,217,6223
LGA26700,0,3,0,15,0,0,0,0,0,19,0,0,0,3,8,0,0,0,0,17,5,16,12,95,13,17,20,6,0,175,0,0,0,0,0,0,0,0,0,8,0,0,5,5,0,3,0,0,0,8,0,4,0,12,17,19,28,25,3,102,3,0,0,0,3,0,0,0,0,13,0,0,5,14,26,11,0,3,0,68,0,4,4,21,14,4,0,0,0,50,0,0,4,10,0,0,0,0,0,11,0,0,3,42,9,3,0,0,0,61,0,0,0,0,0,0,0,0,0,3,0,3,0,17,4,7,10,5,0,60,0,0,0,14,5,0,0,0,0,25,0,0,0,0,0,0,0,11,0,17,0,0,0,10,0,0,4,0,0,10,0,5,7,48,26,41,44,42,16,237,71,203,150,377,222,272,270,203,113,1888,1535,3670,3069,6351,3859,4135,3858,2379,952,29808
LGA26730,0,0,0,6,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,21,16,118,32,22,7,3,0,221,0,0,0,7,0,0,0,3,0,11,0,0,0,5,0,0,0,0,0,5,0,4,5,23,12,25,39,11,9,126,0,0,0,4,0,3,0,0,0,12,0,20,11,44,20,16,0,4,3,121,0,6,12,77,15,5,11,5,0,115,0,0,3,46,4,0,0,0,0,57,5,9,8,39,8,12,0,0,0,82,0,0,0,3,0,3,0,0,0,6,0,5,8,24,11,14,13,0,0,70,5,18,9,68,0,0,0,0,0,113,0,0,0,0,0,0,10,0,0,12,0,0,0,12,3,0,0,0,0,22,0,9,34,164,38,39,27,19,14,333,86,242,202,483,221,214,228,192,116,1981,1828,4352,3945,8742,4444,4592,4080,2362,1065,35406
LGA26810,0,6,3,17,3,3,0,0,0,28,0,0,0,0,4,5,6,0,0,14,7,21,28,129,52,35,25,6,4,290,0,0,0,4,0,8,11,6,6,36,0,0,0,4,0,0,0,0,0,0,0,3,3,20,14,33,57,30,6,159,0,7,7,9,5,5,6,0,0,24,0,18,15,38,21,13,9,3,0,135,0,0,8,37,12,9,12,3,0,77,0,0,0,21,0,4,3,0,0,33,0,5,14,34,15,7,0,0,0,73,0,0,0,4,3,0,0,0,0,5,6,12,3,29,10,13,29,8,3,108,0,5,9,79,30,31,3,0,0,152,0,0,0,4,7,16,10,3,3,34,0,0,4,6,9,10,4,0,0,27,3,16,16,108,48,92,102,55,17,455,146,347,331,802,443,500,540,296,111,3517,2397,5358,4695,10379,5565,6671,6433,3105,1038,45639
LGA26890,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,7,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,15,5,39,23,54,59,65,67,46,17,367,238,428,301,750,513,693,621,319,141,4006
LGA26980,3,35,103,378,48,26,13,3,0,609,0,0,6,9,39,18,10,4,0,82,8,71,121,736,179,155,97,21,7,1396,0,5,4,43,50,69,89,53,37,354,0,0,0,13,0,3,4,0,0,18,0,5,5,56,78,87,110,129,54,533,13,128,163,349,198,129,120,49,18,1162,5,31,90,254,171,117,63,53,18,806,8,70,341,1113,309,236,286,126,73,2553,4,48,65,623,135,71,92,14,0,1063,7,26,53,300,97,45,23,12,0,572,0,13,7,51,23,23,14,8,7,142,16,105,110,147,95,82,38,15,0,613,0,72,200,653,560,536,444,144,47,2653,0,6,3,11,25,27,15,16,5,109,0,4,17,73,23,29,12,4,0,159,25,184,333,1053,547,506,551,450,249,3895,175,417,779,1716,581,507,550,471,467,5665,7787,19164,22723,46931,22674,18721,15256,10629,5471,169346
LGA27070,22,164,143,1005,135,57,27,8,0,1564,0,0,3,11,18,3,3,0,0,42,7,172,285,1369,512,410,297,63,15,3126,0,0,5,58,36,42,77,25,13,259,0,20,52,136,98,103,46,18,3,474,3,13,13,62,46,81,79,67,16,376,4,79,67,180,79,63,34,6,0,517,0,47,96,208,139,64,30,15,6,608,9,140,316,1740,619,456,305,109,25,3717,4,8,8,105,23,12,3,0,5,173,3,33,49,316,89,27,18,3,0,540,0,10,20,216,232,230,131,56,16,913,13,50,78,145,40,36,30,0,0,387,14,95,196,1281,815,741,399,99,41,3681,0,5,4,15,17,23,11,0,0,80,0,27,82,216,105,35,6,0,0,480,62,593,783,3172,1395,1207,960,465,154,8802,533,1205,1113,2943,1085,899,761,677,401,9625,16508,32198,27570,73114,27849,22630,17191,9006,3332,229396
LGA27170,0,0,0,14,0,0,0,0,0,21,0,0,0,6,11,0,0,0,0,26,3,33,34,124,49,23,21,4,0,288,0,0,0,0,5,4,6,5,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,39,27,29,10,143,0,0,0,3,6,0,0,0,0,19,0,0,21,28,16,17,3,4,0,96,0,3,3,33,20,0,4,3,0,62,0,4,3,16,0,0,0,0,0,18,0,5,11,18,10,4,0,0,0,45,0,0,0,3,0,0,0,0,0,3,5,4,8,26,10,11,15,0,0,76,5,41,23,100,10,5,3,0,0,187,0,0,0,3,6,7,8,5,0,33,0,6,10,12,11,0,0,0,0,49,11,108,136,212,124,87,106,104,47,931,98,302,265,563,241,231,228,165,78,2165,2702,5982,5372,11287,5198,5034,4491,2334,846,43253
