LGA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA10050,10379,6508,7042,6654,6479,6481,5568,3341,1318,53772,11,8,14,14,9,19,23,22,9,128,159,225,176,144,113,146,134,62,45,1206,62,120,117,68,77,71,61,31,7,613,3,8,15,4,10,19,8,0,0,51,0,0,4,0,0,6,5,0,0,20,0,0,4,6,0,0,0,0,0,10,0,3,0,0,0,3,0,0,0,10,0,0,4,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,228,372,317,217,202,238,208,100,54,1939,238,379,328,229,213,260,234,122,60,2062,10622,6892,7369,6880,6695,6736,5797,3466,1379,55832
LGA10180,5084,4181,3566,3081,3075,3398,2688,1828,678,27578,5,10,7,8,4,13,13,9,5,75,105,395,156,113,110,91,69,45,26,1101,0,10,9,4,7,0,4,0,0,40,0,43,19,0,9,22,13,7,0,122,0,4,0,0,0,0,3,5,0,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,3,0,0,0,10,0,0,5,0,0,0,0,0,0,3,0,6,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,109,454,188,122,130,121,90,57,21,1298,114,471,195,128,137,132,101,63,32,1369,5201,4650,3761,3208,3211,3532,2791,1889,705,28948
LGA10250,7367,4109,4085,5080,5686,6168,6358,3837,1756,44440,14,5,11,7,9,9,16,14,10,97,131,193,174,121,148,219,188,87,45,1312,0,12,7,5,4,22,79,22,10,167,8,26,36,29,28,33,27,7,0,196,4,3,0,0,3,3,8,0,0,26,0,0,0,0,3,0,0,3,0,13,0,0,0,0,0,4,9,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,152,244,221,158,185,292,319,127,56,1748,166,252,234,164,193,297,337,140,65,1841,7532,4355,4316,5246,5882,6467,6693,3974,1822,46290
LGA10300,425,190,254,199,275,312,274,107,47,2084,0,0,3,0,0,6,0,0,0,11,8,11,13,10,19,23,18,8,0,109,3,5,14,18,9,6,12,0,0,70,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,14,25,35,32,44,35,4,0,203,18,15,32,38,36,45,38,4,0,217,435,208,287,231,307,361,309,111,53,2304
LGA10470,8042,5485,5451,4968,5178,5047,4224,2398,1000,41804,0,16,5,5,10,12,14,8,18,84,176,444,257,192,208,165,148,86,31,1705,0,12,7,0,4,0,4,0,0,27,4,0,8,0,0,4,4,0,0,23,0,5,0,0,3,0,0,0,0,14,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,180,469,276,198,220,179,159,86,28,1802,180,481,286,204,232,192,171,95,45,1887,8223,5970,5731,5174,5414,5239,4395,2494,1046,43690
LGA10500,26117,20858,35614,26051,20210,17089,13174,8418,3570,171102,12,12,24,23,32,21,26,41,42,234,312,511,770,460,392,282,210,156,102,3184,9,17,49,27,21,20,4,3,0,145,10,28,35,23,36,40,15,4,0,189,0,9,0,3,11,0,0,0,0,28,0,13,14,5,14,7,5,0,0,60,3,0,0,0,0,0,4,3,0,10,0,0,6,0,0,3,0,0,0,12,0,12,11,11,8,8,0,0,0,61,0,0,0,0,0,0,0,0,0,0,334,589,882,536,489,356,239,165,100,3691,345,605,903,559,522,376,264,206,141,3928,26460,21466,36523,26614,20728,17464,13437,8623,3717,175031
LGA10550,5269,2852,2835,3173,4138,5882,5742,2947,1050,33889,12,13,8,15,15,24,19,11,3,121,186,202,219,146,174,272,255,80,27,1561,10,13,19,10,31,60,79,57,19,300,0,9,3,8,8,14,14,4,0,62,0,4,8,0,0,3,0,3,0,15,0,0,0,0,3,0,8,0,0,18,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,26,33,29,28,57,62,16,0,272,0,0,0,0,0,0,0,0,0,0,209,253,279,201,247,414,424,165,50,2243,226,265,285,212,264,432,440,176,54,2368,5492,3120,3127,3391,4404,6311,6182,3124,1102,36250
LGA10600,2155,1028,976,1237,1691,2132,1984,1006,381,12605,4,4,0,0,3,5,8,5,0,38,71,83,74,63,65,118,136,45,18,676,0,6,3,0,3,3,44,33,0,101,0,3,7,6,11,9,8,8,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,79,93,90,66,73,138,194,83,19,841,84,95,90,68,81,140,200,96,24,875,2237,1129,1062,1306,1774,2276,2186,1098,405,13482
LGA10650,1316,675,699,766,924,1194,1403,838,309,8126,0,0,0,0,0,6,8,4,9,27,10,32,16,14,23,25,24,7,4,159,13,23,16,5,8,20,30,5,0,125,0,0,0,0,8,4,4,0,0,14,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,8,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,58,35,21,36,58,63,27,7,332,26,58,36,25,37,64,68,30,13,354,1347,730,736,792,959,1252,1477,861,329,8476
LGA10750,89115,49788,58086,66517,46930,37264,26459,12153,4191,390518,51,35,36,54,42,46,52,34,13,352,904,801,938,672,512,475,385,270,169,5119,7,6,19,7,3,9,13,3,0,71,26,19,18,16,12,36,30,6,0,163,0,3,4,0,0,0,0,0,0,18,7,0,0,11,3,7,0,0,0,30,0,0,3,3,0,4,0,3,0,21,0,0,3,0,4,0,0,0,0,6,0,5,10,5,0,3,8,3,0,30,0,0,0,0,0,0,0,0,0,0,950,843,1007,707,534,532,431,285,169,5460,998,878,1041,756,575,579,485,323,181,5816,90109,50669,59127,67274,47507,37845,26951,12472,4375,396334
