LGA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA25990,67,0,0,0,0,70,38,0,0,0,0,38,45,0,0,0,0,45,97,0,0,0,0,97,118,0,0,0,0,117,212,0,0,0,0,212,136,0,0,0,0,136,100,0,0,0,0,110,31,0,0,0,0,34,21,0,0,0,0,21,16,0,0,0,0,16,60,0,0,0,0,60,943,0,0,0,4,952
LGA26080,14,0,0,0,0,15,5,0,0,0,0,5,8,0,0,0,0,9,7,0,0,0,0,7,10,0,0,0,0,12,32,0,0,0,0,32,21,4,0,0,0,27,46,0,0,0,0,44,31,0,0,0,0,35,41,0,0,0,0,45,28,0,0,0,0,27,18,0,0,0,0,18,266,5,3,4,0,277
LGA26170,213,7,0,0,0,223,141,0,0,0,0,142,117,0,0,0,0,118,217,6,0,0,0,226,307,3,0,0,0,310,816,0,4,0,0,826,742,3,0,0,4,743,601,4,0,0,0,607,241,3,0,0,0,242,170,0,0,0,0,171,130,3,0,0,0,128,245,0,0,0,0,243,3932,29,5,7,9,3984
LGA26260,132,4,0,0,0,131,89,0,0,0,0,92,107,0,0,0,0,109,234,6,0,0,0,233,248,6,0,0,0,254,485,3,0,0,0,485,220,3,0,0,0,227,167,4,0,0,0,171,62,5,0,0,0,63,42,0,0,0,0,40,41,0,0,0,0,41,117,0,0,0,0,118,1938,23,3,3,0,1970
LGA26350,336,157,225,5,4,731,57,19,41,0,0,122,34,24,42,0,0,98,49,28,92,0,0,167,65,37,127,0,0,232,184,126,635,10,0,952,171,131,802,7,0,1110,345,280,1131,9,5,1759,240,199,529,0,0,973,536,422,491,0,0,1464,1974,772,400,3,3,3149,391,187,235,4,0,812,4377,2383,4760,39,11,11568
LGA26430,62,7,0,0,0,65,47,0,0,0,0,49,52,4,0,0,0,60,97,5,0,0,0,101,121,0,0,6,0,126,278,0,0,3,0,287,229,0,0,0,0,229,145,3,0,0,0,148,68,0,0,0,0,69,40,0,0,0,0,40,48,0,0,0,0,48,77,0,0,0,0,77,1262,13,0,5,0,1286
LGA26490,211,10,0,0,0,225,108,0,0,0,0,110,58,3,0,0,0,64,93,8,0,0,0,102,167,8,0,0,0,180,494,15,0,0,0,507,641,28,0,0,0,670,1029,35,5,0,0,1072,729,19,0,0,0,748,642,21,0,0,0,662,442,12,0,0,0,450,327,3,0,0,0,334,4948,156,9,7,0,5118
LGA26610,129,3,0,0,0,129,74,0,0,0,0,74,106,0,0,0,0,106,199,7,0,0,0,202,279,8,5,0,0,284,549,6,3,0,0,563,341,3,0,0,0,348,248,0,0,0,0,248,63,0,0,0,0,63,47,0,0,0,0,54,37,0,0,0,0,37,142,0,3,0,0,145,2208,21,12,9,3,2252
LGA26670,45,0,0,0,0,52,24,0,0,0,0,24,31,0,0,0,0,34,71,0,0,0,0,71,94,0,0,0,0,94,144,0,0,3,0,152,122,0,0,0,0,122,74,0,0,0,0,74,38,0,0,0,0,38,18,0,0,0,0,18,17,0,0,0,0,17,33,0,0,0,0,33,723,0,0,3,0,725
LGA26700,164,5,0,0,0,172,98,4,0,0,0,101,101,0,0,0,0,97,192,11,0,0,0,205,350,23,0,0,0,373,878,20,0,0,0,901,744,10,0,0,0,754,555,0,0,0,0,554,160,0,0,0,0,161,134,0,0,0,0,133,96,0,0,0,0,101,230,3,0,0,0,235,3700,83,0,7,4,3789
LGA26730,176,11,4,0,0,195,85,7,5,0,0,95,83,7,0,0,0,92,188,21,6,0,0,217,297,32,12,3,0,348,1008,60,19,9,0,1096,976,30,8,0,0,1015,709,17,3,3,0,728,197,5,0,0,0,202,151,0,0,0,0,152,97,0,0,0,0,99,229,9,4,0,0,247,4199,199,63,20,4,4486
LGA26810,299,7,0,0,0,311,187,0,9,0,0,192,202,3,4,0,0,206,403,9,3,0,0,419,575,9,8,0,0,593,1362,20,6,0,0,1393,1044,8,6,4,0,1061,704,9,0,0,0,713,220,0,0,0,0,224,158,5,0,0,0,167,137,0,0,0,0,139,335,12,3,0,0,349,5635,81,38,10,5,5774
LGA26890,42,0,0,0,0,42,46,0,0,0,0,46,35,0,0,0,0,35,37,0,0,0,0,39,50,0,0,0,0,52,45,0,0,0,0,45,12,0,0,0,0,12,13,0,0,0,0,13,8,0,0,0,0,8,5,0,0,0,0,5,8,0,0,0,0,8,36,0,0,0,0,36,327,0,0,5,0,325
LGA26980,1050,254,54,0,0,1364,234,73,15,0,0,320,211,52,20,0,0,276,306,95,20,0,0,423,395,114,56,0,0,560,1066,348,287,0,7,1707,1175,432,347,0,0,1955,2168,817,294,4,0,3276,1697,633,93,0,0,2422,2724,608,79,0,0,3413,2584,353,40,0,0,2983,951,237,83,0,0,1278,14558,4021,1396,6,4,19987
LGA27070,1191,91,16,0,3,1300,440,59,3,0,0,500,397,35,7,0,0,445,637,70,20,0,0,724,966,118,37,0,0,1116,3310,410,118,0,3,3842,5313,646,111,0,5,6077,9018,627,64,0,4,9710,3688,175,18,0,0,3880,2181,121,12,0,0,2315,1310,59,10,0,0,1385,2145,173,20,0,0,2334,30597,2586,428,3,11,33632
LGA27170,214,5,0,0,0,222,130,5,0,0,0,135,103,3,0,0,0,102,193,19,0,0,0,219,408,34,10,0,0,446,1295,37,8,0,0,1338,1336,10,0,0,4,1353,967,5,0,0,4,971,275,0,0,0,0,277,207,0,0,0,0,214,125,0,0,0,0,125,276,13,0,0,0,288,5528,133,22,4,9,5691
LGA27260,1354,99,19,0,0,1468,397,53,15,0,0,458,358,46,11,0,0,415,724,66,18,0,0,808,1020,131,27,0,0,1178,4039,495,105,0,0,4642,7394,748,103,0,3,8251,12836,738,49,0,6,13629,4715,245,7,0,0,4966,2789,154,11,0,0,2955,1569,89,4,0,0,1661,2689,196,26,0,0,2912,39898,3056,382,0,20,43354
LGA27350,102,230,129,0,0,457,20,48,28,0,0,93,17,23,33,0,0,76,21,51,75,3,0,150,28,94,107,0,0,235,112,245,530,5,0,893,88,252,755,11,0,1107,164,501,1000,22,0,1687,162,381,511,15,0,1063,256,790,465,5,0,1519,523,1058,312,15,0,1906,86,265,175,0,0,531,1577,3933,4125,78,4,9716
LGA27450,1205,31,0,0,0,1237,482,20,4,0,0,503,425,17,0,0,0,445,696,16,0,7,0,717,986,31,0,0,0,1019,3022,114,11,0,5,3149,3914,155,13,0,0,4076,6329,191,11,0,7,6539,3691,63,7,0,4,3762,2479,26,0,4,4,2507,1275,13,0,4,5,1287,1620,35,6,5,0,1667,26115,694,64,12,21,26908
LGA27630,85,0,0,0,0,85,68,0,0,0,0,72,75,0,0,0,0,75,112,0,0,0,0,114,78,0,0,0,0,80,87,0,0,0,0,90,32,0,0,0,0,32,21,0,0,0,0,21,10,0,0,0,0,10,9,0,0,0,0,9,3,0,0,0,0,3,16,0,0,0,0,16,591,0,0,6,0,594
LGA29399,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,9,0,9,0,0,19
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30300,35,6,0,0,0,38,13,0,0,0,0,13,14,0,0,0,0,16,23,0,0,0,0,28,38,0,0,0,0,38,65,0,0,0,0,63,49,0,0,0,0,53,38,0,0,0,0,40,19,0,0,0,0,19,7,0,0,0,0,10,10,0,0,0,0,15,20,0,0,0,0,22,322,13,0,0,0,344
LGA30370,92,0,0,0,0,95,46,0,0,0,0,46,62,0,0,0,0,61,97,0,0,0,0,98,124,0,0,0,0,124,265,0,0,0,0,268,215,0,0,0,0,215,168,0,0,0,0,169,64,0,0,0,0,68,49,4,0,0,0,54,64,0,0,0,0,67,111,0,0,0,0,111,1364,6,0,3,6,1379
LGA30410,37,0,0,0,0,33,9,0,0,0,0,9,11,0,0,0,0,11,17,0,0,0,0,17,16,0,0,0,0,16,42,0,0,0,0,42,27,0,0,0,0,27,19,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,8,19,0,0,0,0,19,203,0,0,4,3,209
LGA30450,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,18,0,0,0,0,18
LGA30760,14,0,0,0,0,14,13,0,0,0,0,13,11,0,0,0,0,11,23,0,0,0,0,23,22,0,0,0,0,22,22,0,0,0,0,25,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,13,9,0,0,0,0,9,150,0,0,0,0,151
LGA30900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,10,0,0,0,0,12
LGA31000,5833,432,751,0,0,7020,1697,181,215,0,0,2094,1391,192,263,4,0,1856,2329,338,551,8,0,3222,3289,579,932,3,6,4806,10515,2555,3796,12,17,16894,14915,3399,4572,11,17,22921,28002,2960,4042,12,18,35027,18158,1085,1471,0,5,20723,17199,670,1132,8,14,19017,13519,385,918,3,15,14834,6729,637,843,4,5,8223,123584,13412,19479,51,103,156632
LGA31750,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,23
LGA31820,538,19,7,0,0,566,325,15,5,0,0,347,304,3,11,6,0,314,666,15,14,3,0,699,1048,25,22,0,5,1099,2784,37,35,8,5,2861,2072,16,13,3,0,2106,1334,11,16,0,5,1363,393,3,0,0,0,409,255,3,3,0,0,259,182,0,0,0,0,189,637,8,6,3,0,649,10538,156,142,25,11,10866
LGA31900,89,4,0,0,0,92,61,0,0,0,0,62,85,0,0,0,0,86,143,9,0,0,0,148,165,5,0,0,0,172,427,3,3,4,0,437,254,4,0,0,0,258,206,0,0,0,0,203,68,0,0,5,0,73,46,0,0,0,0,46,22,0,0,0,0,24,99,0,0,0,0,105,1663,21,3,10,4,1705
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,8
LGA32080,752,44,69,0,0,872,279,24,58,0,0,364,280,49,75,4,7,408,594,110,188,6,0,900,937,112,235,0,4,1287,3382,254,365,4,6,4007,4542,131,204,0,8,4877,4224,68,120,0,7,4421,1423,16,38,0,0,1472,1020,8,23,0,0,1053,588,9,21,0,4,628,1069,45,85,0,4,1204,19093,872,1476,22,33,21499
LGA32250,5,0,0,0,0,5,7,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,8,6,0,0,0,0,8,7,0,0,0,0,15,9,0,0,0,0,10,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,5,0,0,0,0,5,49,0,3,6,4,58
LGA32260,140,0,0,3,0,152,89,3,0,0,0,90,99,10,0,0,0,103,170,0,0,0,0,175,262,4,4,4,0,276,653,13,0,0,0,665,463,4,0,0,0,481,325,3,0,0,0,333,95,0,0,0,0,99,64,0,0,0,0,66,50,0,0,0,0,55,179,5,7,0,0,183,2591,38,21,16,6,2676
LGA32270,132,0,3,0,5,152,81,0,0,0,0,79,67,7,3,0,0,69,139,3,5,0,0,145,173,13,0,0,0,186,484,16,3,3,0,508,438,11,0,0,0,457,474,10,3,4,0,488,186,0,0,0,0,190,143,0,0,0,0,150,91,0,0,0,0,90,163,3,0,0,3,170,2564,65,24,12,18,2681
LGA32310,65,4,0,0,5,70,39,0,0,0,0,39,41,5,0,0,0,43,94,0,0,0,0,99,111,5,0,0,0,120,231,16,0,7,0,254,197,13,0,0,0,207,135,4,0,4,0,145,48,0,0,0,0,49,24,3,0,0,0,29,28,0,0,0,0,28,83,3,0,0,0,84,1088,52,0,15,4,1153
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32450,12,0,0,0,0,11,13,0,0,0,0,13,14,0,0,0,0,16,17,0,0,0,0,19,19,0,0,0,0,19,37,0,0,0,0,38,28,0,0,0,0,26,28,0,0,0,0,28,3,0,0,0,0,5,7,0,0,0,0,7,10,0,0,0,0,10,13,0,0,0,0,11,198,0,5,6,0,206
LGA32500,23,0,0,0,0,22,8,0,0,0,0,13,6,0,0,0,0,6,13,0,0,0,0,12,30,0,0,0,0,33,54,0,0,0,0,56,34,0,0,0,0,38,37,0,0,4,0,40,12,0,0,0,0,15,9,0,0,0,0,9,3,0,0,0,0,5,25,0,0,0,0,25,263,5,0,12,3,277
LGA32600,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32810,41,11,0,9,0,58,20,0,3,0,0,24,33,7,0,0,0,38,44,13,10,0,0,71,96,13,5,0,0,119,214,24,13,0,0,264,244,15,18,4,0,278,232,10,0,3,0,244,95,3,3,0,0,105,45,0,0,0,0,49,34,0,0,0,4,42,83,14,6,3,0,104,1183,117,61,20,6,1390
LGA33100,6,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,5,0,0,0,0,6,29,0,0,4,4,37
LGA33200,15,3,0,0,0,15,9,0,0,0,0,9,10,4,0,0,0,12,14,0,0,0,0,14,9,4,0,0,0,14,11,3,0,0,0,19,3,4,0,0,0,7,4,0,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,9,8,0,0,0,0,11,88,17,0,0,4,110
LGA33220,596,28,8,5,0,638,398,17,0,0,0,419,343,28,5,0,4,378,724,16,10,0,5,751,1018,43,14,0,7,1079,2722,80,27,12,3,2838,2253,33,10,9,6,2316,1666,15,12,6,3,1698,438,8,5,0,0,448,296,0,0,0,0,300,183,4,4,0,3,200,692,13,0,0,3,709,11324,286,95,40,35,11781
LGA33360,316,8,8,4,0,342,160,10,10,0,0,179,152,6,4,0,0,162,326,24,17,0,0,367,554,15,13,0,0,588,1457,23,16,4,0,1500,1547,38,13,5,0,1604,1767,40,14,0,0,1817,666,9,3,0,0,677,480,10,4,0,0,501,237,0,0,0,0,243,455,13,3,4,0,474,8115,195,118,18,10,8455
LGA33430,2305,526,455,9,6,3298,803,270,171,0,0,1248,627,225,129,0,0,987,1155,431,295,9,0,1889,1591,724,551,4,8,2875,4819,2727,1645,14,19,9229,7993,3252,1780,10,23,13057,15778,2624,1592,9,21,20015,8529,788,526,6,8,9856,6822,594,448,0,8,7871,4510,367,325,0,8,5209,4019,808,536,0,9,5373,58946,13338,8436,66,124,80917
LGA33610,85,5,0,0,0,88,28,0,0,0,0,28,31,0,0,0,0,34,62,0,0,0,0,62,92,3,0,0,0,98,183,3,0,0,0,184,186,0,0,0,0,189,123,0,0,0,0,128,38,0,0,0,0,36,36,0,0,0,0,36,37,0,0,0,0,39,73,0,0,0,3,81,976,13,0,0,8,990
LGA33620,334,5,0,3,0,347,216,4,0,0,0,220,191,0,0,0,0,198,359,8,0,4,3,377,550,9,3,8,3,568,1495,28,0,8,0,1529,1371,3,0,5,4,1385,954,8,5,4,0,962,258,0,0,0,0,263,190,4,0,0,0,192,128,0,0,0,0,131,416,0,0,3,0,419,6450,64,11,46,17,6598
LGA33800,68,0,0,0,0,67,37,0,0,0,0,37,34,0,0,0,0,37,84,0,0,0,0,82,109,0,0,0,0,113,224,0,0,0,0,222,148,0,0,0,0,148,108,0,0,0,0,103,31,0,0,0,0,31,28,0,0,0,0,28,15,0,0,0,0,15,74,0,0,0,0,74,945,4,0,5,0,960
LGA33830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
LGA33960,891,24,0,0,0,917,398,15,0,0,0,416,393,16,4,0,0,416,870,51,9,0,0,924,1489,78,13,3,0,1584,6048,205,24,0,6,6281,7136,95,17,6,0,7258,6347,52,7,3,0,6413,2019,5,0,0,5,2035,1312,10,0,0,0,1324,643,0,0,0,0,645,1460,31,5,0,0,1500,29013,590,81,21,12,29717
LGA33980,93,3,0,5,0,98,49,0,0,0,0,51,42,0,0,0,0,47,92,0,0,0,0,100,104,3,0,0,0,104,204,6,0,0,0,223,175,4,0,0,0,177,154,0,0,0,0,154,44,0,0,0,0,44,38,0,0,0,0,38,30,0,0,0,0,30,73,0,0,0,0,74,1095,16,7,8,5,1134
LGA34420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34530,196,4,7,0,0,208,90,3,0,0,0,93,75,4,0,0,0,81,144,3,11,0,0,160,191,6,9,0,0,213,769,12,24,0,0,808,1010,19,15,0,0,1043,1182,7,9,0,8,1206,498,3,3,0,0,502,302,4,0,0,0,313,208,0,0,0,0,208,321,0,4,0,0,325,4991,71,84,10,8,5159
LGA34570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34580,218,6,0,0,0,220,117,0,0,0,0,117,122,0,0,0,0,123,240,5,0,0,0,237,419,4,0,0,0,420,1280,10,0,3,0,1295,1299,14,3,4,0,1322,1071,12,0,5,0,1085,286,3,0,0,0,293,174,0,0,4,0,176,94,0,0,0,0,95,342,4,0,0,0,345,5655,54,7,13,4,5732
LGA34590,1461,65,19,0,5,1548,674,38,3,0,0,717,514,64,11,0,0,590,1027,166,28,0,3,1227,1632,270,53,0,0,1949,6477,548,127,0,3,7158,10104,289,56,0,3,10458,10879,157,37,3,11,11084,3968,32,10,0,0,4017,2342,27,4,0,0,2380,1155,19,3,0,0,1173,2662,83,26,4,6,2777,42897,1761,376,13,29,45073
LGA34710,24,0,0,0,0,24,12,0,0,0,0,12,19,0,0,0,0,19,27,0,0,0,0,27,37,0,0,0,0,40,75,0,0,0,0,82,44,0,0,0,0,44,19,0,0,0,0,18,3,0,0,0,0,7,4,0,0,0,0,4,7,0,0,0,0,7,21,0,0,0,0,26,303,0,0,3,4,310
LGA34770,587,23,7,0,4,616,220,18,4,0,0,235,183,21,5,0,0,216,369,32,17,0,0,419,677,44,18,5,0,743,2637,112,35,4,3,2797,3346,84,26,0,0,3466,3746,55,27,5,3,3838,1507,19,12,0,0,1534,928,9,5,4,0,956,517,6,11,0,0,544,988,35,10,0,0,1032,15709,466,164,38,16,16392
LGA34800,6,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,4,32,0,0,0,9,38
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34860,114,0,0,0,0,115,35,4,0,0,0,34,26,0,0,0,0,32,96,0,0,0,0,98,102,0,0,0,0,101,219,0,0,0,0,218,185,0,0,0,0,186,148,0,0,0,0,150,46,0,0,0,0,52,49,0,0,0,0,49,57,0,0,0,0,62,104,0,0,0,0,104,1171,9,0,12,4,1194
LGA34880,106,0,0,0,0,107,52,0,0,0,0,60,45,0,0,0,0,51,109,0,0,0,0,112,134,0,0,0,0,135,461,0,0,7,0,472,432,0,0,4,0,439,422,3,4,0,0,428,136,0,0,3,0,137,86,0,0,0,0,90,73,0,0,0,0,72,132,0,0,3,0,136,2183,6,7,21,12,2232
LGA35010,2309,122,53,3,0,2489,916,83,25,0,0,1021,792,85,29,0,0,910,1462,166,39,8,0,1679,2191,281,63,4,0,2542,7800,839,187,4,10,8831,12746,591,157,5,10,13513,16398,356,152,3,12,16925,6557,88,47,5,5,6696,4287,58,32,0,5,4376,2220,35,36,0,0,2305,3317,133,61,0,3,3518,61000,2832,879,40,52,64798
LGA35250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35300,40,3,0,0,0,44,23,3,0,0,0,28,34,3,0,0,0,37,71,0,4,0,0,81,137,3,0,0,0,141,375,14,0,0,0,395,374,3,0,4,0,387,383,14,0,0,0,402,122,0,0,0,0,122,89,0,0,0,0,89,38,0,0,0,0,45,143,0,0,5,0,150,1831,57,5,9,3,1910
LGA35600,40,0,0,0,0,42,19,0,0,0,0,19,38,0,0,0,0,37,45,0,0,0,0,45,58,0,0,0,0,58,68,0,0,0,0,68,32,0,0,0,0,32,20,0,0,0,0,24,6,0,0,0,0,6,0,0,0,0,0,0,10,0,0,6,0,15,31,0,0,0,0,33,377,0,0,5,4,384
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35740,347,26,19,0,0,401,156,10,5,0,0,173,105,22,10,0,0,130,174,19,7,0,0,202,235,14,26,3,0,282,694,64,58,3,0,816,867,62,46,0,5,983,1359,76,43,0,0,1481,740,36,19,0,0,800,547,21,19,4,0,585,442,26,16,0,6,491,428,25,16,0,0,469,6088,401,278,8,17,6804
LGA35760,84,0,0,0,0,85,55,0,0,0,0,55,53,0,0,0,0,53,105,0,0,0,0,108,105,0,0,0,0,105,147,0,0,0,0,147,92,0,0,0,0,98,80,0,0,3,0,80,23,0,0,0,0,25,29,0,0,0,0,29,34,0,0,0,0,41,69,0,0,0,0,70,874,0,0,8,4,888
