LGA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA22170,807,102,14,0,0,922,354,48,4,0,0,404,292,58,4,0,0,351,585,89,12,0,0,689,783,128,11,0,0,932,2379,492,60,0,0,2940,3141,612,40,0,0,3803,4906,522,26,0,3,5453,2342,165,4,0,0,2513,1592,79,8,0,0,1677,806,49,6,0,0,863,1214,126,10,0,0,1352,19217,2476,190,11,8,21907
LGA22250,95,0,0,0,0,94,55,0,0,0,0,55,61,4,0,0,0,62,136,0,0,0,0,142,146,5,0,0,0,145,246,0,0,0,0,249,111,0,0,0,0,113,80,0,0,0,0,85,27,0,0,0,0,27,9,0,0,0,0,9,18,0,0,0,0,26,77,0,0,0,0,74,1067,6,0,6,5,1083
LGA22310,684,233,127,5,0,1047,144,55,50,0,0,250,129,63,49,0,0,234,190,75,69,0,0,335,232,95,114,0,0,439,660,308,527,11,0,1502,607,330,782,6,0,1720,1260,707,1107,12,0,3087,951,594,423,3,3,1974,1740,872,312,3,4,2930,2814,782,195,0,3,3796,782,304,204,0,0,1298,10201,4411,3962,39,8,18615
LGA22410,156,6,0,0,0,157,104,0,0,0,0,103,132,10,0,0,0,135,266,0,0,0,0,271,317,5,0,0,0,324,588,13,0,0,0,602,350,3,0,0,0,354,207,0,6,0,0,212,73,0,0,0,0,73,53,0,0,0,0,56,36,0,0,0,0,36,143,0,0,0,0,151,2435,36,3,8,3,2483
LGA22490,166,0,0,0,0,168,104,0,0,0,0,104,82,0,0,0,0,82,173,5,0,0,0,179,215,3,0,0,0,221,665,5,0,3,0,668,860,4,0,0,0,866,995,7,0,0,0,998,444,0,0,0,0,448,263,0,5,0,0,268,147,0,0,0,0,145,260,0,0,0,0,260,4375,27,5,3,0,4409
LGA22620,691,15,0,0,3,712,424,14,6,0,0,448,366,16,3,0,0,380,789,35,3,0,0,826,1180,59,5,3,0,1238,3818,104,11,3,9,3946,3679,66,13,3,8,3760,2636,40,3,0,0,2681,809,6,0,0,0,813,584,12,0,0,0,599,373,3,0,0,0,381,885,15,0,0,0,903,16217,380,47,18,27,16683
LGA22670,849,95,47,0,0,998,233,47,33,0,0,315,222,41,16,0,0,276,369,79,54,0,0,499,510,108,106,0,3,729,1458,411,266,4,0,2138,1765,567,207,3,0,2541,2828,588,162,0,0,3575,1506,196,39,0,0,1747,1214,115,19,0,0,1350,674,63,22,0,0,754,984,161,71,0,0,1220,12620,2469,1044,7,7,16145
LGA22750,1450,83,16,7,0,1556,706,36,6,0,0,754,561,35,6,0,0,609,1151,91,18,3,0,1264,1493,128,35,0,0,1661,5102,387,95,4,0,5586,6555,389,61,0,3,7013,8182,274,65,0,7,8523,3063,90,15,3,4,3173,2222,56,16,0,8,2294,1408,45,5,0,0,1458,1855,98,19,0,0,1977,33754,1708,348,23,29,35858
LGA22830,346,10,0,0,5,366,217,11,0,0,0,224,202,15,0,4,0,220,483,23,0,3,3,509,770,19,0,5,0,793,2142,45,0,0,0,2183,1591,13,0,0,0,1609,1130,7,0,0,4,1148,327,0,0,0,0,328,221,0,0,0,0,226,182,0,0,0,6,189,464,10,0,0,0,474,8074,157,3,19,13,8264
LGA22910,138,0,0,0,0,145,81,0,0,0,0,82,70,0,0,0,0,72,136,0,0,0,0,139,171,0,0,0,0,176,428,3,0,0,0,432,389,3,0,0,0,396,367,0,0,0,3,375,140,0,0,0,0,142,96,0,0,0,0,98,96,0,0,0,0,98,153,0,0,0,0,157,2262,21,4,7,5,2299
