LGA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA21750,561,85,651,3154,1276,128,4562,12817,1316,18690
LGA21830,440,79,517,2193,911,76,3182,9157,1091,13433
LGA21890,3334,578,3949,23630,4867,452,28945,90734,6541,126214
LGA22110,1232,277,1516,5841,2520,275,8636,29238,3554,41422
LGA22170,2480,516,3017,24299,7279,868,32446,74217,6776,113444
LGA22250,359,50,409,1298,594,54,1952,6278,783,9007
LGA22310,3564,380,3979,27037,6158,505,33703,84063,5077,122840
LGA22410,519,71,594,2561,1126,103,3783,12023,1255,17065
LGA22490,232,22,258,4827,1276,147,6258,12158,1067,19477
LGA22620,2620,455,3097,19689,6955,712,27352,65157,6225,98733
LGA22670,3061,308,3400,22980,5324,384,28691,93272,8841,130795
LGA22750,5921,887,6844,44303,15053,1403,60766,149462,13061,223284
LGA22830,1419,213,1649,10347,3270,340,13959,36450,4779,55188
LGA22910,361,104,467,2164,887,90,3146,9910,1192,14251
LGA22980,227,55,282,701,254,33,984,3507,351,4851
LGA23110,1917,175,2115,16580,3591,314,20479,50070,3838,74390
LGA23190,589,61,656,3111,1209,150,4472,11206,1005,16691
LGA23270,2199,247,2473,42949,9064,833,52843,124524,11782,189145
LGA23350,350,44,394,2729,989,74,3788,9468,1071,14324
LGA23430,4009,347,4401,28213,7213,606,36039,89543,5341,130919
LGA23670,3103,418,3540,27638,8367,651,36662,90369,4958,131987
LGA23810,1637,301,1947,11088,4442,480,16014,42538,5077,63627
LGA23940,235,71,308,909,397,43,1352,4451,799,6602
LGA24130,760,124,893,9579,2718,295,12593,26288,2357,41232
LGA24210,4163,354,4558,21250,6485,356,28093,72758,3708,104556
LGA24250,216,21,239,1400,503,66,1965,5774,693,8430
LGA24330,1133,209,1348,13766,2432,262,16459,51045,4438,71946
LGA24410,2379,478,2883,21203,6140,562,27901,62377,3747,94018
LGA24600,1016,156,1188,11470,3202,192,14867,113403,11247,139515
LGA24650,1003,147,1154,36108,6746,766,43624,81623,10128,135368
LGA24780,1318,193,1526,8222,2789,323,11339,31004,4079,46427
LGA24850,650,73,730,8917,2294,306,11519,24998,2626,39135
LGA24900,899,151,1050,4044,1627,157,5822,17588,2061,25470
LGA24970,5444,713,6204,31317,7521,398,39237,113612,7961,160818
LGA25060,3023,232,3274,19924,5319,329,25572,72162,4549,102281
LGA25150,559,61,628,6699,2020,199,8916,19425,1703,30044
LGA25250,4161,485,4682,26621,5169,546,32336,105236,7277,144853
LGA25340,5037,934,6029,26027,10597,886,37513,94998,8930,141435
LGA25430,431,216,644,2829,1166,124,4123,11341,1944,17402
LGA25490,319,58,381,2804,1040,90,3938,9095,1043,14077
LGA25620,305,39,346,1960,746,72,2776,8996,1225,12993
LGA25710,797,72,880,11827,4102,338,16266,33348,1611,51226
LGA25810,275,108,384,1465,586,67,2123,6991,1038,10147
LGA25900,1152,296,1468,12960,3554,291,16797,66975,6537,90312
LGA25990,165,27,195,942,374,46,1363,4299,890,6546
LGA26080,158,14,175,346,294,0,645,2084,235,2965
LGA26170,743,103,857,4296,1872,203,6372,17231,1842,25444
LGA26260,518,67,585,2373,830,77,3280,9601,887,13766
LGA26350,2354,348,2749,13321,4144,232,17701,70056,4935,92690
LGA26430,363,62,433,1362,645,54,2064,6830,939,9835
LGA26490,591,145,738,7128,2189,225,9541,18932,1784,30258
LGA26610,505,92,597,2987,1104,103,4196,11505,1691,17396
LGA26670,171,50,217,800,379,25,1206,3563,495,5258
LGA26700,819,127,952,4461,1806,155,6419,16594,1588,24603
LGA26730,889,160,1065,5551,2129,224,7902,19502,1823,29229
LGA26810,893,139,1038,6288,2497,294,9078,25058,3745,37887
LGA26890,125,17,141,530,191,22,754,2253,327,3333
LGA26980,4769,663,5471,29228,6899,488,36610,99442,6347,142397
LGA27070,2806,498,3332,43244,9204,812,53259,117969,9453,180685
LGA27170,752,90,846,7327,2323,335,9981,22694,1889,34569
LGA27260,1588,242,1852,63797,9614,1120,74527,128365,14991,217884
LGA27350,1163,96,1268,10141,2968,226,13333,62774,4476,80584
LGA27450,2453,203,2677,28180,9365,1077,38618,83011,5403,127036
LGA27630,228,66,297,801,353,36,1191,3843,499,5538
LGA29399,3,0,3,63,12,5,80,542,243,869
LGA29499,17,17,29,695,281,39,1013,3668,3262,7946
LGA29799,0,0,0,0,0,0,0,12,27,38
LGA30250,0,0,0,184,134,36,355,407,79,836
LGA30300,51,21,74,608,206,44,854,2236,367,3455
LGA30370,206,53,266,2304,646,81,3034,6819,1603,11455
LGA30410,53,8,60,389,120,27,537,1511,253,2299
LGA30450,0,0,0,37,13,0,45,179,36,266
LGA30760,40,18,56,258,79,19,351,1095,143,1595
LGA30900,0,0,0,65,15,0,87,210,53,347
LGA31000,19779,2524,22497,212660,53286,5159,271103,703589,51525,1026217
LGA31750,0,0,0,56,11,0,72,187,21,278
LGA31820,2415,288,2720,12836,4639,633,18107,58799,6064,82973
LGA31900,432,64,497,2147,907,76,3128,9379,1419,13927
LGA31950,3,0,3,32,10,3,45,225,84,354
LGA32080,2023,406,2457,25727,7625,1104,34451,87489,13157,135099
LGA32250,9,4,11,236,72,14,318,1101,222,1643
LGA32260,636,94,738,3768,1299,141,5211,16255,2602,24064
LGA32270,137,51,190,4946,1209,251,6399,12133,2816,21345
LGA32310,212,39,258,1454,565,81,2100,6000,1388,9488
LGA32330,3,0,5,144,150,34,325,408,39,775
LGA32450,20,0,25,514,149,29,698,1727,506,2933
LGA32500,20,3,24,503,187,23,712,2272,749,3730
LGA32600,0,0,0,36,10,0,42,137,29,219
LGA32750,0,0,0,24,6,3,29,147,56,235
LGA32770,4,0,4,258,122,10,389,507,53,952
LGA32810,156,27,184,1483,479,58,2020,7135,1337,10488
LGA33100,7,0,7,91,7,3,109,401,89,600
LGA33200,27,7,31,191,43,6,246,799,179,1219
LGA33220,2752,465,3229,13274,4780,678,18726,68210,7296,94237
LGA33360,566,108,679,10831,3242,534,14605,31230,4028,49868
LGA33430,10417,2288,12805,102966,28472,3088,134527,345024,35607,515153
LGA33610,216,25,241,1629,497,71,2197,5155,795,8152
LGA33620,1071,121,1204,7126,2504,348,9974,31063,3384,44425
LGA33800,380,73,454,1255,602,43,1908,6502,870,9278
LGA33830,6,0,6,156,60,0,223,397,63,686
LGA33960,2143,407,2575,41752,11413,1762,54927,108539,12096,175559
LGA33980,80,19,100,3759,715,167,4641,8475,4238,17356
LGA34420,0,0,0,155,100,13,270,355,177,795
LGA34530,648,99,753,5833,2358,288,8467,20184,3605,32261
LGA34570,6,0,6,99,76,3,178,234,58,467
LGA34580,535,111,660,6313,1971,272,8558,21975,2742,33276
LGA34590,3526,558,4118,59492,17434,2479,79408,168785,19360,267553
LGA34710,79,12,88,491,169,24,678,1881,401,2966
LGA34770,1665,296,1979,19365,6765,857,26992,60182,10017,97190
LGA34800,5,0,5,119,34,0,152,372,160,689
LGA34830,0,0,0,52,33,44,131,119,56,309
LGA34860,158,63,229,1986,615,90,2691,6172,1242,10105
LGA34880,406,59,470,2775,1019,130,3925,11879,3214,19025
LGA35010,7332,1109,8506,82599,24951,3151,110704,249973,21215,381884
LGA35250,0,0,0,190,55,13,258,434,88,778
LGA35300,88,24,114,3045,916,169,4129,8535,1675,14341
LGA35600,94,17,111,502,171,20,694,2153,425,3275
LGA35670,0,0,0,83,78,14,175,259,200,631
LGA35740,1314,289,1611,7982,2461,242,10679,34097,3163,47949
LGA35760,251,33,291,1179,438,54,1670,5816,994,8475
LGA35780,3,0,3,384,248,30,661,905,243,1814
LGA35790,0,0,0,308,147,20,477,837,123,1444
LGA35800,32,4,33,199,78,15,292,927,102,1321
LGA36070,0,0,0,41,130,4,179,223,76,471
LGA36150,8,0,13,101,31,5,133,386,41,559
LGA36250,2992,782,3799,26475,9377,975,36829,87947,6070,130844
LGA36300,0,4,6,95,34,4,138,349,118,604
LGA36370,1460,299,1776,12579,4754,713,18043,41503,5785,65325
LGA36510,796,156,971,6305,2128,228,8668,23890,2880,35432
LGA36580,286,61,351,3604,1234,153,4992,13886,1585,20459
LGA36630,715,106,820,3969,1446,195,5611,19024,2740,27370
LGA36660,881,120,1004,4650,1861,197,6712,20796,2544,30056
LGA36720,7776,1227,9058,55529,16570,1786,73890,192370,16796,283049
LGA36820,561,148,715,3212,1337,155,4703,14692,2397,21794
LGA36910,3822,523,4381,26651,9327,1367,37350,93290,8663,139300
LGA36950,12,0,10,498,169,39,711,1571,243,2523
LGA36960,9,0,9,552,367,90,1008,1576,205,2801
LGA37010,2281,340,2647,29752,10497,1552,41801,100017,13979,155798
LGA37300,6,0,10,778,133,24,930,1687,423,3047
LGA37310,521,101,625,5122,1490,266,6886,16772,2942,26596
LGA37340,445,56,503,5209,1469,214,6884,19977,3915,30777
LGA37400,21,0,19,143,38,10,190,577,165,936
LGA37550,0,0,0,156,78,5,240,364,53,663
LGA37570,0,0,0,61,19,0,89,102,8,199
LGA37600,0,0,5,404,339,131,875,808,82,1757
LGA39499,33,13,44,1219,501,70,1785,8009,3440,13234
LGA39799,0,0,0,0,0,0,0,45,135,183
LGA40070,348,70,425,1700,1033,58,2796,18748,2032,23578
LGA40120,685,71,768,7093,2975,319,10385,21662,1481,33530
LGA40150,85,15,98,1592,624,81,2295,5132,565,7993
LGA40220,851,89,941,3558,1956,197,5714,17603,1355,24672
LGA40250,9,4,17,269,597,154,1019,557,205,1775
LGA40310,606,62,671,3999,1599,148,5747,13960,960,20672
