LGA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
LGA36370,0,0,3,6,3,3,3,0,0,19,0,14,21,72,43,29,9,0,0,190,3,8,10,77,38,5,0,0,0,146,0,0,0,5,0,0,0,0,0,15,0,3,8,10,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,9,9,23,7,11,3,0,0,62,0,11,39,56,40,6,8,0,0,162,0,0,0,0,0,0,0,3,0,15,0,8,17,24,18,11,0,0,3,80,0,14,27,86,30,36,35,14,4,243,132,323,401,1089,497,428,286,154,71,3392,2618,5837,5376,10628,4754,4852,3774,1953,701,40486,0,3,6,11,5,0,0,0,0,21,2259,5187,4440,8619,3947,4135,3113,2004,919,34630,0,0,3,29,6,5,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,18,35,20,4,0,0,0,71,0,3,0,0,0,0,0,0,0,4,0,6,4,21,8,6,4,0,6,49
LGA36510,0,6,0,0,4,5,0,0,0,11,0,3,10,27,18,31,17,11,0,118,0,0,0,3,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,4,16,9,7,5,9,0,67,0,0,0,3,3,6,0,0,0,11,0,0,0,3,3,8,6,0,0,29,0,0,0,0,11,7,3,0,0,26,0,13,11,56,41,56,64,32,13,279,43,159,156,343,227,212,215,120,40,1510,1042,2839,2204,4263,2962,3133,2881,1526,414,21266,0,0,0,0,0,0,0,0,0,0,957,2416,1862,3536,2296,2349,2034,1060,392,16903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,9,13,14,11,4,0,43
LGA36580,0,0,0,0,0,0,0,0,0,4,0,0,3,6,9,13,3,5,0,40,0,0,0,4,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,8,3,0,27,0,0,0,12,9,10,6,0,0,37,0,0,0,0,5,0,0,3,0,7,0,0,0,5,0,3,0,0,0,10,0,0,6,47,16,12,31,12,0,128,37,111,95,215,147,164,132,72,15,991,625,1732,1325,2643,1652,1869,1782,866,150,12650,0,0,0,0,0,0,0,0,0,0,551,1496,1047,2131,1336,1405,1219,547,159,9893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,11
LGA36630,0,0,0,0,0,3,3,0,0,5,0,7,3,11,12,12,3,0,0,57,0,0,0,4,3,0,0,0,0,11,0,0,5,23,0,0,0,0,0,29,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,10,13,0,0,43,0,0,0,5,6,0,0,0,0,5,0,0,0,0,0,6,0,3,0,5,0,0,0,0,5,0,0,0,0,12,0,3,7,60,18,22,22,27,7,162,65,193,166,321,203,275,271,149,37,1682,846,2121,1737,3074,1944,2381,2600,1436,347,16493,0,0,0,0,0,0,0,0,0,0,699,1684,1438,2594,1658,1944,1890,959,373,13239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,4,4,8,7,0,0,26
LGA36660,0,5,0,0,0,0,0,0,0,7,0,3,0,7,8,7,10,0,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,22,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,11,4,3,0,43,0,0,0,0,3,0,0,0,0,10,0,0,0,7,0,0,0,3,0,10,0,0,0,0,3,3,5,3,0,17,0,4,11,101,12,35,40,31,7,242,51,169,145,286,189,233,248,165,50,1538,888,2343,1909,3349,2110,2587,2738,1514,417,17856,0,0,0,0,0,0,0,0,0,0,727,2022,1557,2875,1893,2202,2099,1138,438,14953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,8,4,0,4,31
LGA36720,0,31,16,28,27,23,17,3,4,139,7,151,194,593,423,301,224,77,16,1990,0,10,6,50,26,23,23,17,11,156,0,11,14,57,6,5,0,0,0,89,3,34,36,60,22,9,5,0,0,160,0,0,4,21,4,7,7,0,0,39,27,72,91,206,124,126,129,55,19,860,3,26,21,74,20,7,6,0,0,156,0,19,22,76,58,50,53,50,12,343,0,4,19,100,92,101,56,28,3,392,31,161,152,718,414,429,438,314,120,2773,312,906,846,2334,1281,1095,1009,688,334,8806,8740,21842,18610,38084,21881,20973,19436,11364,3728,164669,0,0,0,0,0,0,0,0,0,9,7720,18121,15385,29454,16884,17007,15037,8590,3488,131683,0,0,0,14,0,0,0,0,0,20,0,0,0,18,3,5,0,5,0,30,4,16,16,362,47,16,12,0,0,475,0,5,0,22,0,0,0,0,0,31,16,62,53,327,125,106,77,30,11,813
LGA36820,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,9,10,0,0,35,0,0,0,3,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,12,26,10,0,60,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,12,0,0,0,4,0,6,4,3,0,19,4,4,20,108,26,29,51,32,12,283,38,179,157,248,210,206,206,114,59,1422,569,1759,1278,2304,1597,1992,2057,1097,306,12951,0,0,0,0,0,0,0,0,0,0,465,1442,993,1940,1335,1584,1401,711,252,10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,3,0,10,3,8,0,6,0,26
LGA36910,7,7,13,57,28,12,5,0,0,129,0,27,87,170,100,89,48,31,6,552,0,24,16,105,49,15,3,0,0,214,0,5,9,73,7,8,7,0,0,105,0,11,13,14,7,0,0,0,0,45,9,5,0,6,4,5,3,0,0,31,6,17,26,56,31,25,34,16,0,221,0,4,7,33,15,3,0,0,3,63,0,0,3,6,4,7,9,7,3,45,0,9,27,58,67,56,35,14,0,259,18,192,222,478,187,138,106,65,24,1428,222,476,579,1240,642,637,520,355,156,4828,5158,12100,11093,20354,9957,9786,8581,5149,1657,83825,0,4,21,31,14,3,4,0,0,75,4710,10223,8841,16440,8697,8669,7712,4788,2147,72218,0,3,4,41,5,4,0,0,0,57,0,0,0,0,0,5,0,0,0,8,0,7,25,82,33,0,0,3,0,147,0,3,0,10,0,0,0,0,0,14,3,12,11,55,17,21,11,11,0,157
LGA36950,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,11,10,14,19,41,29,20,16,0,0,140,128,352,272,453,196,172,96,30,3,1710,0,0,0,0,0,0,0,0,0,0,130,268,231,426,168,145,72,27,4,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA36960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,5,7,22,12,32,21,14,13,0,0,123,223,459,291,546,219,180,98,29,6,2044,0,0,0,0,0,0,0,0,0,0,217,400,265,571,173,143,94,36,9,1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
