SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL31460,5,0,5,80,25,0,107,251,76,437
SAL31461,4,0,4,38,18,5,54,108,4,161
SAL31462,0,0,0,12,0,0,9,34,0,49
SAL31463,0,0,0,16,6,0,21,72,17,108
SAL31464,0,0,0,18,6,0,27,40,14,74
SAL31465,4,0,4,61,29,0,94,225,29,345
SAL31466,3,0,3,0,0,0,0,14,0,16
SAL31467,3,0,3,36,11,3,48,134,18,197
SAL31468,0,0,0,0,0,0,0,4,0,4
SAL31469,7,0,7,73,27,5,106,265,22,398
SAL31470,0,0,0,6,5,0,17,45,20,82
SAL31471,21,3,24,194,76,6,273,632,93,997
SAL31472,57,0,56,449,83,8,543,1032,65,1649
SAL31473,0,0,0,4,0,0,7,14,0,23
SAL31474,78,5,84,501,147,20,668,1594,109,2373
SAL31475,241,105,349,3722,1146,163,5038,11228,1089,17356
SAL31476,0,0,0,5,3,0,10,35,5,53
SAL31477,0,0,0,16,4,0,18,51,11,81
SAL31478,3,0,3,176,62,0,239,469,60,767
SAL31479,9,0,9,100,22,0,126,330,66,518
SAL31480,0,0,0,16,4,0,25,75,5,108
SAL31481,175,4,180,726,468,11,1206,7282,612,9102
SAL31482,0,0,0,23,9,0,32,74,12,119
SAL31483,28,0,28,573,156,22,752,1402,80,2239
SAL31484,0,0,0,12,0,0,12,23,7,38
SAL31485,35,3,31,1131,316,42,1491,2571,137,4201
SAL31486,23,0,23,768,218,27,1011,1972,68,3052
SAL31487,0,0,0,14,0,0,11,77,24,115
SAL31488,0,0,0,73,0,0,77,119,38,230
SAL31489,4,0,4,64,27,8,97,242,3,341
SAL31490,0,0,0,8,19,0,26,176,25,226
SAL31491,0,0,0,0,0,0,0,0,0,0
SAL31492,6,0,6,36,8,0,41,349,53,447
SAL31493,120,73,188,611,250,36,893,2289,398,3582
SAL31494,0,0,0,7,0,0,5,13,0,19
SAL31495,292,37,326,710,238,34,981,3344,277,4601
SAL31496,318,70,392,1523,419,47,1987,5074,493,7561
SAL31497,147,12,159,1887,327,53,2270,5491,339,8100
SAL31498,0,0,0,35,10,0,49,66,11,123
SAL31499,66,0,63,1658,632,109,2406,4973,716,8101
SAL31500,69,3,76,1068,215,36,1314,5219,312,6848
SAL31501,5,0,5,9,4,0,13,26,0,40
SAL31502,0,0,0,0,0,0,0,6,0,6
SAL31503,9,0,14,82,25,6,121,371,26,517
SAL31504,211,9,226,2187,505,53,2743,4623,176,7537
SAL31505,110,5,112,459,151,11,628,1294,58,1982
SAL31506,0,0,0,13,14,3,25,76,10,110
SAL31507,7,0,7,99,40,8,142,408,59,610
SAL31508,10,0,10,441,71,11,520,1019,44,1583
SAL31509,0,0,0,10,0,0,14,38,0,50
SAL31510,0,0,0,5,0,0,5,11,0,16
SAL31511,0,0,0,19,5,0,18,74,0,92
SAL31512,223,36,267,1218,351,35,1603,3867,219,5682
SAL31513,167,45,215,611,222,40,874,2484,302,3657
SAL31514,7,0,8,33,22,5,57,249,32,344
SAL31515,0,0,0,35,34,13,85,89,0,170
