SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL12444,4,0,8,241,68,9,316,850,21,1186
SAL12445,0,0,0,0,0,0,0,0,0,0
SAL12446,241,6,253,1548,150,11,1705,7557,573,9834
SAL12447,0,0,0,0,0,0,0,0,0,0
SAL12448,0,0,0,3,0,0,3,0,3,4
SAL12449,0,0,0,0,0,0,0,16,0,23
SAL12450,5,0,5,25,27,0,55,227,24,306
SAL12451,0,0,0,4,5,0,8,13,3,18
SAL12452,5,0,5,78,24,0,109,317,20,443
SAL12453,0,0,0,30,13,0,36,83,4,127
SAL12454,0,0,4,88,47,3,140,278,111,530
SAL12455,0,0,0,17,3,0,19,60,6,86
SAL12456,0,0,0,4,0,0,4,26,3,35
SAL12457,0,0,0,35,15,0,48,68,17,138
SAL12458,40,46,86,285,99,8,387,1165,145,1699
SAL12459,0,0,0,0,0,0,0,18,0,23
SAL12460,0,0,3,63,12,0,76,99,19,199
SAL12461,0,0,0,33,20,8,62,145,25,227
SAL12462,79,52,134,600,150,9,765,2089,1254,4101
SAL12463,0,0,0,4,0,0,4,16,3,30
SAL12464,0,0,0,4,4,0,7,3,11,19
SAL12465,20,3,21,129,59,6,195,572,37,815
SAL12466,0,0,0,9,0,0,11,19,4,34
SAL12467,0,0,0,17,9,0,27,75,12,115
SAL12468,0,0,0,0,0,0,0,8,0,8
SAL12469,0,0,0,11,0,0,11,49,26,81
SAL12470,9,0,9,51,19,0,72,233,24,330
SAL12471,32,6,39,270,99,14,378,1252,116,1750
SAL12472,3,0,3,16,0,0,22,71,6,92
SAL12473,0,0,0,0,3,0,3,19,0,27
SAL12474,0,0,0,11,0,0,20,40,10,64
SAL12475,4,0,7,57,19,0,74,266,37,376
SAL12476,0,0,0,11,4,0,19,27,9,51
SAL12477,11,0,11,37,15,0,53,227,20,304
SAL12478,31,0,33,524,115,6,646,1571,125,2342
SAL12479,0,0,0,14,7,0,24,40,0,59
SAL12480,4,0,3,42,25,3,66,150,34,246
SAL12481,0,0,0,10,0,0,9,15,7,36
SAL12482,11,0,11,108,36,5,147,405,54,608
SAL12483,18,0,20,110,49,10,169,434,56,655
SAL12484,66,8,71,286,108,8,401,1392,191,1989
SAL12485,334,23,357,2539,568,37,3145,10299,672,14116
SAL12486,191,11,206,1338,171,19,1524,3464,210,5198
SAL12487,30,4,36,412,115,18,542,1403,112,2061
SAL12488,8,0,8,9,11,0,19,179,21,218
SAL12489,0,0,0,10,9,0,20,29,162,210
SAL12490,0,0,0,6,5,0,19,44,8,71
SAL12491,3,0,0,74,21,6,94,163,14,272
SAL12492,7,0,12,81,31,0,118,437,39,585
SAL12493,0,0,0,12,9,0,19,48,3,75
SAL12494,13,4,17,240,64,6,313,670,27,1012
SAL12495,195,5,196,1307,197,11,1514,4457,354,6325
SAL12496,0,0,0,23,11,0,28,50,6,84
SAL12497,4,0,4,46,15,6,66,124,20,215
SAL12498,52,5,59,683,142,21,844,1867,131,2842
SAL12499,0,0,0,3,0,0,3,0,4,6
SAL12500,0,0,0,0,0,0,0,0,0,0
SAL12501,0,0,0,4,4,0,4,26,0,36
SAL12502,40,4,45,272,143,8,422,1032,104,1560
SAL12503,6,0,6,21,12,0,37,82,0,120
SAL12504,0,0,0,19,5,0,29,136,18,180
SAL12505,0,0,0,11,0,0,18,30,0,43
SAL12506,0,0,0,0,0,0,0,19,14,35
SAL12507,0,0,0,0,0,0,0,8,0,8
SAL12508,15,0,22,126,43,6,170,437,24,631
SAL12509,4,0,4,18,9,0,30,94,7,135
SAL12510,9,0,9,105,27,0,134,316,37,486
SAL12511,736,178,927,5212,810,75,6100,18192,1509,25793
SAL12512,3,0,4,83,50,4,133,273,303,709
SAL12513,0,3,7,66,19,4,94,166,18,286
SAL12514,458,58,512,3961,544,54,4560,17175,1277,23012
SAL12515,26,0,30,4141,368,39,4548,5127,544,10218
SAL12516,444,37,484,2166,309,16,2489,7528,518,10531
SAL12517,0,0,0,39,12,3,48,84,5,140
SAL12518,0,0,0,4,0,0,8,25,0,32
SAL12519,0,0,0,15,4,0,17,34,0,53
SAL12520,0,0,0,31,10,0,40,89,10,139
SAL12521,3,0,4,57,12,3,78,172,35,282
SAL12522,11,0,12,50,35,0,83,241,6,338
SAL12523,14,5,24,247,69,6,327,670,114,1116
SAL12524,75,6,82,1353,492,42,1890,4134,203,6232
SAL12525,0,0,0,8,3,0,14,47,11,74
SAL12526,5,0,5,13,11,4,24,44,5,77
SAL12527,0,0,3,32,5,4,47,88,11,141
SAL12528,19,0,18,289,128,7,432,938,43,1408
SAL12529,175,15,190,2785,350,24,3161,14671,1233,19057
SAL12530,11,0,14,184,50,3,233,567,21,822
SAL12531,0,0,0,10,3,0,16,16,4,34
SAL12532,23,5,30,113,47,3,159,593,90,837
SAL12533,9,0,9,16,8,3,28,89,17,130
SAL12534,201,23,228,1745,364,24,2133,5504,476,8101
SAL12535,0,0,0,11,0,0,12,59,17,83
SAL12536,4,0,4,7,9,0,15,45,3,61
SAL12537,0,0,0,13,6,0,20,37,15,71
SAL12538,0,0,0,14,0,0,13,19,0,32
SAL12539,0,0,0,9,3,0,11,34,0,49
SAL12540,231,24,249,1507,423,54,1977,5835,437,8243
SAL12541,0,0,0,0,0,0,0,0,5,3
SAL12542,0,0,0,14,0,4,16,24,3,43
SAL12543,0,0,0,5,0,0,4,21,5,30
SAL12544,53,5,56,314,76,5,397,1051,46,1495
SAL12545,0,0,0,0,0,0,0,0,0,0
SAL12546,28,0,33,310,77,8,403,1137,100,1641
SAL12547,0,0,0,28,7,3,37,61,22,120
SAL12548,9,0,15,386,31,0,416,995,94,1504
SAL12549,0,0,0,3,0,0,3,8,6,13
SAL12550,4,0,4,50,19,3,78,120,12,212
SAL12551,0,0,0,17,18,0,33,66,14,113
SAL12552,19,0,19,523,92,16,629,1232,84,1936
SAL12553,3,0,3,52,25,0,81,149,12,240
SAL12554,0,0,0,30,18,0,54,106,13,170
SAL12555,10,0,10,134,37,4,174,464,32,672
SAL12556,0,0,0,17,5,0,24,43,15,85
SAL12557,23,7,28,236,92,5,331,1714,92,2144
SAL12558,0,0,0,10,6,0,17,27,7,50
SAL12559,0,0,0,54,18,0,80,172,36,284
SAL12560,20,3,26,777,75,0,853,3440,186,4477
SAL12561,0,0,0,0,0,0,0,0,0,0
SAL12562,0,0,0,9,0,0,9,27,16,54
SAL12563,15,0,15,71,25,0,94,406,15,517
SAL12564,77,7,82,2126,659,94,2874,5203,291,8368
SAL12565,3,0,3,22,11,0,31,78,9,119
SAL12566,0,0,0,54,17,0,75,224,14,317
SAL12567,0,0,0,22,3,0,30,84,12,124
SAL12568,0,0,0,12,11,0,21,106,17,147
SAL12569,0,0,0,4,0,0,3,0,4,12
SAL12570,6,0,6,12,6,0,23,63,10,98
SAL12571,0,0,0,0,0,0,0,0,0,7
SAL12572,0,0,0,9,5,0,6,24,6,35
SAL12573,0,0,0,431,30,7,463,524,31,1010
SAL12574,20,0,25,402,65,3,473,1136,58,1666
SAL12575,0,0,0,9,6,0,19,34,5,50
SAL12576,0,0,0,17,4,0,18,50,11,75
SAL12577,0,0,0,31,9,0,43,96,9,143
SAL12578,96,10,107,2022,386,32,2445,5719,203,8361
SAL12579,51,67,121,144,52,0,206,687,182,1074
SAL12580,7,0,7,28,15,6,46,121,21,185
SAL12581,14,0,10,86,29,4,115,335,49,502
SAL12582,4,3,10,40,17,4,59,300,99,462
SAL12583,0,0,0,26,7,0,30,61,9,103
SAL12584,206,12,215,1893,771,32,2703,6836,331,9861
SAL12585,69,8,75,347,70,10,425,683,31,1137
SAL12586,161,14,174,395,208,22,627,2515,228,3372
SAL12587,0,0,0,24,4,0,25,81,8,117
SAL12588,0,0,0,0,0,0,0,0,0,0
SAL12589,0,0,0,12,3,0,11,22,0,35
SAL12590,3,0,3,69,31,4,104,272,14,388
SAL12591,0,0,0,6,0,0,10,6,5,20
SAL12592,0,0,0,0,0,0,3,6,0,12
SAL12593,0,0,0,0,0,0,0,10,0,14
SAL12594,0,0,0,3,0,0,3,0,3,8
SAL12595,0,0,0,10,4,0,12,8,0,24
SAL12596,59,8,69,275,80,8,361,931,171,1463
SAL12597,0,0,0,18,7,0,29,56,17,107
SAL12598,0,0,0,13,3,0,16,37,6,56
SAL12599,361,43,410,4913,674,59,5648,17340,2749,25736
SAL12600,208,19,228,1000,143,9,1156,3955,545,5650
SAL12601,3,0,7,40,18,0,55,149,3,208
SAL12602,0,0,0,0,0,0,0,7,0,9
SAL12603,48,4,56,782,260,57,1102,2476,186,3762
SAL12604,0,0,0,5,7,0,9,34,4,49
SAL12605,0,0,0,16,10,0,20,63,9,97
SAL12606,0,0,0,0,0,0,0,9,0,14
SAL12607,0,0,0,8,0,0,8,0,3,12
SAL12608,0,0,0,0,0,0,6,25,11,40
SAL12609,4,0,4,115,32,6,157,290,54,497
SAL12610,4,0,4,50,21,6,78,228,13,316
SAL12611,0,0,3,43,5,0,49,138,20,208
SAL12612,0,0,3,6,4,0,6,36,3,51
SAL12613,36,6,33,293,43,3,346,697,17,1063
SAL12614,23,0,24,168,45,0,225,610,27,853
SAL12615,0,0,0,10,4,0,12,47,0,62
SAL12616,0,0,0,0,6,0,5,30,0,35
SAL12617,0,0,0,15,4,5,27,64,13,105
SAL12618,19,4,25,1666,145,15,1825,2802,279,4902
SAL12619,0,0,0,3,0,0,3,13,0,17
SAL12620,3,0,0,11,4,0,13,53,8,73
SAL12621,0,0,0,4,0,0,12,15,3,26
SAL12622,0,0,0,7,3,0,14,26,0,42
SAL12623,0,0,0,26,4,0,27,69,17,123
SAL12624,0,0,0,18,7,0,26,70,6,96
SAL12625,0,0,0,0,0,0,0,3,0,3
SAL12626,0,0,0,3,0,0,3,10,0,16
SAL12627,0,0,0,7,9,0,16,65,12,102
SAL12628,45,6,46,369,67,8,441,1887,284,2614
SAL12629,6,0,6,54,39,0,91,203,12,306
SAL12630,21,0,25,174,43,0,217,1272,110,1606
SAL12631,15,0,17,226,59,6,295,637,81,1013
SAL12632,0,0,0,0,0,0,0,17,5,14
SAL12633,10,0,10,61,30,3,97,326,41,464
SAL12634,12,0,17,258,83,10,350,590,97,1035
SAL12635,0,0,0,17,0,0,21,21,5,42
SAL12636,40,4,43,772,121,11,900,2231,92,3220
SAL12637,0,0,0,13,0,0,16,39,0,61
SAL12638,0,0,0,12,3,0,15,33,0,53
SAL12639,0,0,0,13,0,0,13,19,0,28
SAL12640,27,5,37,223,99,5,323,1873,161,2367
SAL12641,121,9,132,219,111,9,345,1080,100,1529
SAL12642,3,0,3,11,8,0,17,40,13,72
SAL12643,0,0,0,18,6,0,24,33,0,51
SAL12644,24,0,24,969,199,6,1183,3188,203,4571
SAL12645,0,0,0,14,12,0,28,50,0,79
SAL12646,0,0,0,0,0,0,0,7,0,7
SAL12647,4,0,4,24,5,0,34,126,14,176
SAL12648,0,0,0,11,3,0,15,22,4,40
SAL12649,7,0,7,124,50,8,178,357,10,551
SAL12650,21,8,24,127,79,12,215,403,46,676
SAL12651,4,0,4,19,16,0,37,129,16,185
SAL12652,3,0,3,40,14,0,56,90,15,161
SAL12653,74,32,110,2663,419,57,3132,6629,811,10572
SAL12654,3,0,3,61,18,3,77,225,16,312
SAL12655,5,0,5,88,17,0,108,319,12,441
SAL12656,741,78,820,3195,619,50,3861,10142,781,14784
SAL12657,0,0,0,12,4,0,16,23,4,47
SAL12658,10,0,13,129,41,4,173,445,44,665
SAL12659,3,0,3,14,3,0,18,35,6,61
SAL12660,0,0,0,39,14,3,62,139,5,208
SAL12661,3,0,0,28,16,0,42,349,752,1143
SAL12662,0,0,0,32,12,0,42,128,31,201
SAL12663,4,4,11,35,13,3,53,304,54,408
SAL12664,252,25,279,841,282,23,1147,3776,261,5188
SAL12665,156,62,219,1053,318,44,1416,4104,462,5982
SAL12666,8,3,13,95,39,7,144,354,25,519
SAL12667,0,0,4,5,3,3,9,42,8,63
SAL12668,8,0,8,22,13,0,33,147,23,212
SAL12669,0,0,0,0,0,0,0,14,6,17
SAL12670,0,0,0,9,9,0,17,66,5,86
SAL12671,3,0,6,46,26,0,74,157,42,269
SAL12672,0,0,0,0,0,0,0,4,0,9
SAL12673,0,0,0,6,0,0,6,3,0,8
SAL12674,0,0,0,0,0,0,0,20,0,21
SAL12675,0,0,0,0,0,0,3,30,0,32
SAL12676,5,0,5,18,4,0,21,73,8,102
SAL12677,0,0,0,3,3,0,3,81,7,90
SAL12678,0,0,0,9,4,0,8,21,0,33
SAL12679,0,0,0,4,3,0,10,33,3,44
SAL12680,37,0,36,148,65,3,221,779,47,1040
SAL12681,82,3,86,307,145,11,465,1571,137,2173
SAL12682,75,16,90,384,149,28,560,1331,174,2073
SAL12683,314,96,419,1839,519,32,2387,6158,538,9083
SAL12684,0,0,0,10,0,0,13,27,0,45
SAL12685,8,0,8,21,17,0,43,141,13,196
SAL12686,0,0,0,4,4,0,8,0,0,3
SAL12687,3,0,4,13,10,4,25,102,9,136
SAL12688,0,0,0,5,0,0,8,19,0,24
SAL12689,0,0,0,9,0,0,15,84,10,104
SAL12690,0,0,0,10,4,0,13,50,10,68
SAL12691,0,0,0,5,0,0,5,0,10,16
SAL12692,0,0,0,5,5,0,5,12,3,21
SAL12693,0,0,0,12,9,0,21,53,10,86
SAL12694,0,0,0,26,9,3,41,110,16,163
SAL12695,0,0,0,12,4,0,12,34,6,58
SAL12696,9,4,14,99,33,0,134,304,41,486
SAL12697,120,16,141,728,123,10,864,2887,199,3951
SAL12698,8,0,8,31,4,0,35,99,15,154
SAL12699,0,0,0,34,3,0,42,91,0,136
SAL12700,0,0,0,0,0,0,0,0,0,0
SAL12701,0,0,0,0,4,0,4,20,4,24
SAL12702,0,0,0,10,0,0,12,27,3,37
SAL12703,0,0,0,0,0,0,0,3,0,12
SAL12704,0,0,0,0,0,0,0,0,0,0
SAL12705,0,0,0,0,0,0,6,5,4,8
SAL12706,0,0,0,6,4,0,11,7,0,19
SAL12707,0,0,0,0,3,0,3,22,0,19
SAL12708,0,0,0,28,3,0,29,68,4,102
SAL12709,3,0,3,116,16,0,135,309,13,454
SAL12710,65,5,68,184,75,9,263,677,77,1014
SAL12711,0,0,0,0,0,0,0,5,0,8
SAL12712,0,0,0,8,9,0,16,37,0,55
SAL12713,0,0,0,0,0,0,0,0,0,0
SAL12714,22,0,22,438,125,14,573,1073,49,1695
SAL12715,4,0,4,52,14,0,63,217,19,306
SAL12716,0,0,0,7,0,0,5,13,0,22
SAL12717,0,0,0,0,0,0,0,14,0,16
SAL12718,0,0,0,13,8,3,20,54,14,85
SAL12719,0,0,0,0,0,0,0,0,0,0
SAL12720,7,0,8,41,13,0,51,138,9,202
SAL12721,20,6,21,657,172,25,859,1194,62,2111
SAL12722,0,0,0,0,6,0,7,5,0,18
SAL12723,103,15,117,2440,307,21,2764,5468,411,8642
SAL12724,0,0,0,0,0,0,0,25,10,37
SAL12725,4,0,7,80,27,0,105,302,19,429
SAL12726,4,0,4,35,9,0,49,70,7,128
SAL12727,4,0,4,4,6,0,11,45,0,54
SAL12728,4,0,4,14,0,0,14,80,11,105
SAL12729,0,0,0,0,0,0,0,6,3,8
SAL12730,0,0,0,8,3,0,12,27,9,42
SAL12731,0,0,0,0,5,0,5,30,3,34
SAL12732,0,0,0,13,0,0,17,26,0,43
SAL12733,121,37,157,1076,435,57,1575,4135,1400,7103
SAL12734,342,31,373,470,170,13,662,2605,240,3507
SAL12735,16,0,16,189,74,13,274,534,36,845
SAL12736,0,0,0,0,0,0,0,24,7,31
SAL12737,0,0,0,26,7,0,35,48,13,90
SAL12738,68,3,75,214,132,5,347,1024,61,1434
SAL12739,263,15,281,1895,300,13,2210,6329,374,8912
SAL12740,4,0,5,341,52,5,402,1182,87,1664
SAL12741,0,0,0,40,12,5,59,107,17,180
SAL12742,0,0,0,45,17,0,60,174,14,248
SAL12743,12,0,14,79,44,6,124,305,30,469
SAL12744,0,0,0,7,4,0,15,41,18,69
SAL12745,128,30,158,496,226,28,753,2597,311,3668
SAL12746,21,5,22,148,85,14,242,588,117,955
SAL12747,0,0,0,0,0,0,0,0,0,0
SAL12748,0,0,0,19,11,0,26,65,8,100
SAL12749,858,55,916,5025,1009,48,6084,16766,870,23719
SAL12750,176,78,261,1423,463,52,1940,5223,489,7650
SAL12751,0,0,0,0,0,0,0,7,16,19
SAL12752,6,0,12,75,49,0,118,400,20,541
SAL12753,0,0,0,14,6,0,20,88,5,116
SAL12754,8,4,20,53,22,8,84,235,74,399
SAL12755,0,0,0,8,0,0,8,30,8,44
SAL12756,51,5,58,2487,416,56,2957,5781,259,8994
SAL12757,0,0,0,0,0,0,0,9,0,7
SAL12758,3,0,3,6,11,0,17,87,0,107
SAL12759,124,49,179,564,212,22,795,2035,374,3204
SAL12760,0,0,0,18,6,0,30,161,53,244
SAL12761,90,5,94,1627,254,18,1902,4229,132,6260
SAL12762,0,0,0,0,0,0,0,3,0,5
SAL12763,0,0,0,0,0,0,0,6,0,8
SAL12764,0,0,0,0,0,0,0,21,9,25
SAL12765,0,0,0,5,0,0,5,30,16,46
SAL12766,0,0,0,0,3,0,3,11,0,14
SAL12767,137,11,159,2903,406,52,3358,8636,987,12981
SAL12768,7,0,7,23,7,0,35,98,5,139
SAL12769,0,0,0,36,17,4,63,132,9,201
SAL12770,0,0,0,4,0,0,4,5,3,12
SAL12771,0,0,0,28,17,0,43,49,3,94
SAL12772,0,0,0,39,12,3,52,201,36,286
SAL12773,0,0,0,5,0,0,5,11,0,22
SAL12774,0,0,0,3,0,0,4,3,0,12
SAL12775,0,0,0,5,0,0,5,9,0,21
SAL12776,4,0,4,133,26,3,164,398,34,595
SAL12777,238,15,255,525,202,31,757,2217,120,3098
SAL12778,0,0,0,3,0,0,3,12,5,17
SAL12779,22,3,31,318,104,15,425,899,44,1367
SAL12780,15,0,14,205,53,5,264,581,11,858
SAL12781,0,0,0,6,8,0,9,0,0,12
SAL12782,0,0,0,6,0,0,6,16,11,32
SAL12783,18,0,21,378,69,0,451,905,34,1386
SAL12784,5,0,5,7,3,0,12,30,5,50
SAL12785,13,0,18,172,34,4,213,713,70,999
SAL12786,0,0,0,0,0,0,0,0,0,0
SAL12787,0,0,0,4,5,0,10,25,13,51
SAL12788,0,0,0,0,0,0,0,0,0,0
SAL12789,0,0,0,14,0,0,15,55,18,86
SAL12790,4,0,4,8,0,0,9,36,7,55
SAL12791,0,0,0,0,3,0,3,22,3,28
SAL12792,0,0,0,20,8,0,28,85,3,113
SAL12793,61,4,71,287,83,5,379,915,34,1329
SAL12794,8,0,8,17,8,6,21,57,6,88
SAL12795,24,0,27,310,59,13,385,654,27,1073
SAL12796,149,20,169,1488,309,33,1836,5884,641,8358
SAL12797,3,0,3,62,24,4,91,231,21,342
SAL12798,0,0,0,7,0,0,14,39,0,53
SAL12799,20,0,21,612,166,4,776,1599,51,2427
SAL12800,0,0,0,4,0,0,6,14,0,15
SAL12801,4,0,4,10,5,0,19,74,7,102
SAL12802,23,0,23,272,74,5,349,760,55,1163
SAL12803,0,0,0,0,3,0,6,18,0,27
SAL12804,0,0,0,4,0,0,4,16,0,23
SAL12805,0,0,0,14,6,0,20,35,8,66
SAL12806,0,0,0,8,0,0,11,54,5,61
SAL12807,13,3,21,187,54,4,242,712,47,1009
SAL12808,9,0,12,136,42,0,183,607,26,814
SAL12809,3,0,3,18,0,0,23,68,5,97
SAL12810,0,0,0,56,39,0,96,212,17,323
SAL12811,0,0,0,7,6,5,19,59,46,125
SAL12812,82,37,120,731,264,10,1005,2758,224,3987
SAL12813,0,0,0,0,0,0,0,0,3,3
SAL12814,3,0,3,18,3,0,19,116,23,159
SAL12815,0,0,0,8,5,0,9,53,14,77
SAL12816,0,0,0,5,0,0,7,31,8,51
SAL12817,5,0,5,10,0,0,11,55,3,75
SAL12818,0,0,0,5,0,0,8,33,3,47
SAL12819,6,0,6,41,6,0,49,96,12,158
SAL12820,0,0,0,5,6,0,14,31,13,60
SAL12821,0,0,0,10,5,0,23,45,10,75
SAL12822,0,0,0,7,0,0,9,38,5,44
SAL12823,276,50,331,1977,567,97,2645,5798,591,9027
SAL12824,15,0,12,102,53,5,160,370,33,563
SAL12825,21,0,21,355,107,9,470,1121,67,1655
SAL12826,0,0,0,11,0,0,11,55,4,69
SAL12827,0,0,0,5,0,0,5,7,0,9
SAL12828,0,0,0,0,4,0,6,36,34,74
SAL12829,0,0,0,0,0,0,0,10,3,19
SAL12830,5,0,5,16,12,0,24,42,3,73
SAL12831,5,0,7,30,12,0,38,84,25,140
SAL12832,0,0,0,16,0,0,18,47,8,70
SAL12833,7,0,7,108,28,10,147,311,31,489
SAL12834,0,0,0,17,7,0,27,61,5,100
SAL12835,0,0,0,6,0,0,7,15,6,30
SAL12836,0,0,0,11,8,0,22,61,5,80
SAL12837,0,0,0,96,32,7,139,271,28,437
SAL12838,0,0,0,24,8,0,32,66,6,103
SAL12839,103,8,112,648,220,41,906,2214,324,3445
SAL12840,0,0,0,77,36,0,121,264,49,429
SAL12841,65,19,79,315,150,14,478,1459,220,2158
SAL12842,0,0,0,0,5,0,5,20,4,32
SAL12843,5,0,5,48,10,0,60,162,25,241
SAL12844,0,0,0,5,0,0,5,6,0,7
SAL12845,0,0,0,0,0,0,0,0,0,0
SAL12846,0,0,0,18,5,3,25,75,6,110
SAL12847,0,0,0,13,8,0,22,54,10,85
SAL12848,0,0,0,11,6,0,14,58,5,78
SAL12849,0,0,0,7,0,0,12,27,0,43
SAL12850,0,0,0,10,3,0,9,27,6,43
SAL12851,3,0,3,38,16,4,61,116,18,192
SAL12852,5,0,5,21,4,3,27,66,9,98
SAL12853,0,0,0,0,0,0,0,0,0,0
SAL12854,4,7,8,70,9,3,80,253,72,407
SAL12855,0,0,0,0,0,0,0,0,0,0
SAL12856,0,0,0,0,0,0,0,0,0,0
SAL12857,0,0,0,4,0,0,11,24,7,32
SAL12858,0,0,0,11,6,0,18,24,5,48
SAL12859,0,0,0,7,0,0,4,27,19,52
SAL12860,0,0,0,5,8,0,13,58,9,77
SAL12861,5,0,5,35,9,5,54,95,72,215
SAL12862,0,0,0,8,0,0,8,4,9,18
SAL12863,0,0,4,34,23,0,51,165,15,236
SAL12864,0,0,0,0,0,0,0,0,0,0
SAL12865,3,0,3,186,49,8,245,419,14,681
SAL12866,4,0,4,9,6,0,17,121,0,138
SAL12867,0,0,0,0,0,0,0,0,0,0
SAL12868,0,0,0,7,8,0,17,29,3,50
SAL12869,3,0,3,58,26,7,86,209,16,309
SAL12870,0,0,0,11,7,0,21,28,3,51
SAL12871,19,0,22,727,201,19,950,1773,91,2814
SAL12872,0,0,0,4,0,0,4,0,0,5
SAL12873,0,0,0,17,0,0,17,44,10,66
SAL12874,0,0,0,11,3,0,17,58,0,72
SAL12875,42,3,44,106,41,4,147,618,58,826
SAL12876,0,0,0,5,6,0,9,8,0,14
SAL12877,240,144,380,1221,376,49,1649,4020,563,6230
SAL12878,0,0,0,66,14,0,75,151,16,238
SAL12879,149,30,179,2075,567,69,2718,5948,909,9573
SAL12880,0,0,0,4,0,0,4,9,7,19
SAL12881,0,0,0,25,0,0,28,55,14,95
SAL12882,0,0,0,5,0,0,3,16,0,20
SAL12883,0,0,0,0,0,0,0,0,0,0
SAL12884,0,0,0,28,11,3,43,126,25,193
SAL12885,0,0,0,5,0,0,5,0,0,5
SAL12886,16,0,11,37,31,0,65,210,22,300
SAL12887,0,0,0,14,7,0,17,40,7,63
SAL12888,18,3,22,167,55,5,234,635,143,1015
SAL12889,7,0,7,4,3,0,14,70,3,80
SAL12890,5,0,5,12,3,0,15,56,16,86
SAL12891,0,0,0,13,3,0,18,40,4,63
SAL12892,0,0,0,16,4,0,16,14,0,38
SAL12893,0,0,0,24,6,0,31,41,4,73
SAL12894,5,0,5,14,8,0,28,151,9,184
SAL12895,0,0,0,0,0,0,0,0,0,0
SAL12896,20,0,19,193,77,9,271,740,51,1065
SAL12897,0,0,0,0,0,0,0,0,0,0
SAL12898,334,42,376,617,298,35,954,4289,522,5762
SAL12899,0,0,0,3,4,0,5,38,9,53
SAL12900,8,6,12,197,58,6,268,588,59,915
SAL12901,0,0,3,40,14,4,54,107,18,192
SAL12902,0,0,0,46,15,5,60,136,3,203
SAL12903,3,0,3,21,16,0,36,67,9,108
SAL12904,0,0,0,9,3,0,13,31,3,48
SAL12905,79,8,92,1651,389,41,2080,4401,234,6709
SAL12906,38,6,43,583,129,10,719,1837,112,2666
SAL12907,39,3,46,1364,286,35,1676,3516,213,5405
SAL12908,63,10,78,1293,153,21,1464,3126,153,4739
SAL12909,90,12,99,268,119,14,398,1815,191,2407
SAL12910,0,0,0,5,5,0,9,11,0,21
SAL12911,682,91,777,1193,320,15,1530,5311,426,7263
SAL12912,155,11,171,1076,422,50,1546,3801,502,5849
SAL12913,0,0,0,12,0,0,12,42,7,55
SAL12914,0,0,0,4,0,0,4,5,4,13
SAL12915,151,12,162,594,227,30,855,2337,310,3502
SAL12916,0,0,0,0,0,0,4,9,0,8
SAL12917,3,0,3,20,8,0,27,60,3,92
SAL12918,38,3,39,208,83,15,303,877,63,1244
SAL12919,225,39,259,1312,254,20,1581,3770,288,5643
SAL12920,87,33,120,603,270,43,912,2179,493,3592
SAL12921,118,17,133,859,111,3,977,3271,249,4499
SAL12922,9,0,8,63,18,5,87,215,13,319
SAL12923,4,0,4,38,12,0,53,136,25,212
SAL12924,0,0,0,12,0,0,14,45,3,63
SAL12925,0,0,0,28,7,0,36,39,24,96
SAL12926,7,0,11,42,27,6,76,279,25,378
SAL12927,0,0,0,3,0,0,7,10,0,16
SAL12928,0,0,0,15,9,0,20,39,3,62
SAL12929,0,0,0,41,19,0,57,259,31,352
SAL12930,0,0,0,3,0,0,3,7,0,12
SAL12931,8,0,8,75,24,6,96,275,14,390
SAL12932,134,16,145,780,337,26,1141,3894,289,5319
SAL12933,3,0,7,51,28,0,77,161,20,259
SAL12934,0,0,0,5,0,0,5,20,3,33
SAL12935,12,0,12,112,37,3,155,366,45,568
SAL12936,4,0,8,36,13,0,50,132,33,213
SAL12937,0,0,0,0,0,0,0,11,0,16
SAL12938,0,0,0,19,8,0,32,99,26,154
SAL12939,0,0,0,6,3,0,9,51,3,65
SAL12940,0,0,0,0,3,0,7,27,9,36
SAL12941,3,0,3,47,22,3,78,194,10,275
SAL12942,3,0,3,15,11,0,25,74,13,115
SAL12943,164,63,227,1546,269,23,1828,6516,412,8755
SAL12944,0,0,0,0,0,0,0,0,0,0
SAL12945,0,0,0,21,3,0,23,85,6,121
SAL12946,6,0,3,41,16,8,59,101,13,169
SAL12947,3,0,4,116,36,3,151,283,41,477
SAL12948,5,0,5,56,24,0,80,197,36,311
SAL12949,0,0,0,0,0,0,5,29,0,32
SAL12950,4,0,4,51,15,0,59,121,20,202
SAL12951,254,20,276,1916,612,52,2578,5733,371,8679
SAL12952,33,3,39,552,175,26,753,1237,54,2046
SAL12953,0,0,0,7,0,0,6,36,11,52
SAL12954,0,0,3,21,9,0,32,72,17,113
SAL12955,0,0,0,4,0,0,4,22,0,27
SAL12956,0,0,0,4,0,0,4,0,0,4
SAL12957,4,4,3,24,9,0,33,135,26,199
SAL12958,50,0,50,306,251,4,559,2843,220,3616
SAL12959,12,4,16,123,76,6,212,629,97,944
SAL12960,69,6,73,103,74,3,182,1130,65,1378
SAL12961,7,0,7,72,16,9,91,224,20,338
SAL12962,33,0,31,1345,144,13,1506,2769,115,4392
SAL12963,0,0,0,0,0,0,0,0,8,4
SAL12964,0,0,0,0,0,0,0,0,0,0
