SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL10001,0,6,6,5,0,11,0,12
SAL10002,28,215,452,276,242,1221,14,1233
SAL10003,205,1008,780,177,75,2243,23,2267
SAL10004,11,92,178,69,45,391,0,388
SAL10005,0,6,3,0,0,10,0,10
SAL10006,48,390,322,135,86,981,8,990
SAL10007,36,280,300,123,72,819,9,827
SAL10008,0,7,10,12,15,37,0,40
SAL10009,29,541,973,374,216,2134,7,2143
SAL10010,19,270,319,152,118,878,16,892
SAL10011,0,20,37,20,19,103,0,103
SAL10012,0,0,4,0,3,8,0,8
SAL10013,5,8,10,0,0,13,0,13
SAL10014,21,345,479,168,93,1114,11,1125
SAL10015,12,40,51,16,11,129,0,131
SAL10016,196,966,931,280,130,2507,27,2531
SAL10017,74,536,960,269,147,1987,3,1991
SAL10018,9,147,122,58,31,382,10,388
SAL10019,0,0,5,7,3,20,3,26
SAL10020,0,8,5,4,0,14,0,17
SAL10021,15,59,88,67,80,306,4,307
SAL10022,223,412,242,67,21,964,30,990
SAL10023,6,34,20,7,0,66,0,68
SAL10024,0,3,10,4,7,25,0,25
SAL10025,130,1224,1940,790,564,4657,49,4704
SAL10026,159,875,908,357,231,2536,37,2567
SAL10027,234,912,741,193,67,2145,23,2173
SAL10028,4,64,101,53,34,257,4,259
SAL10029,4,20,17,9,9,57,3,60
SAL10030,1022,2551,734,125,38,4468,41,4510
SAL10031,14,129,399,216,184,939,3,941
SAL10032,0,4,10,4,12,26,0,25
SAL10033,0,0,3,0,0,3,0,3
SAL10034,0,6,9,7,7,32,0,32
SAL10035,0,10,10,13,4,33,10,41
SAL10036,153,691,955,338,177,2323,14,2339
SAL10037,0,3,12,5,6,27,0,32
SAL10038,310,1067,488,110,36,2009,29,2039
SAL10039,0,0,7,8,4,17,0,14
SAL10040,0,14,21,8,7,50,0,50
SAL10041,0,23,26,13,9,77,3,80
SAL10042,0,3,7,13,0,25,0,25
SAL10043,0,0,5,9,3,13,0,13
SAL10044,0,3,11,16,12,47,6,52
SAL10045,0,19,61,33,32,145,9,157
SAL10046,147,976,890,293,118,2426,33,2461
SAL10047,0,10,12,6,4,34,3,34
SAL10048,0,0,7,3,0,10,0,10
SAL10049,218,895,814,254,119,2301,35,2335
SAL10050,0,9,5,0,0,17,0,17
SAL10051,0,0,0,4,0,3,0,3
SAL10052,0,7,6,8,0,14,0,14
SAL10053,0,0,13,0,3,18,0,19
SAL10054,0,4,5,8,0,16,0,16
SAL10055,0,5,10,0,10,21,0,21
SAL10056,3,13,28,12,11,60,0,61
SAL10057,0,6,9,4,0,20,0,20
SAL10058,0,8,17,10,0,30,0,33
SAL10059,0,27,49,3,3,81,0,81
SAL10060,0,31,30,27,29,115,0,120
SAL10061,46,720,624,186,112,1687,18,1707
SAL10062,513,1996,985,200,69,3763,27,3794
SAL10063,0,42,118,78,161,402,4,406
SAL10064,18,192,420,191,150,960,9,972
SAL10065,0,5,7,7,0,17,0,17
SAL10066,0,5,5,3,0,13,0,13
SAL10067,0,0,0,4,0,10,0,10
SAL10068,0,3,19,8,5,39,0,39
SAL10069,0,0,3,4,0,5,0,5
SAL10070,0,64,70,29,20,180,4,182
SAL10071,3,25,37,20,6,92,0,92
SAL10072,0,0,0,0,0,0,0,0
SAL10073,5,65,139,114,119,442,5,447
SAL10074,8,173,214,96,45,534,4,544
SAL10075,0,7,6,3,3,17,0,17
SAL10076,0,17,39,9,7,71,0,71
SAL10077,16,71,72,28,21,205,9,214
SAL10078,0,0,0,6,0,5,0,5
SAL10079,47,203,205,53,42,554,5,561
SAL10080,0,28,25,9,7,73,3,79
SAL10081,0,0,0,0,0,0,0,0
SAL10082,9,47,65,29,27,168,7,178
SAL10083,0,0,4,3,3,9,0,9
SAL10084,0,0,0,0,0,6,0,6
SAL10085,0,15,17,12,9,52,5,59
SAL10086,717,3646,2956,900,441,8660,126,8785
SAL10087,519,1947,1028,316,179,3988,79,4063
SAL10088,0,3,0,0,0,3,0,3
SAL10089,17,191,59,14,8,289,11,306
SAL10090,9,57,91,33,20,213,5,215
SAL10091,542,2040,850,124,35,3602,28,3629
SAL10092,0,0,7,3,5,15,0,15
SAL10093,0,0,4,3,0,10,0,11
SAL10094,70,358,443,147,75,1099,5,1107
SAL10095,0,34,67,16,3,129,0,129
SAL10096,0,28,56,23,11,106,0,113
SAL10097,0,0,4,0,0,7,0,7
SAL10098,167,366,297,120,73,1019,31,1053
SAL10099,2091,4850,1658,348,156,9109,156,9266
SAL10100,14,90,81,43,28,262,8,273
SAL10101,4,29,40,21,13,107,4,110
SAL10102,193,616,433,111,47,1395,48,1445
SAL10103,30,370,696,294,164,1553,7,1564
SAL10104,142,1153,692,153,61,2202,20,2228
SAL10105,0,4,15,4,3,22,0,22
SAL10106,6,62,89,31,20,209,6,214
SAL10107,1926,4495,2628,930,558,10540,442,10982
SAL10108,0,5,22,7,7,46,0,46
SAL10109,20,303,422,136,65,946,11,953
SAL10110,61,636,853,239,154,1946,41,1992
SAL10111,0,10,17,10,8,48,3,51
SAL10112,106,1001,1542,556,323,3527,35,3561
SAL10113,0,5,3,10,0,17,0,19
SAL10114,0,3,32,18,18,69,0,69
SAL10115,18,381,728,246,154,1530,12,1539
SAL10116,0,0,0,0,0,0,0,0
SAL10117,53,202,267,84,48,656,8,663
SAL10118,0,9,22,19,6,56,0,51
SAL10119,3,33,52,31,33,142,0,142
SAL10120,0,18,36,19,10,83,0,78
SAL10121,0,8,22,8,6,52,0,52
SAL10122,0,3,5,0,3,10,0,10
SAL10123,0,0,0,0,0,4,0,4
SAL10124,0,0,3,7,4,11,0,11
SAL10125,0,0,4,0,3,9,0,9
SAL10126,0,0,3,4,0,11,0,11
SAL10127,0,0,0,0,0,9,0,9
SAL10128,0,0,0,0,0,0,0,0
SAL10129,0,0,4,0,0,5,0,3
SAL10130,0,5,10,7,7,29,0,32
SAL10131,0,8,22,13,12,56,0,56
SAL10132,0,0,5,0,0,11,0,10
SAL10133,0,15,7,13,7,49,0,51
SAL10134,0,0,0,0,0,0,0,0
SAL10135,0,3,16,7,6,29,0,35
SAL10136,0,0,0,0,3,11,0,11
SAL10137,0,5,7,6,0,15,0,15
SAL10138,0,0,3,0,0,11,3,16
SAL10139,0,0,14,7,0,16,0,23
SAL10140,0,7,9,7,0,12,0,12
SAL10141,0,7,4,0,0,11,0,11
SAL10142,0,0,0,0,0,3,0,3
SAL10143,0,6,5,4,9,25,0,23
SAL10144,0,50,93,26,26,196,0,196
SAL10145,0,12,16,12,7,51,0,51
SAL10146,10,124,164,61,34,385,0,385
SAL10147,0,3,8,4,3,20,0,20
SAL10148,0,19,54,25,19,113,0,116
SAL10149,0,0,6,0,0,7,0,7
SAL10150,0,0,4,0,0,0,0,6
SAL10151,0,8,10,4,0,21,0,19
SAL10152,0,0,12,0,3,17,0,19
SAL10153,0,0,5,5,0,11,0,11
SAL10154,240,1557,1046,196,85,3132,24,3151
SAL10155,21,238,538,179,68,1048,3,1048
SAL10156,93,684,887,262,174,2102,28,2131
SAL10157,0,0,4,0,0,4,0,4
SAL10158,0,9,9,12,14,43,0,43
SAL10159,0,0,3,0,0,11,0,8
SAL10160,0,18,19,8,5,50,0,55
SAL10161,0,7,13,8,10,28,0,28
SAL10162,0,11,27,19,17,74,8,74
SAL10163,509,2112,1216,310,120,4267,92,4357
SAL10164,0,0,0,0,0,0,0,0
SAL10165,666,2426,1113,172,60,4434,39,4473
SAL10166,111,411,217,38,18,789,9,795
SAL10167,5,73,108,56,22,271,3,272
SAL10168,0,23,56,38,24,146,0,148
SAL10169,37,162,151,65,41,450,7,460
SAL10170,0,3,5,6,0,12,0,12
SAL10171,0,0,0,0,0,0,0,0
SAL10172,0,5,18,3,6,41,0,42
SAL10173,0,0,0,4,0,3,0,3
SAL10174,7,47,106,62,48,267,3,270
SAL10175,7,278,401,136,67,898,16,912
SAL10176,0,4,6,5,4,19,0,19
SAL10177,0,8,18,15,5,47,0,47
SAL10178,32,413,848,326,199,1811,10,1826
SAL10179,105,442,360,133,47,1092,13,1105
SAL10180,21,108,65,10,4,202,5,203
SAL10181,1502,4936,2930,857,480,10713,262,10980
SAL10182,0,0,0,0,0,5,0,5
SAL10183,0,3,6,8,3,22,0,22
SAL10184,0,9,26,16,7,54,0,54
SAL10185,0,0,3,6,0,12,0,12
SAL10186,346,2592,2406,726,364,6438,95,6535
SAL10187,0,7,0,3,3,15,0,15
SAL10188,54,162,195,62,35,507,13,523
SAL10189,18,25,12,0,0,53,0,55
SAL10190,0,4,4,0,0,13,0,13
SAL10191,12,114,94,34,26,281,10,291
SAL10192,31,60,8,0,0,104,0,104
SAL10193,0,0,0,0,0,0,0,0
SAL10194,13,165,562,260,227,1220,7,1224
SAL10195,43,573,747,161,62,1586,26,1610
SAL10196,49,305,275,96,58,789,9,798
SAL10197,55,288,300,87,46,777,10,793
SAL10198,6,62,60,23,32,187,3,190
SAL10199,40,400,569,261,251,1523,28,1553
SAL10200,51,236,234,82,47,654,23,672
SAL10201,0,0,0,0,0,0,0,0
SAL10202,0,26,29,12,0,70,0,74
SAL10203,4,61,44,20,23,150,4,153
SAL10204,0,0,0,0,0,0,0,0
SAL10205,15,144,241,113,97,612,9,616
SAL10206,22,247,306,102,51,732,18,746
SAL10207,49,273,182,67,39,606,15,621
SAL10208,176,819,832,262,159,2246,33,2278
SAL10209,12,94,100,29,32,262,7,269
SAL10210,4,9,26,9,4,53,0,53
SAL10211,0,11,25,8,0,42,0,42
SAL10212,0,0,0,0,4,0,0,0
SAL10213,0,0,0,0,0,0,0,0
SAL10214,0,21,23,18,9,73,0,73
SAL10215,0,0,0,0,0,3,0,8
SAL10216,0,0,3,0,4,14,0,14
SAL10217,3,37,72,22,18,155,4,153
SAL10218,0,0,0,0,0,0,0,0
SAL10219,0,19,13,15,14,63,0,63
SAL10220,0,0,0,0,0,0,0,0
SAL10221,0,12,14,12,7,47,0,46
SAL10222,0,3,0,0,0,6,0,6
SAL10223,17,193,238,96,55,596,13,602
SAL10224,200,862,1019,395,246,2720,69,2787
SAL10225,0,0,0,0,0,0,0,0
SAL10226,0,0,17,5,4,30,0,30
SAL10227,358,1570,1804,557,306,4600,69,4673
SAL10228,60,350,283,72,29,794,20,812
SAL10229,115,411,171,32,23,754,17,775
SAL10230,0,0,0,0,3,10,0,10
SAL10231,397,1680,826,197,79,3186,58,3246
SAL10232,20,173,182,74,55,504,8,509
SAL10233,373,4287,5226,1475,814,12175,94,12276
SAL10234,0,7,40,28,23,90,0,95
SAL10235,3,107,144,42,29,327,7,330
SAL10236,0,0,0,0,0,0,0,0
SAL10237,121,510,543,197,144,1511,33,1544
SAL10238,83,570,1039,401,272,2369,16,2392
SAL10239,61,260,108,25,13,467,11,475
SAL10240,0,4,14,3,0,26,0,25
SAL10241,0,3,4,12,4,22,0,22
SAL10242,0,9,18,9,8,49,0,51
SAL10243,23,548,1242,481,266,2561,10,2574
SAL10244,0,13,20,7,8,47,0,47
SAL10245,0,9,26,19,13,74,0,75
SAL10246,0,4,7,3,4,17,0,17
SAL10247,0,14,14,10,8,44,0,50
SAL10248,5,73,139,59,29,310,3,310
SAL10249,113,1133,1435,443,215,3341,23,3363
SAL10250,0,0,0,0,0,0,0,0
SAL10251,0,19,59,24,16,126,6,128
SAL10252,0,0,4,0,0,13,0,13
SAL10253,173,765,683,231,83,1938,44,1982
SAL10254,0,4,18,8,8,40,3,42
SAL10255,0,0,0,0,3,9,0,9
SAL10256,0,21,23,5,0,55,0,55
SAL10257,219,765,796,235,137,2152,33,2184
SAL10258,0,7,20,15,14,45,0,45
SAL10259,0,5,0,0,0,11,0,11
SAL10260,0,6,14,10,6,35,0,41
SAL10261,0,28,49,32,57,162,3,170
SAL10262,0,3,5,0,3,14,0,14
SAL10263,17,494,1115,479,293,2397,23,2423
SAL10264,228,684,485,130,63,1601,27,1621
SAL10265,0,11,21,7,3,44,0,44
SAL10266,4,27,39,15,12,93,3,96
SAL10267,0,12,18,11,7,48,0,44
SAL10268,28,268,328,106,82,808,9,816
SAL10269,6,88,127,46,28,301,0,305
SAL10270,3,43,44,21,6,118,4,121
SAL10271,393,1712,1378,354,170,4010,44,4056
SAL10272,0,12,11,8,5,34,0,34
SAL10273,51,613,553,166,68,1451,14,1469
SAL10274,0,8,12,11,11,43,0,43
SAL10275,0,6,0,0,0,8,0,8
SAL10276,330,1171,1024,341,184,3043,55,3098
SAL10277,107,686,936,330,225,2277,28,2300
SAL10278,26,168,142,66,28,431,5,435
SAL10279,670,2136,1265,379,207,4652,105,4760
SAL10280,0,25,34,20,20,95,0,95
SAL10281,0,0,0,0,6,6,0,6
SAL10282,0,0,0,0,0,0,0,0
SAL10283,109,874,1222,427,240,2876,38,2913
SAL10284,4,76,101,24,31,229,8,240
SAL10285,0,4,7,12,3,30,0,30
SAL10286,0,11,28,14,7,51,0,51
SAL10287,4,24,21,6,8,68,4,73
SAL10288,0,21,20,10,8,47,0,47
SAL10289,3,52,77,31,27,187,4,193
SAL10290,0,12,20,14,8,63,0,59
SAL10291,0,34,35,11,9,89,0,90
SAL10292,0,9,16,9,3,38,0,41
SAL10293,0,9,9,8,3,34,0,34
SAL10294,0,4,0,0,0,3,0,3
SAL10295,0,0,0,0,0,4,0,4
SAL10296,0,4,10,7,0,17,0,17
SAL10297,14,190,378,165,90,831,3,840
SAL10298,0,12,36,26,6,85,0,85
SAL10299,354,1071,829,276,134,2674,57,2736
SAL10300,0,7,14,11,13,38,0,38
SAL10301,87,541,449,145,87,1310,24,1333
SAL10302,0,13,29,14,8,63,0,62
SAL10303,317,1010,921,362,205,2817,55,2875
SAL10304,117,958,1322,444,261,3107,38,3139
SAL10305,0,68,70,72,91,301,0,305
SAL10306,0,0,0,0,0,0,0,0
SAL10307,40,320,307,84,36,790,11,802
SAL10308,31,486,653,249,138,1553,4,1562
SAL10309,40,511,779,275,161,1767,12,1780
SAL10310,5,31,20,5,4,61,0,61
SAL10311,17,99,63,22,9,211,5,211
SAL10312,0,45,46,20,12,125,3,126
SAL10313,0,4,14,9,5,32,0,32
SAL10314,0,0,3,3,0,12,0,12
SAL10315,12,162,191,86,63,505,5,511
SAL10316,0,5,3,0,0,12,0,10
SAL10317,27,184,170,75,41,504,11,508
SAL10318,0,12,18,15,23,63,3,67
SAL10319,3,57,125,55,38,279,5,281
SAL10320,0,4,3,0,0,7,3,10
SAL10321,39,453,489,145,90,1219,19,1232
SAL10322,0,7,13,5,5,26,0,26
SAL10323,0,6,8,0,0,16,0,16
SAL10324,0,26,30,10,7,73,0,73
SAL10325,0,4,7,4,4,17,0,17
SAL10326,0,7,20,6,5,35,4,41
SAL10327,4,17,24,17,4,56,3,65
SAL10328,0,5,10,0,3,13,0,13
SAL10329,57,284,323,101,70,830,9,839
SAL10330,353,1377,1172,379,209,3500,45,3546
SAL10331,0,6,11,6,5,32,0,32
SAL10332,0,44,75,38,13,168,6,175
SAL10333,528,2496,2158,679,371,6235,92,6329
SAL10334,195,589,465,147,83,1478,20,1505
SAL10335,0,3,12,3,6,23,0,23
SAL10336,0,10,15,8,3,32,0,32
SAL10337,0,10,16,10,3,38,5,38
SAL10338,0,0,6,0,3,13,0,13
SAL10339,241,571,278,95,42,1233,36,1265
SAL10340,0,11,15,3,0,43,3,44
SAL10341,0,3,8,6,3,19,0,15
SAL10342,0,0,7,8,7,29,0,29
SAL10343,0,0,8,0,0,8,0,8
SAL10344,0,5,16,17,10,46,0,46
SAL10345,3,31,35,25,8,108,4,109
SAL10346,0,47,44,27,27,143,5,146
SAL10347,27,381,526,210,93,1244,11,1247
SAL10348,0,43,78,40,28,194,3,198
SAL10349,0,20,52,9,10,93,0,93
SAL10350,14,262,613,219,105,1217,9,1224
SAL10351,0,0,3,0,3,8,0,8
SAL10352,0,0,0,0,0,6,0,6
SAL10353,0,12,21,3,3,47,0,47
SAL10354,0,21,33,10,8,68,0,69
SAL10355,0,13,7,4,5,29,0,30
SAL10356,0,24,21,18,10,70,0,70
SAL10357,0,41,106,46,33,237,3,242
SAL10358,0,0,0,0,0,0,0,0
SAL10359,0,3,7,7,10,27,0,26
SAL10360,0,11,16,7,7,40,0,40
SAL10361,4,74,76,30,32,215,0,218
SAL10362,4,20,48,21,17,111,0,112
SAL10363,0,4,3,3,0,13,4,13
SAL10364,34,237,200,71,35,575,13,593
SAL10365,0,4,11,0,0,14,0,14
SAL10366,0,22,47,17,7,89,0,89
SAL10367,0,0,4,0,0,12,0,12
SAL10368,0,12,16,8,4,38,0,42
SAL10369,7,29,45,25,12,115,0,115
SAL10370,0,12,22,15,10,61,0,69
SAL10371,9,95,100,32,26,270,8,280
SAL10372,0,3,18,6,5,39,0,43
SAL10373,113,651,408,76,18,1278,8,1285
SAL10374,0,4,5,8,3,14,0,14
SAL10375,0,5,7,10,0,20,0,20
SAL10376,90,374,292,111,73,936,16,953
SAL10377,0,4,4,0,3,16,0,20
SAL10378,81,363,323,116,67,945,22,965
SAL10379,0,18,22,18,14,79,0,79
SAL10380,0,7,31,8,8,55,3,62
SAL10381,0,7,10,0,4,21,0,23
SAL10382,0,0,0,0,0,6,0,6
SAL10383,10,232,161,36,24,458,3,461
SAL10384,0,18,41,43,50,150,0,153
SAL10385,0,3,0,5,0,3,0,3
SAL10386,0,28,42,21,11,103,5,104
SAL10387,0,17,35,14,8,77,0,76
SAL10388,0,15,28,18,7,71,0,70
SAL10389,71,371,403,133,105,1083,17,1097
SAL10390,63,378,459,188,121,1205,13,1218
SAL10391,157,420,305,97,48,1029,35,1062
SAL10392,167,1015,680,170,62,2092,26,2120
SAL10393,0,0,4,0,0,6,0,6
SAL10394,3,31,19,12,8,77,0,79
SAL10395,55,294,271,84,50,757,12,769
SAL10396,1596,6831,5248,1660,819,16160,333,16495
SAL10397,0,4,11,5,9,32,0,30
SAL10398,72,353,269,81,31,815,15,824
SAL10399,12,194,323,162,81,774,5,782
SAL10400,3,35,43,21,14,119,3,124
SAL10401,0,11,20,11,5,54,0,50
SAL10402,94,553,806,341,213,2010,21,2035
SAL10403,0,8,5,4,11,31,0,31
SAL10404,0,5,3,9,3,19,0,19
SAL10405,0,25,33,16,7,82,0,86
SAL10406,122,885,1112,362,196,2682,27,2708
SAL10407,0,9,17,13,4,33,0,33
SAL10408,0,14,48,43,59,166,0,166
SAL10409,60,472,485,203,95,1314,19,1330
SAL10410,75,660,933,332,186,2185,15,2205
SAL10411,0,11,26,14,6,58,0,58
SAL10412,0,0,0,0,0,0,0,0
SAL10413,52,190,161,43,30,472,3,477
SAL10414,66,747,912,326,158,2208,26,2236
SAL10415,0,49,32,6,10,97,0,98
SAL10416,0,0,0,0,0,0,0,0
SAL10417,0,0,4,3,5,12,0,12
SAL10418,0,0,7,5,5,21,0,21
SAL10419,4,50,33,11,3,107,0,104
SAL10420,10,109,253,114,97,586,8,589
SAL10421,43,796,815,241,111,2008,23,2033
SAL10422,0,7,12,0,3,21,0,25
SAL10423,0,0,5,3,0,11,0,11
SAL10424,3,88,158,71,37,359,4,360
SAL10425,0,0,4,3,0,9,0,9
SAL10426,0,8,28,11,0,55,0,54
SAL10427,0,6,10,10,6,33,0,33
SAL10428,5,82,105,33,25,253,4,256
SAL10429,0,5,3,0,6,10,0,10
SAL10430,0,0,0,0,0,7,0,7
SAL10431,0,9,28,6,5,49,0,50
SAL10432,0,9,4,5,3,21,0,21
SAL10433,8,89,111,56,38,309,4,313
SAL10434,0,8,9,5,10,27,0,27
SAL10435,0,0,15,10,4,32,0,32
SAL10436,0,3,6,0,0,14,0,14
SAL10437,5,26,20,19,18,91,0,87
SAL10438,55,417,515,118,69,1173,14,1191
SAL10439,0,11,8,4,4,28,0,28
SAL10440,47,81,59,29,9,231,8,238
SAL10441,7,146,162,64,44,425,14,438
SAL10442,0,0,0,0,0,0,0,0
SAL10443,0,3,19,16,8,46,3,51
SAL10444,0,0,11,5,4,27,0,25
SAL10445,0,9,11,0,0,18,0,18
SAL10446,0,11,11,8,0,37,0,37
SAL10447,0,12,8,3,5,34,0,29
SAL10448,54,327,238,81,57,766,11,777
SAL10449,5,120,206,72,52,461,4,467
SAL10450,7,207,489,225,154,1089,5,1095
SAL10451,0,0,0,0,0,0,0,0
SAL10452,215,1222,906,293,139,2776,40,2818
SAL10453,0,0,0,3,3,4,0,4
SAL10454,34,196,193,92,38,551,10,555
SAL10455,0,5,17,16,3,48,0,48
SAL10456,4,24,85,34,22,158,0,159
SAL10457,0,14,32,5,7,59,0,59
SAL10458,0,17,46,26,15,104,0,104
SAL10459,0,0,0,8,3,16,0,16
SAL10460,0,0,8,5,3,10,0,12
SAL10461,12,81,43,21,6,163,4,168
SAL10462,996,2240,937,177,60,4407,78,4484
SAL10463,1363,2587,934,174,46,5104,73,5174
SAL10464,0,0,0,0,0,0,0,0
SAL10465,1254,2267,677,101,25,4325,79,4405
SAL10466,46,501,661,214,102,1524,23,1543
SAL10467,0,154,372,128,80,731,5,735
SAL10468,26,364,494,167,113,1162,9,1174
SAL10469,236,986,962,410,226,2815,60,2870
SAL10470,71,481,716,379,308,1954,40,1990
SAL10471,0,14,20,9,4,44,0,46
SAL10472,10,234,415,180,145,994,8,997
SAL10473,5,7,19,7,6,50,0,54
SAL10474,0,6,7,10,7,30,0,32
SAL10475,46,322,196,57,18,637,14,650
SAL10476,0,12,13,12,7,45,0,45
SAL10477,0,0,0,0,0,0,0,0
SAL10478,0,0,0,0,0,0,0,0
SAL10479,0,3,15,8,5,34,0,34
SAL10480,31,232,242,79,52,640,5,647
SAL10481,0,0,6,0,0,8,0,8
SAL10482,0,14,9,6,8,36,0,36
SAL10483,0,0,0,0,0,0,0,0
SAL10484,0,4,13,8,8,34,0,34
SAL10485,4,65,76,22,4,170,0,167
SAL10486,0,4,9,7,3,21,0,23
SAL10487,0,8,20,7,13,51,3,49
SAL10488,0,5,3,0,0,13,0,13
SAL10489,0,0,7,0,4,13,0,13
SAL10490,0,0,6,0,4,14,0,14
SAL10491,0,3,5,3,0,6,0,6
SAL10492,0,15,28,4,6,47,0,47
SAL10493,38,256,188,55,29,580,6,584
SAL10494,0,43,65,27,19,151,4,157
SAL10495,0,0,4,0,0,6,0,6
SAL10496,0,0,5,0,0,5,0,4
SAL10497,0,4,12,3,5,23,0,23
SAL10498,0,4,3,0,0,6,0,6
SAL10499,0,145,281,85,38,556,3,562
SAL10500,0,0,3,5,4,18,0,18
SAL10501,28,215,256,104,69,674,10,684
SAL10502,0,12,23,20,12,66,0,70
SAL10503,0,0,0,0,0,0,0,0
SAL10504,0,4,19,3,3,31,0,31
SAL10505,0,4,19,8,0,28,0,28
SAL10506,0,0,4,0,3,8,0,8
SAL10507,0,12,17,11,11,42,0,42
SAL10508,0,0,0,0,0,0,0,0
SAL10509,0,4,14,6,3,34,0,32
SAL10510,0,15,30,13,16,73,3,76
SAL10511,0,15,69,42,35,157,5,160
SAL10512,0,9,19,7,7,34,0,34
SAL10513,257,1266,1627,759,472,4382,65,4449
SAL10514,0,11,20,14,11,50,0,45
SAL10515,332,1948,1801,410,200,4686,57,4748
SAL10516,0,0,14,9,8,30,0,30
SAL10517,0,5,0,6,4,17,0,17
SAL10518,0,0,0,0,0,0,0,0
SAL10519,0,0,4,4,5,14,3,10
SAL10520,63,214,169,49,31,532,20,554
SAL10521,24,298,504,163,94,1081,8,1084
SAL10522,0,9,12,10,10,37,0,37
SAL10523,0,3,4,5,4,17,0,17
SAL10524,13,120,206,91,62,490,3,497
SAL10525,0,9,18,13,4,41,0,41
SAL10526,3,107,257,85,68,523,6,528
SAL10527,121,294,220,66,34,733,20,755
SAL10528,0,5,0,0,0,4,0,5
SAL10529,0,13,23,10,4,50,0,50
SAL10530,0,9,9,6,0,17,0,17
SAL10531,0,0,0,4,0,6,0,6
SAL10532,0,9,14,11,9,43,0,43
SAL10533,0,36,84,45,51,216,5,223
SAL10534,196,1910,1636,482,257,4478,45,4523
SAL10535,37,175,146,46,21,425,16,444
SAL10536,0,0,0,0,0,0,0,0
SAL10537,9,513,1039,248,116,1930,23,1948
SAL10538,4,14,27,13,24,81,4,83
SAL10539,0,19,8,6,0,39,0,39
SAL10540,235,1181,1176,390,173,3152,54,3208
SAL10541,0,5,16,8,3,29,0,29
SAL10542,0,93,150,58,20,315,6,325
SAL10543,0,6,3,0,0,10,0,10
SAL10544,16,280,244,94,60,684,11,697
SAL10545,0,30,99,45,59,229,0,227
SAL10546,23,147,298,176,121,765,3,771
SAL10547,0,15,44,17,12,93,6,94
SAL10548,0,4,5,0,4,12,0,12
SAL10549,10,126,104,32,26,298,0,296
SAL10550,0,18,25,3,0,51,0,51
SAL10551,6,13,32,6,10,72,0,75
SAL10552,0,4,22,6,10,40,0,40
SAL10553,0,0,6,8,4,16,0,19
SAL10554,99,1077,791,128,44,2130,12,2139
SAL10555,0,0,0,0,0,0,0,0
SAL10556,3,31,48,30,25,135,3,139
SAL10557,0,0,12,8,5,30,0,30
SAL10558,0,14,20,12,3,39,0,39
SAL10559,0,0,4,0,3,6,0,6
SAL10560,69,129,68,21,22,310,13,323
SAL10561,0,6,19,10,9,46,0,50
SAL10562,0,0,4,5,0,4,0,4
SAL10563,0,9,20,10,10,57,3,53
SAL10564,0,10,29,20,19,74,3,76
SAL10565,3,26,43,23,14,108,0,108
SAL10566,470,1692,903,236,135,3437,73,3506
SAL10567,9,106,149,51,28,343,7,345
SAL10568,0,0,0,0,0,0,0,0
SAL10569,0,3,14,5,5,29,0,29
SAL10570,0,4,9,0,0,10,0,10
SAL10571,0,0,0,0,0,0,0,0
SAL10572,9,128,193,136,213,676,10,689
SAL10573,0,0,3,8,3,16,0,16
SAL10574,0,5,14,11,15,45,0,46
SAL10575,69,281,238,76,24,697,4,699
SAL10576,0,14,23,10,9,53,0,53
SAL10577,8,100,92,41,23,265,8,272
SAL10578,0,5,4,4,8,21,0,21
SAL10579,0,0,0,0,4,5,0,5
SAL10580,9,19,25,24,18,88,3,90
SAL10581,3,18,29,19,5,65,0,65
SAL10582,0,3,6,0,0,15,0,15
SAL10583,0,5,11,8,0,20,0,20
SAL10584,0,0,0,0,0,3,0,3
SAL10585,0,6,9,0,0,20,0,20
SAL10586,0,64,103,44,19,233,6,232
SAL10587,3,51,73,44,34,201,8,204
SAL10588,0,47,57,25,10,130,6,136
SAL10589,700,3076,2379,721,307,7188,158,7345
SAL10590,0,10,18,5,14,43,0,43
SAL10591,296,1232,822,195,77,2618,23,2642
SAL10592,0,0,0,4,0,11,0,11
SAL10593,0,10,28,11,17,66,0,60
SAL10594,0,10,5,3,0,21,0,21
SAL10595,0,23,40,21,13,89,0,89
SAL10596,18,110,107,37,23,288,0,294
SAL10597,0,0,0,5,3,7,0,7
SAL10598,124,708,431,82,32,1380,29,1407
SAL10599,0,3,5,0,0,8,0,8
SAL10600,7,57,42,7,12,117,8,118
SAL10601,0,0,5,4,3,11,0,11
SAL10602,0,4,12,3,8,34,0,34
SAL10603,0,12,28,11,10,64,0,66
SAL10604,0,7,13,9,13,42,0,42
SAL10605,21,305,293,73,53,750,11,757
SAL10606,6,13,33,16,28,98,0,96
SAL10607,0,8,22,7,7,39,0,38
SAL10608,0,6,7,0,0,9,0,9
SAL10609,28,104,67,26,13,238,0,242
SAL10610,0,9,19,24,11,60,0,61
SAL10611,0,3,4,0,3,11,0,11
SAL10612,0,5,7,0,6,13,0,13
SAL10613,0,0,0,0,0,0,0,0
SAL10614,0,5,10,4,6,15,0,15
SAL10615,0,17,16,8,3,50,0,49
SAL10616,0,3,0,0,0,8,0,7
