SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL12952,9,203,442,141,69,872,7,873
SAL12953,0,3,6,3,5,19,0,19
SAL12954,3,26,26,9,4,61,0,61
SAL12955,0,8,4,0,0,13,0,13
SAL12956,0,0,0,0,0,0,0,0
SAL12957,0,17,32,20,8,77,3,78
SAL12958,289,1165,483,73,25,2036,13,2046
SAL12959,74,213,130,22,6,452,14,461
SAL12960,112,489,148,15,8,775,5,777
SAL12961,0,43,73,20,22,157,0,160
SAL12962,57,776,861,171,40,1906,15,1922
SAL12963,0,0,0,0,0,0,0,0
SAL12964,0,0,0,0,0,0,0,0
SAL12965,101,1126,1539,468,327,3564,20,3584
SAL12966,0,34,82,36,17,170,3,180
SAL12967,0,0,5,4,0,8,0,8
SAL12968,0,0,3,0,0,8,0,8
SAL12969,2036,3288,927,157,53,6457,79,6535
SAL12970,51,319,398,127,88,984,13,991
SAL12971,3,3,24,14,7,50,0,56
SAL12972,0,3,8,3,0,15,0,15
SAL12973,0,0,0,0,0,0,0,0
SAL12974,38,287,185,65,24,600,25,627
SAL12975,5,50,42,33,11,134,0,137
SAL12976,0,0,3,0,3,7,0,7
SAL12977,26,313,149,35,7,528,3,532
SAL12978,0,15,47,21,12,89,0,93
SAL12979,0,0,0,5,6,11,0,11
SAL12980,0,4,0,7,0,5,0,10
SAL12981,0,0,7,0,0,8,0,8
SAL12982,0,3,9,4,4,17,0,17
SAL12983,13,130,164,71,40,418,0,420
SAL12984,36,420,432,140,79,1114,13,1125
SAL12985,3,79,189,39,29,336,6,341
SAL12986,93,675,707,190,83,1752,14,1766
SAL12987,270,1045,824,223,114,2473,50,2524
SAL12988,0,7,23,4,6,44,0,41
SAL12989,0,68,88,41,17,209,3,214
SAL12990,3,181,404,131,70,782,9,786
SAL12991,34,322,571,143,65,1137,8,1143
SAL12992,21,123,103,45,25,320,0,322
SAL12993,41,321,268,94,50,779,11,785
SAL12994,443,1540,1059,219,86,3346,50,3397
SAL12995,0,16,29,17,18,77,5,81
SAL12996,0,0,0,0,0,0,0,0
SAL12997,0,43,118,82,64,304,5,309
SAL12998,53,352,567,177,130,1275,9,1288
SAL12999,3,27,29,11,3,78,0,83
SAL13000,33,460,664,236,100,1494,12,1503
SAL13001,191,715,534,124,41,1609,18,1627
SAL13002,51,334,228,57,33,698,54,749
SAL13003,78,1493,2450,633,384,5040,35,5079
SAL13004,85,476,461,145,77,1255,21,1272
SAL13005,16,111,96,38,20,291,6,301
SAL13006,13,117,102,20,17,270,8,275
SAL13007,68,361,427,132,74,1059,12,1068
SAL13008,9,92,119,41,21,278,5,275
SAL13009,57,538,842,306,181,1931,21,1950
