SAL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SAL10001,0,0,0,4,10,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,5,8,3,3,4,18,12,33
SAL10002,82,95,176,88,83,174,86,94,178,14,21,39,0,0,0,1090,1147,2235,0,0,0,148,156,303,5,7,13,4,6,6,4,0,4,29,26,46,0,0,0,12,15,29,13,8,20,3,0,5,11,9,18,12,13,21,74,70,143,0,0,0,1583,1648,3234,9,15,26,99,97,188,0,0,0,0,0,0,0,0,0,25,17,42,28,17,37,193,180,369,4,3,4,0,0,0,194,183,377,71,79,153,2067,2129,4200
SAL10003,48,63,109,195,241,439,4,10,7,11,18,30,0,0,3,969,1088,2061,0,0,5,122,145,268,5,8,11,9,3,7,3,5,11,17,16,32,6,8,17,10,12,18,51,54,108,0,0,0,0,0,4,25,45,74,35,46,75,6,3,9,1479,1709,3184,21,20,43,20,19,34,8,21,26,0,0,0,3,5,3,8,11,19,13,15,22,800,814,1612,10,7,21,3,7,13,809,828,1644,169,195,368,2560,2876,5431
SAL10004,0,0,0,74,105,179,0,0,0,4,0,11,11,7,25,172,192,365,0,0,4,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,6,8,6,4,3,7,21,21,42,0,0,0,4,6,7,11,22,31,15,16,34,0,0,0,329,386,716,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,166,344,0,0,0,0,0,0,179,166,348,32,25,55,546,582,1127
SAL10005,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,5,4,10,0,4,4,12,14,21
SAL10006,15,13,25,232,268,501,0,0,0,11,10,25,0,0,0,191,205,397,0,0,0,6,0,9,5,5,7,7,0,12,0,3,3,0,0,0,0,3,9,5,10,15,35,55,88,6,9,17,4,8,20,36,45,83,22,28,41,0,0,0,563,657,1223,12,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,10,12,587,538,1122,13,5,9,5,0,3,597,546,1144,56,65,123,1247,1295,2542
SAL10007,11,12,21,268,293,560,0,0,0,0,5,10,0,0,0,252,248,501,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,4,0,0,5,0,4,21,31,56,4,4,4,0,0,0,25,24,44,9,10,19,0,0,0,585,628,1214,3,8,8,6,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,378,303,681,3,0,4,0,4,4,384,299,685,61,53,116,1049,1000,2051
SAL10008,0,0,0,14,17,34,0,0,0,0,0,0,0,0,0,24,23,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,45,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,17,0,0,0,0,0,0,7,8,17,5,9,8,64,53,121
SAL10009,18,24,44,493,643,1135,0,0,0,42,31,71,0,0,0,824,918,1736,0,0,0,13,8,22,5,5,11,4,0,3,6,3,10,0,0,0,11,21,32,30,40,67,51,84,132,14,13,26,7,3,14,77,105,182,54,71,127,5,0,12,1635,1948,3586,44,43,90,20,23,38,0,0,0,0,0,0,23,15,34,3,9,16,21,22,47,1247,1204,2448,5,9,13,4,0,3,1253,1213,2470,165,117,287,3156,3393,6552
SAL10010,4,3,8,219,244,459,0,0,0,20,23,41,0,0,0,219,219,440,0,0,0,3,0,3,5,8,12,9,7,13,4,9,8,0,0,0,6,6,17,6,5,15,27,29,52,4,4,8,8,0,8,45,58,106,24,24,53,0,0,0,596,640,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,12,15,633,522,1160,0,0,7,7,4,9,636,529,1167,73,49,121,1311,1235,2544
