SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL10001,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,8,5,5,0,22
SAL10002,34,49,33,17,30,59,32,6,0,260,650,657,499,403,605,733,437,159,49,4192
SAL10003,39,28,41,53,48,41,72,56,60,438,799,448,543,740,763,720,751,455,212,5431
SAL10004,9,14,0,7,14,17,0,4,0,65,242,139,104,139,167,164,94,57,3,1109
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,4,5,0,24
SAL10006,47,35,20,20,12,25,13,5,0,177,520,334,370,284,313,318,246,123,30,2538
SAL10007,41,12,17,28,21,31,13,11,3,177,383,246,241,236,264,291,232,120,36,2049
SAL10008,5,0,5,0,3,0,0,0,0,13,27,18,10,13,17,14,22,7,0,128
SAL10009,129,58,65,81,48,36,20,9,0,446,1660,843,1034,1003,781,627,414,161,31,6554
SAL10010,49,31,24,21,26,26,21,4,4,206,572,297,341,312,304,355,222,121,24,2548
SAL10011,12,0,4,4,0,0,0,0,0,20,61,43,41,36,66,39,23,8,3,320
SAL10012,0,5,0,0,4,0,0,0,0,9,3,6,3,4,9,3,0,0,0,28
SAL10013,0,0,0,0,0,3,4,0,0,7,4,0,6,6,3,12,10,0,0,41
SAL10014,17,5,14,15,18,9,7,4,0,89,818,458,483,648,519,414,223,83,16,3662
SAL10015,15,0,4,12,3,11,8,9,0,62,51,26,29,33,46,68,47,42,6,348
SAL10016,70,63,75,44,52,51,35,22,7,419,1071,924,1083,860,770,728,484,300,109,6329
SAL10017,58,22,27,45,37,29,19,17,15,269,1237,609,605,832,766,543,477,407,143,5619
SAL10018,16,4,10,5,3,14,10,4,0,66,142,95,93,95,118,166,133,77,23,942
SAL10019,3,0,0,0,0,8,3,0,0,14,20,15,8,12,6,22,16,5,0,104
SAL10020,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,7,3,0,21
SAL10021,12,10,8,11,15,6,13,0,0,75,188,149,120,103,162,137,96,33,10,998
SAL10022,147,94,65,69,44,41,25,5,0,490,878,519,461,442,337,302,217,95,16,3267
SAL10023,18,3,5,0,0,3,0,0,0,29,26,24,21,16,19,32,23,7,4,172
SAL10024,5,0,0,5,0,0,0,0,0,10,15,4,7,9,12,12,12,5,3,79
SAL10025,212,118,120,110,99,107,74,56,115,1011,2855,1841,1868,1717,1871,1690,1110,591,285,13828
SAL10026,141,74,70,72,61,55,46,22,20,561,1207,837,919,759,787,925,797,457,220,6908
SAL10027,55,41,37,52,59,57,38,18,6,363,721,555,564,575,678,644,698,370,145,4950
SAL10028,11,141,325,221,78,31,6,0,0,813,108,193,380,287,128,140,126,68,9,1439
SAL10029,0,0,4,0,0,5,0,5,0,14,30,10,22,9,14,31,21,12,0,149
SAL10030,57,56,217,147,79,55,34,17,8,670,1066,757,3143,2109,1247,732,399,152,44,9649
SAL10031,29,20,11,18,18,14,4,3,4,121,538,438,332,319,406,585,362,109,35,3124
SAL10032,0,0,0,0,0,0,0,0,0,0,15,17,4,12,12,10,10,4,0,84
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SAL10034,0,0,0,0,0,0,0,0,0,0,14,15,7,14,8,15,13,5,0,91
SAL10035,0,0,0,0,5,0,0,0,0,5,9,9,3,8,20,15,23,7,4,98
SAL10036,56,43,26,28,72,36,31,40,42,374,1564,866,499,945,1224,812,649,480,276,7315
SAL10037,0,0,0,0,0,0,0,0,0,0,13,7,6,4,14,12,13,0,0,69
SAL10038,42,39,54,52,43,46,33,10,7,326,725,635,1152,809,598,652,466,231,84,5352
SAL10039,5,0,3,0,0,0,0,0,0,8,15,8,12,4,13,9,3,0,0,64
SAL10040,0,0,0,0,0,5,8,0,0,13,15,17,6,13,23,29,29,8,0,140
SAL10041,8,5,0,4,10,0,0,0,0,27,35,17,15,17,37,24,23,13,4,185
SAL10042,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,16,19,3,0,45
SAL10043,0,5,0,3,0,5,5,0,0,18,14,7,3,4,4,17,3,11,0,63
SAL10044,0,0,0,0,0,0,0,0,0,0,20,17,14,16,16,32,14,11,0,140
SAL10045,0,0,0,0,6,7,4,0,0,17,55,36,27,39,74,105,65,26,6,433
SAL10046,79,50,41,49,58,42,39,44,26,428,941,512,480,589,707,789,870,670,358,5916
SAL10047,0,0,0,0,0,0,4,4,0,8,14,7,10,10,6,12,9,9,7,84
SAL10048,0,0,0,0,3,4,0,0,0,7,12,0,5,3,16,9,3,0,0,48
SAL10049,196,113,114,120,83,64,48,12,3,753,1650,1016,987,974,812,885,662,235,42,7263
SAL10050,0,0,0,0,0,3,4,0,0,7,4,0,0,0,8,3,8,14,0,37
SAL10051,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,6,0,0,0,16
SAL10052,0,0,0,0,0,0,0,0,0,0,9,3,4,5,7,14,0,0,0,42
SAL10053,3,0,0,0,0,0,0,0,0,3,17,8,4,7,6,9,3,4,0,58
SAL10054,0,0,0,0,0,0,0,0,0,0,12,5,3,3,7,13,4,0,0,47
SAL10055,0,0,0,0,0,0,0,0,0,0,17,8,0,11,15,12,9,3,4,79
SAL10056,0,0,3,0,0,4,3,0,0,10,24,14,19,19,20,33,34,4,0,167
SAL10057,4,0,0,0,5,0,0,0,0,9,4,0,0,0,8,8,8,4,0,32
SAL10058,0,0,0,0,0,0,3,10,0,13,4,4,0,4,11,12,29,13,3,80
SAL10059,0,0,0,0,0,3,0,0,0,3,20,5,16,14,26,31,60,9,8,189
SAL10060,4,7,5,9,11,5,3,5,0,49,57,53,34,45,69,54,41,19,3,375
SAL10061,69,38,26,30,43,51,45,48,6,356,634,393,343,361,501,658,733,524,82,4229
SAL10062,100,76,128,124,111,81,66,17,8,711,1517,953,1648,1581,1444,1052,815,343,133,9486
SAL10063,33,17,7,12,15,9,0,0,3,96,223,253,115,161,219,218,155,91,27,1462
SAL10064,75,30,29,52,25,27,16,9,0,263,885,369,449,508,377,314,200,92,23,3217
SAL10065,0,0,6,0,0,0,0,0,0,6,10,5,6,3,9,10,6,5,0,54
SAL10066,0,0,0,0,0,0,0,0,0,0,4,11,0,8,3,6,0,0,0,32
SAL10067,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,3,3,0,0,17
SAL10068,4,3,3,0,0,3,4,0,0,17,23,13,7,17,9,18,24,9,0,120
SAL10069,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,8
SAL10070,9,3,4,5,5,8,10,0,3,47,43,26,31,33,57,108,98,34,19,449
SAL10071,0,0,0,0,0,3,0,0,0,3,26,17,16,16,29,45,35,18,3,205
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10073,13,17,3,18,21,7,21,0,5,105,246,207,129,139,223,213,179,119,28,1483
SAL10074,25,11,11,13,15,8,12,5,3,103,243,165,139,155,204,234,173,92,32,1437
SAL10075,0,3,0,0,5,5,0,0,0,13,6,7,3,4,5,20,11,0,0,56
SAL10076,0,4,0,0,0,4,4,0,0,12,21,21,17,11,26,25,38,12,7,178
SAL10077,8,9,5,3,6,5,4,0,0,40,71,35,39,32,56,85,87,52,16,473
