SAL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,8,5,5,0,29
SAL10002,0,0,5,10,10,30,64,55,18,183,0,4,5,8,18,17,20,13,11,98,8,15,15,7,17,28,16,0,0,108,146,334,499,408,609,733,428,159,49,3356
SAL10003,0,0,0,8,9,15,44,69,39,177,0,0,0,3,4,0,13,13,16,48,3,10,30,30,16,27,60,55,62,306,76,203,543,740,759,719,750,456,212,4465
SAL10004,0,0,0,0,0,3,3,5,0,20,0,0,0,0,0,0,0,0,0,5,0,3,0,3,3,6,0,3,0,28,31,52,104,139,167,164,94,57,3,824
SAL10005,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,12,4,5,0,22
SAL10006,0,0,0,0,9,22,31,27,16,108,0,0,0,0,0,0,0,9,0,9,9,11,9,14,10,9,16,19,3,88,90,160,370,284,313,318,246,124,30,1931
SAL10007,0,0,0,3,8,17,31,14,9,92,0,0,0,0,4,0,0,5,0,5,0,3,18,10,14,24,9,19,7,103,55,110,241,236,264,291,232,120,36,1589
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,5,3,8,10,13,17,14,22,7,0,88
SAL10009,0,0,4,8,6,25,32,27,15,117,0,0,0,0,0,0,0,3,0,12,6,13,36,34,27,18,16,7,4,153,187,415,1031,1003,781,627,414,161,31,4653
SAL10010,0,0,10,0,5,24,31,25,16,118,0,0,5,0,4,0,0,0,0,7,3,4,14,12,9,20,14,11,0,85,83,149,341,312,304,355,222,121,24,1904
SAL10011,0,0,0,0,0,3,4,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,19,11,41,36,66,39,23,8,3,249
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,10,0,3,3,4,9,3,0,0,0,26
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,13,0,0,6,6,3,12,10,0,0,27
SAL10014,4,0,0,4,7,6,18,14,3,64,0,0,0,0,5,4,0,0,0,9,3,0,7,8,10,8,5,3,0,41,94,228,483,648,519,414,223,85,16,2710
SAL10015,0,0,0,0,0,4,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,8,5,7,3,46,0,14,29,33,46,68,47,42,6,280
SAL10016,0,0,6,8,5,18,32,36,22,134,0,0,4,5,0,5,0,4,4,24,4,22,50,27,28,31,16,26,9,215,149,573,1082,860,770,729,479,300,109,5063
SAL10017,0,0,0,0,7,11,9,28,34,89,0,0,0,0,0,5,0,3,4,13,3,0,17,9,12,11,19,16,16,103,113,265,605,832,766,543,477,407,143,4157
SAL10018,0,0,0,0,7,5,11,11,4,40,0,0,0,0,0,0,0,5,0,5,3,0,7,5,3,9,10,7,0,45,30,39,93,95,118,166,133,77,23,759
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,21,0,7,8,12,6,22,16,5,0,73
SAL10020,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,26
