SAL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SAL10001,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SAL10002,571,5,0,0,0,576,498,5,0,0,0,499,83,4,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,112,8,0,0,0,128,12,0,0,0,0,12,15,0,0,0,0,12,1210,17,0,0,0,1233
SAL10003,320,140,387,0,0,847,206,94,234,0,0,535,56,67,416,5,0,553,27,39,71,0,0,137,3,3,38,0,0,42,18,13,52,3,0,85,6,0,0,0,0,11,0,0,0,0,0,4,108,125,584,14,0,825,7,6,18,0,0,27,10,4,14,0,0,34,651,371,1237,14,0,2267
SAL10004,138,0,0,0,0,143,187,3,0,0,0,188,35,0,0,0,0,40,0,3,0,0,0,3,0,0,0,0,0,0,7,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,45,12,0,0,0,59,4,0,0,0,0,4,4,0,0,0,0,4,373,15,0,0,0,388
SAL10005,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SAL10006,269,25,0,0,0,293,317,19,0,0,0,332,152,105,12,0,0,260,0,15,0,0,0,11,0,6,0,0,0,5,40,13,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,192,139,12,0,0,346,6,0,0,0,0,6,8,3,0,0,0,11,794,185,12,0,0,990
SAL10007,273,0,0,33,0,309,292,0,0,0,0,300,66,28,0,0,0,100,17,0,0,0,0,17,0,0,0,0,0,0,58,4,0,0,0,60,7,4,0,0,0,13,0,0,0,0,0,0,157,34,0,0,0,198,12,0,0,0,0,18,8,0,0,0,0,8,742,42,0,39,0,827
SAL10008,18,0,0,0,0,18,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,40,0,0,0,0,40
SAL10009,451,22,3,0,0,472,947,22,0,0,0,969,506,91,3,0,0,602,7,5,0,0,0,14,7,5,0,0,0,10,35,8,0,0,0,39,6,0,0,0,0,11,0,0,0,0,0,0,564,113,8,0,0,679,7,0,0,0,0,8,10,3,0,0,0,12,1978,153,10,0,0,2143
SAL10010,312,0,0,0,0,314,372,6,3,0,0,383,88,17,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,0,54,8,0,0,0,0,8,4,0,0,0,0,4,147,25,4,0,0,170,8,0,0,0,0,6,10,0,0,0,0,12,850,38,9,0,0,892
SAL10011,28,0,0,0,0,28,62,0,0,0,0,59,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,103
